strategy,period,n_days,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
M1_eta1.0,2021,252,0.27741003039156237,0.2774100303915623,0.1313816902562658,1.9272404996958967,0.05443647019041582
M1_eta1.0,2022,251,-0.11535168880123296,-0.11578356346839114,0.22014463632791012,-0.5401174614050325,0.27535002743468545
M1_eta1.0,2023,250,0.04805291319612032,0.048446502228957966,0.09791312715888507,0.016747322265681083,0.08559640996141869
M1_eta1.0,2024,252,0.30761192743878124,0.3076119274387812,0.13169148649856452,1.7273543741506632,0.0756635580025437
M1_eta1.0,2025,250,0.12438132391850182,0.12543633488641737,0.1899811967490381,0.5027264868542476,0.1836803843489171
M1_eta1.0,2026,113,0.07852097308308355,0.18361557616351654,0.11346372821085861,1.22604141408825,0.07268702265741438
M1_eta1.0,2021-2026,1368,0.8780418932772898,0.12310249724477407,0.15704300957389308,0.6112491883603542,0.27535002743468534
M1_eta3.0,2021,252,0.25696200044444406,0.25696200044444417,0.10836114747043013,2.1622555820341813,0.05274554468739999
M1_eta3.0,2022,251,-0.053593632698264095,-0.053801303645559906,0.21323529862113644,-0.24685950662748268,0.1903233913692195
M1_eta3.0,2023,250,0.06410887116965285,0.06463797295979457,0.10878897731703055,0.16626849218097092,0.0708063587427149
M1_eta3.0,2024,252,0.2558298158082707,0.2558298158082706,0.10903364938813825,1.6902788522952732,0.06012759164579758
M1_eta3.0,2025,250,0.05652166495724652,0.0569864851130335,0.1798489985739586,0.17177514722725434,0.1687895613374709
M1_eta3.0,2026,113,0.10520719135144758,0.24992311699838288,0.12580622440470096,1.550750197450487,0.08544493354013284
M1_eta3.0,2021-2026,1368,0.8562598233131062,0.12069152654159798,0.14846665795474318,0.6231758004038392,0.19032339136921958
M1_eta7.0,2021,252,0.2901947231697752,0.29019472316977524,0.11596470998587884,2.253069962883287,0.04478549398015802
M1_eta7.0,2022,251,-0.14418844068923103,-0.14471916927193273,0.23183360451705656,-0.6447701215601439,0.21513478974231864
M1_eta7.0,2023,250,0.1524972877626042,0.1538066330239689,0.11036409909873987,0.8945074050595209,0.06579552215489906
M1_eta7.0,2024,252,0.22543111586987355,0.22543111586987363,0.11647193589301935,1.3790212246197202,0.06860513292116074
M1_eta7.0,2025,250,0.18481631683925503,0.18642485046353574,0.18474546758326896,0.7977085719869306,0.18871475301154678
M1_eta7.0,2026,113,0.11023075030854071,0.26262844958516496,0.14747249239955476,1.4114797650245974,0.09138110506721907
M1_eta7.0,2021-2026,1368,1.0512873581004807,0.14150696688927633,0.1583646670888532,0.7101951164423763,0.21513478974231864
M2_eta1.0,2021,252,0.1447034119622802,0.1447034119622801,0.1189062115667092,1.1933182500447113,0.07207593062822067
M2_eta1.0,2022,251,-0.16594855151338528,-0.1665513102349423,0.195302188456733,-0.9375904763645089,0.23302390845701787
M2_eta1.0,2023,250,0.148758281403116,0.15003348178564324,0.1274955203457038,0.7645265433730554,0.09927053208911872
M2_eta1.0,2024,252,0.22697509271512617,0.22697509271512617,0.12084661500149003,1.3436009934529112,0.05897430450046697
M2_eta1.0,2025,250,0.08529777330923252,0.0860086971919749,0.17062648889047963,0.3307437717203733,0.16275504669816557
M2_eta1.0,2026,113,0.07330865787970489,0.17089688263587188,0.13957387787635167,0.9427066355149726,0.1009780188158317
M2_eta1.0,2021-2026,1368,0.5675585270620638,0.08633124899179134,0.14891984833856736,0.4127312840192117,0.24671893330063513
M2_eta3.0,2021,252,0.04009399008214345,0.04009399008214354,0.13378134048089116,0.358014237539826,0.11204864881054034
M2_eta3.0,2022,251,-0.15616638590175858,-0.1567370410648662,0.21487649311734056,-0.7791385562661325,0.2315509052709834
M2_eta3.0,2023,250,0.15879376391589842,0.1601608302095947,0.12000135827341277,0.8776671141431767,0.0939044679759936
M2_eta3.0,2024,252,0.34984051783830283,0.34984051783830283,0.14420027920570144,1.809985656920738,0.07559798587145788
M2_eta3.0,2025,250,0.21576005172026616,0.21766171630789044,0.15488922036086497,1.0872270722438837,0.13778257456019435
M2_eta3.0,2026,113,0.10693555620956285,0.25428641313430544,0.10939899055125853,1.7978325732344786,0.0570143542899458
M2_eta3.0,2021-2026,1368,0.8475160698805364,0.11971721985307959,0.15367144410785463,0.6018845436120583,0.27457275210840687
M2_eta7.0,2021,252,0.2180388897957585,0.21803888979575858,0.10903593217827676,1.8608493665323242,0.0572226608958912
M2_eta7.0,2022,251,-0.05306640109132105,-0.05327208707901232,0.219235048491152,-0.23152533061476105,0.15298487673782424
M2_eta7.0,2023,250,0.12404384528739178,0.1250958376444442,0.12087790446806856,0.6181851198085929,0.09511860344984127
M2_eta7.0,2024,252,0.36814872622385764,0.36814872622385764,0.13614938543146188,2.0077347018462492,0.07081909685667337
M2_eta7.0,2025,250,0.19393392764590536,0.19562816202409405,0.2003323510228745,0.7891858855762393,0.18428470533567312
M2_eta7.0,2026,113,0.1669660359791917,0.41106089606045515,0.1427113809331071,2.2332989670215224,0.08729150351488572
M2_eta7.0,2021-2026,1368,1.4713585219862353,0.1813617411214754,0.161484179801508,0.912245156753136,0.18428470533567315
M3_eta1.0,2021,252,0.36128552416676407,0.36128552416676407,0.15085115288084652,2.11863561236484,0.0738691277365703
M3_eta1.0,2022,251,-0.13637671901695886,-0.1368810468273789,0.2334330291094437,-0.5998228693184676,0.25137473719885806
M3_eta1.0,2023,250,0.15995817056923237,0.1613359415152844,0.1265930694652049,0.8464344553806527,0.09031850359274723
M3_eta1.0,2024,252,0.39585502034713577,0.3958550203471358,0.13180816067342882,2.221649501808302,0.05517741791071353
M3_eta1.0,2025,250,0.1738736042292729,0.17538003052564433,0.18757675062360774,0.7385745996652073,0.17530658278175443
M3_eta1.0,2026,113,0.10904156309662262,0.2596144133502112,0.15228763422282057,1.3557295896865709,0.09820599898209927
M3_eta1.0,2021-2026,1368,1.478137320976707,0.18195799192762663,0.16930086308344355,0.8806750946200889,0.2654882911841724
M3_eta3.0,2021,252,0.28398555326878855,0.2839855532687885,0.12660754642713737,2.0358188681910154,0.05849637033240465
M3_eta3.0,2022,251,-0.10839071858948043,-0.1087981629019682,0.24091749922506708,-0.44102192055975514,0.24096990182789466
M3_eta3.0,2023,250,0.1965781603771161,0.19829735452337305,0.10069777179980421,1.3461244641546024,0.06216057926322126
M3_eta3.0,2024,252,0.2612447336346542,0.26124473363465417,0.12463914194107117,1.527687196648245,0.06835439078809738
M3_eta3.0,2025,250,0.14908074654834402,0.15035888783944173,0.18237718315726373,0.6365295338092647,0.17165718597661436
M3_eta3.0,2026,113,0.12382797483901471,0.29737381020696985,0.18203435949273822,1.324130820118492,0.10011810309260484
M3_eta3.0,2021-2026,1368,1.2311334237021838,0.15931665097231806,0.1645957828651653,0.7836287487512854,0.24096990182789477
M3_eta7.0,2021,252,0.11479873820519265,0.11479873820519271,0.1189778183029505,0.9700438121853764,0.07424638497117969
M3_eta7.0,2022,251,-0.12683121813294096,-0.12730290241471576,0.22862757319865465,-0.5690380733469397,0.2538167813168274
M3_eta7.0,2023,250,0.12786762965023632,0.12895387202800768,0.10552143566822925,0.7241918763952039,0.07989105767136291
M3_eta7.0,2024,252,0.3736067497152463,0.37360674971524643,0.14099312498186545,1.9718167824602448,0.10014520759238685
M3_eta7.0,2025,250,0.21986304361091594,0.2218040571398079,0.1797670229128842,0.978436912942647,0.17722677004248352
M3_eta7.0,2026,113,0.13321001643080657,0.3216516681889485,0.14350252625698756,1.7653530125996262,0.06486064002014028
M3_eta7.0,2021-2026,1368,1.0846670215147678,0.14490622767306416,0.15966709909690863,0.724505975118019,0.27407166201169686
M4_eta1.0,2021,252,0.19808832087692024,0.1980883208769202,0.1267107442371724,1.4872233883667008,0.06223171371737033
M4_eta1.0,2022,251,-0.13339181551807675,-0.13388598071629187,0.21804968202639996,-0.6422000807723642,0.24041014457184884
M4_eta1.0,2023,250,0.14956877622244671,0.1508513697736007,0.12836000900184708,0.7658436429018021,0.10750230320993849
M4_eta1.0,2024,252,0.33814130232147466,0.33814130232147477,0.11324088530756411,2.192822975366538,0.054222619271175145
M4_eta1.0,2025,250,0.16369125505947127,0.16510340867076922,0.16721467399668563,0.7544966259873531,0.15289515610372553
M4_eta1.0,2026,113,0.06445151649068198,0.14945804477198088,0.1477798705934234,0.7733385281744912,0.10460298763663446
M4_eta1.0,2021-2026,1368,0.9783913819803499,0.13392368933676102,0.15476174825747363,0.6801150733350205,0.24174889850271505
M4_eta3.0,2021,252,0.24087992566186012,0.24087992566186012,0.12762430475642547,1.7527075054883048,0.0535731441695952
M4_eta3.0,2022,251,-0.09834373320010543,-0.09871553373104491,0.23146253386823604,-0.419732552809601,0.18322265497915743
M4_eta3.0,2023,250,0.09433572347060046,0.09512522145586355,0.11695161523198382,0.403996417429893,0.09750051969254124
M4_eta3.0,2024,252,0.3586825729690436,0.3586825729690437,0.12623542757719267,2.1002347163934343,0.05932141747190925
