algo,arm,eta,news_index,responsiveness_R,t_R,beta_sentiment,se_sentiment,t_sentiment,beta_vix,t_vix,n_days,hac_lags
PPO,M1,1.0,llm,-0.023420906770238344,-1.0465934534424841,0.023420906770238344,0.022378227852660124,1.0465934534424841,0.0046668593926690064,3.1241717971387,1368,7
PPO,M1,3.0,llm,0.24520922437071568,2.2435710485484037,-0.24520922437071568,0.10929416500064336,-2.2435710485484037,-0.04936204769501405,-8.14744622983815,1368,7
PPO,M1,7.0,llm,-0.3722374766703821,-3.2196813436702563,0.3722374766703821,0.11561314209003436,3.2196813436702563,0.0010403376362185211,0.12953639521943097,1368,7
PPO,M2,1.0,finbert,0.15804445769954112,4.270645761139818,-0.15804445769954112,0.03700715688892906,-4.270645761139818,0.010349409021200061,4.10949205627705,1368,7
PPO,M2,3.0,finbert,0.08208165032411852,2.7189225940470103,-0.08208165032411852,0.030189035356811382,-2.7189225940470103,0.01067962643430249,5.925429073009185,1368,7
PPO,M2,7.0,finbert,-0.9889953396145118,-7.409141976905889,0.9889953396145118,0.1334831135234263,7.409141976905889,0.0251577000711154,4.510157032262163,1368,7
PPO,M3,1.0,llm,0.03697157583151517,1.5892991305225632,-0.03697157583151517,0.023262817629151333,-1.5892991305225632,0.009114826498887696,4.314257998426088,1368,7
PPO,M3,3.0,llm,0.013346766308953067,0.5303038239442063,-0.013346766308953067,0.02516815023071999,-0.5303038239442063,0.008142192567965858,4.759827371606281,1368,7
PPO,M3,7.0,llm,-0.426935898061585,-1.9415130628400235,0.426935898061585,0.21989854522898133,1.9415130628400235,0.04391507619014296,3.2323472460628317,1368,7
PPO,M4,1.0,llm,-0.01898808551484666,-1.3447446328051658,0.01898808551484666,0.014120216620784803,1.3447446328051658,-0.0006306606224940035,-0.6765880624209847,1368,7
PPO,M4,3.0,llm,0.021796290452775823,0.8373738585346142,-0.021796290452775823,0.026029341889080286,-0.8373738585346142,-0.010925529649222875,-5.027090690204978,1368,7
PPO,M4,7.0,llm,0.13823144230864837,3.6367705649510085,-0.13823144230864837,0.03800939317999306,-3.6367705649510085,-0.026530726649144267,-9.49587405240486,1368,7
PPO,M5,1.0,llm,0.009757767060050465,0.3526405028567157,-0.009757767060050465,0.027670579474006776,-0.3526405028567157,-0.00800149952353984,-3.833276383143581,1368,7
PPO,M5,3.0,llm,0.03244786927902265,1.4912978471947664,-0.03244786927902265,0.021758141299579637,-1.4912978471947664,0.002629762377057426,1.5514224566965364,1368,7
PPO,M5,7.0,llm,0.0024428924716883432,0.10191767148961106,-0.0024428924716883432,0.02396927280601538,-0.10191767148961106,-0.0031715617426822116,-2.3235057394724716,1368,7
PPO,M6,1.0,llm,0.0019675210925479292,0.034398565957448925,-0.0019675210925479292,0.05719776501676714,-0.034398565957448925,-0.004029928032053025,-1.0927794327809301,1368,7
PPO,M6,3.0,llm,0.053257152161844526,1.4450699802341045,-0.053257152161844526,0.036854375836675224,-1.4450699802341045,-0.011573422822062937,-3.8697341864390005,1368,7
PPO,M6,7.0,llm,-0.03812012567388158,-0.6017128636283673,0.03812012567388158,0.06335268527253143,0.6017128636283673,0.014541863035401507,4.039366983128728,1368,7
