algo,kind,step,eta,arm,delta_R,se,t,n_days,hac_lags
PPO,ladder,M4-M3,1.0,,-0.05595966134636185,0.03586977247733857,-1.560078514066836,1368,7
PPO,ladder,M5-M4,1.0,,0.028745852574897188,0.03903764037320204,0.7363624517282608,1368,7
PPO,ladder,M6-M5,1.0,,-0.007790245967502621,0.07395417905049076,-0.10533882016571347,1368,7
PPO,ladder,M4-M3,3.0,,0.00844952414382276,0.044544242600617755,0.18968835590226374,1368,7
PPO,ladder,M5-M4,3.0,,0.01065157882624685,0.045682858316901144,0.2331635807977917,1368,7
PPO,ladder,M6-M5,3.0,,0.02080928288282187,0.05396982467663339,0.3855725492440111,1368,7
PPO,ladder,M4-M3,7.0,,0.5651673403702336,0.23425211240197782,2.4126456516234254,1368,7
PPO,ladder,M5-M4,7.0,,-0.13578854983695998,0.034388239163864846,-3.948691562539979,1368,7
PPO,ladder,M6-M5,7.0,,-0.04056301814556993,0.07715290330418116,-0.5257484347108385,1368,7
PPO,eta,eta1-3,,M3,-0.0236248095225621,0.015862945924566874,-1.489307826863008,1368,7
PPO,eta,eta3-7,,M3,-0.44028266437053815,0.24031022067208357,-1.8321428990376898,1368,7
PPO,eta,eta1-3,,M4,0.0407843759676225,0.022747939076031697,1.7928822400704794,1368,7
PPO,eta,eta3-7,,M4,0.11643515185587254,0.030751132895508914,3.7863695055240534,1368,7
PPO,eta,eta1-3,,M5,0.02269010221897215,0.022906745685491607,0.9905423725616043,1368,7
PPO,eta,eta3-7,,M5,-0.030004976807334282,0.03339201623420505,-0.8985673879913469,1368,7
PPO,eta,eta1-3,,M6,0.05128963106929658,0.06850582217509603,0.74869010313027,1368,7
PPO,eta,eta3-7,,M6,-0.09137727783572608,0.08054369204224883,-1.1345057014246944,1368,7
