algo,arm,eta,news_index,responsiveness_R,t_R,beta_sentiment,se_sentiment,t_sentiment,beta_vix,t_vix,n_days,hac_lags
SAC,M1,1.0,llm,0.43306887485333934,2.765412160902438,-0.43306887485333934,0.1566019275448676,-2.765412160902438,-0.05170651302931636,-5.198126736163609,1368,7
SAC,M1,3.0,llm,0.22497364163807695,1.8377531203356212,-0.22497364163807695,0.1224177715432152,-1.8377531203356212,-0.032700466244030744,-4.161504431919035,1368,7
SAC,M1,7.0,llm,0.18329926740526267,1.4697062308399673,-0.18329926740526267,0.12471830326289314,-1.4697062308399673,-0.019828100216260903,-2.524447279817503,1368,7
SAC,M2,1.0,finbert,0.2505252857202804,2.11974893331408,-0.2505252857202804,0.11818630111472754,-2.11974893331408,0.024973057474674883,4.807499668962159,1368,7
SAC,M2,3.0,finbert,0.13432004739496373,3.0113454428001365,-0.13432004739496373,0.044604662582338805,-3.0113454428001365,3.8185040072887975e-05,0.0147138280710763,1368,7
SAC,M2,7.0,finbert,-0.5346657584102354,-5.310746752363811,0.5346657584102354,0.1006761917563205,5.310746752363811,0.009147445448788307,2.0220716706434363,1368,7
SAC,M3,1.0,llm,0.03735819280804283,0.9547957872613334,-0.03735819280804283,0.03912689321262963,-0.9547957872613334,-0.018535835102479546,-5.562833100503552,1368,7
SAC,M3,3.0,llm,0.16435582830940237,2.531089775261867,-0.16435582830940237,0.0649348078901698,-2.531089775261867,-0.02282230744439345,-4.934796545542924,1368,7
SAC,M3,7.0,llm,0.2284856221965599,3.3583688140374606,-0.2284856221965599,0.06803470221660154,-3.3583688140374606,-0.024543247799060322,-4.923963247454741,1368,7
SAC,M4,1.0,llm,-0.2368980761466798,-2.562162717421783,0.2368980761466798,0.0924601995555779,2.562162717421783,0.06337161063835274,7.506817462983595,1368,7
SAC,M4,3.0,llm,0.02775100197387334,0.4461659205424794,-0.02775100197387334,0.06219883836069719,-0.4461659205424794,-0.002266664054082173,-0.5898467931563177,1368,7
SAC,M4,7.0,llm,-0.0010720255666729905,-0.01313089803753542,0.0010720255666729905,0.08164145084430208,0.01313089803753542,-0.008432789067991745,-1.4766099296196216,1368,7
SAC,M5,1.0,llm,0.0430042957299441,0.9770786745715776,-0.0430042957299441,0.044013135123228755,-0.9770786745715776,-0.014680066845559555,-5.401985036270765,1368,7
SAC,M5,3.0,llm,0.19798124381871238,2.726076551215266,-0.19798124381871238,0.0726249758945521,-2.726076551215266,0.01087019767187896,1.807651030834401,1368,7
SAC,M5,7.0,llm,0.26528841879647647,3.2677875693518104,-0.26528841879647647,0.08118288388284015,-3.2677875693518104,-0.023659289788318272,-4.708495403047623,1368,7
SAC,M6,1.0,llm,-0.0704671234901484,-0.7178891697559864,0.0704671234901484,0.0981587777875246,0.7178891697559864,-0.028766700351840643,-4.071549560055842,1368,7
SAC,M6,3.0,llm,-0.009825820972015948,-0.1393437654266521,0.009825820972015948,0.07051496665050344,0.1393437654266521,0.03512369314755077,7.650630687982727,1368,7
SAC,M6,7.0,llm,0.21001837372233378,2.0798948130283907,-0.21001837372233378,0.10097547837841886,-2.0798948130283907,0.01741810229402845,2.099097878036491,1368,7
