train/actor_loss,train/ent_coef_loss,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,train/learning_rate
-121.30184936523438,-164.33741760253906,4,186,-4.68701275,4927,0.017152663320302963,1257.0,5028,26,1.0098176002502441,0.0008459126528049375
-128.09063720703125,4.00594425201416,8,367,-3.6232721249999997,9955,0.0012305964482948184,1257.0,10056,27,57.4173469543457,0.0008459126528049375
-133.69691467285156,33.25205612182617,12,540,-2.93039225,14983,0.00107760785613209,1257.0,15084,27,3.197270154953003,0.0008459126528049375
-141.3743438720703,19.467300415039062,16,712,-2.5398401875,20011,0.0011447120923548937,1257.0,20112,28,6.906907558441162,0.0008459126528049375
-135.4466552734375,4.556159496307373,20,4,-2.3048482999999997,25039,0.0012955068377777934,1257.0,25140,29,47.44237518310547,0.0008459126528049375
-134.87637329101562,-2.497140884399414,24,168,-2.1530760416666666,30067,0.0007256224052980542,1257.0,30168,30,8.730584144592285,0.0008459126528049375
-130.83493041992188,47.169586181640625,28,332,-2.0414971428571422,35095,0.000578682404011488,1257.0,35196,30,3.158719062805176,0.0008459126528049375
-131.07025146484375,44.97542190551758,32,501,-1.9213811875,40123,0.0012537863804027438,1257.0,40224,30,22.728858947753906,0.0008459126528049375
-126.90484619140625,-76.51089477539062,36,702,-1.8731616944444442,45151,0.0008234805427491665,1257.0,45252,28,2.233963966369629,0.0008459126528049375
-117.71158599853516,59.97979736328125,40,8,-1.7837113500000001,50179,0.0010555448243394494,1257.0,50280,32,52.727073669433594,0.0008459126528049375
-108.96772766113281,-16.893085479736328,44,162,-1.7198934545454543,55207,0.0005568585474975407,1257.0,55308,32,1.8428713083267212,0.0008459126528049375
-101.1740493774414,-37.979427337646484,48,322,-1.65568175,60235,0.0010520108044147491,1257.0,60336,32,1.3169970512390137,0.0008459126528049375
-98.26448822021484,27.263248443603516,52,500,-1.6212902884615383,65263,0.00037518294993788004,1257.0,65364,30,4.919597148895264,0.0008459126528049375
-95.40126037597656,-16.653383255004883,56,689,-1.5609681250000003,70291,0.00043606155668385327,1257.0,70392,29,167.9999542236328,0.0008459126528049375
-87.92921447753906,62.366703033447266,60,16,-1.5426394000000003,75319,0.0004500684153754264,1257.0,75420,25,3.283787488937378,0.0008459126528049375
-84.66345977783203,-55.97868347167969,64,214,-1.5085829375,80347,0.0005857525393366814,1257.0,80448,25,2.136592388153076,0.0008459126528049375
-75.37640380859375,-35.794315338134766,68,409,-1.4854450147058822,85375,0.0005729527329094708,1257.0,85476,25,3.484621524810791,0.0008459126528049375
-70.59413146972656,-30.353256225585938,72,604,-1.46503475,90403,0.0007000672048889101,1257.0,90504,25,11.337793350219727,0.0008459126528049375
-64.43933868408203,-25.71675682067871,76,796,-1.447238552631579,95431,0.0012990582035854459,1257.0,95532,25,12.64155387878418,0.0008459126528049375
