train/actor_loss,train/ent_coef_loss,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,train/learning_rate
-124.2203598022461,-165.48715209960938,4,146,-4.10029525,4927,0.01775199919939041,1257.0,5028,34,7.123419761657715,0.0008459126528049375
-131.65533447265625,-46.03972244262695,8,308,-3.247772125,9955,0.001456207362934947,1257.0,10056,32,1.138777494430542,0.0008459126528049375
-135.69314575195312,80.15514373779297,12,484,-2.78158075,14983,0.0006108467932790518,1257.0,15084,31,4.839123249053955,0.0008459126528049375
-138.3069610595703,119.39405822753906,16,654,-2.4438773124999997,20011,0.00046240980736911297,1257.0,20112,30,110.28211212158203,0.0008459126528049375
-145.4769744873047,-47.32354736328125,20,4,-2.31222985,25039,0.0006404190207831562,1257.0,25140,28,6.704714298248291,0.0008459126528049375
-148.57586669921875,23.68996810913086,24,183,-2.157648791666667,30067,0.000555921986233443,1257.0,30168,28,4.149454116821289,0.0008459126528049375
-147.8634796142578,94.27601623535156,28,361,-2.0261041428571427,35095,0.0005796023178845644,1257.0,35196,28,6.151001930236816,0.0008459126528049375
-148.574462890625,-0.7953859567642212,32,539,-1.959275125,40123,0.0006052816170267761,1257.0,40224,28,3.398210048675537,0.0008459126528049375
-143.695556640625,42.64971923828125,36,717,-1.91771225,45151,0.0004754302208311856,1257.0,45252,28,3.141401767730713,0.0008459126528049375
-140.19918823242188,-32.961997985839844,40,7,-1.885330975,50179,0.0005428974982351065,1257.0,50280,35,3.7130656242370605,0.0008459126528049375
-132.84494018554688,66.45526123046875,44,152,-1.8376210681818181,55207,0.0012268074788153172,1257.0,55308,34,59.725215911865234,0.0008459126528049375
-132.91929626464844,27.06242561340332,48,297,-1.7972421458333334,60235,0.001521515310741961,1257.0,60336,34,8.42976188659668,0.0008459126528049375
-122.89262390136719,30.309741973876953,52,469,-1.7565566153846155,65263,0.0009925940539687872,1257.0,65364,32,42.162391662597656,0.0008459126528049375
-120.63014221191406,-6.147343635559082,56,651,-1.7172968035714287,70291,0.000989467604085803,1257.0,70392,31,8.139801025390625,0.0008459126528049375
-117.44759368896484,-17.864742279052734,60,15,-1.6851944833333332,75319,0.0006441754521802068,1257.0,75420,27,4.888575553894043,0.0008459126528049375
-98.69239044189453,-72.78816986083984,64,199,-1.651370046875,80347,0.0012896324042230844,1257.0,80448,27,6.842785835266113,0.0008459126528049375
-91.19454956054688,-7.272258281707764,68,389,-1.6257533529411763,85375,0.0008208127692341805,1257.0,85476,26,1.649293065071106,0.0008459126528049375
-85.50773620605469,20.664405822753906,72,547,-1.5978660416666668,90403,0.0009548278758302331,1257.0,90504,28,10.913268089294434,0.0008459126528049375
-82.39531707763672,106.14356994628906,76,702,-1.571009552631579,95431,0.0004611393087543547,1257.0,95532,29,6.480470657348633,0.0008459126528049375
