time/fps,train/ent_coef,train/ent_coef_loss,time/episodes,time/time_elapsed,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/n_updates
33,0.01704052835702896,-170.79208374023438,4,148,2.11309552192688,5028,0.0008459126528049375,-5.329065249999999,1257.0,-120.10916900634766,4927
33,0.0009046359336934984,78.663330078125,8,300,24.152782440185547,10056,0.0008459126528049375,-4.163259875,1257.0,-122.76373291015625,9955
33,0.0010756381088867784,-37.42918395996094,12,453,4.187522888183594,15084,0.0008459126528049375,-3.46878225,1257.0,-115.31502532958984,14983
32,0.0015623561339452863,-12.69247055053711,16,612,3.289736747741699,20112,0.0008459126528049375,-3.0387074375,1257.0,-100.66883850097656,20011
27,0.000768012716434896,74.13935852050781,20,5,3.1554529666900635,25140,0.0008459126528049375,-2.8192835,1257.0,-93.49990844726562,25039
