rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/ent_coef_loss,train/learning_rate,time/episodes,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/fps,train/ent_coef,train/n_updates
-5.04110775,4.180295944213867,67,-171.7578125,0.0008459126528049375,4,1258.0,-122.77104949951172,5032,75,0.017306756228208542,4931
-3.9671941250000002,3.6651477813720703,136,9.254485130310059,0.0008459126528049375,8,1258.0,-120.74575805664062,10064,73,0.0011030432069674134,9963
-3.1802794999999997,2.6617836952209473,206,-15.121108055114746,0.0008459126528049375,12,1258.0,-117.8114013671875,15096,72,0.0015372944762930274,14995
-2.8197775625,5.141670227050781,277,15.820941925048828,0.0008459126528049375,16,1258.0,-102.5484390258789,20128,72,0.0009921109303832054,20027
-2.59432845,2.401226043701172,2,34.51934814453125,0.0008459126528049375,20,1258.0,-91.51094055175781,25160,71,0.0006574948783963919,25059
-2.4688045416666666,1.3265247344970703,73,18.65920639038086,0.0008459126528049375,24,1258.0,-82.53395080566406,30192,71,0.00052720244275406,30091
-2.357348392857143,3.335015296936035,143,-31.127647399902344,0.0008459126528049375,28,1258.0,-80.35012817382812,35224,71,0.0004924373934045434,35123
-2.29171684375,0.6246757507324219,214,18.559932708740234,0.0008459126528049375,32,1258.0,-81.18252563476562,40256,71,0.0004771453677676618,40155
-2.2363113333333335,0.8804259300231934,285,-11.14697551727295,0.0008459126528049375,36,1258.0,-76.32234191894531,45288,71,0.00039005171856842935,45187
-2.2223463000000003,5.215187072753906,4,-43.58917236328125,0.0008459126528049375,40,1258.0,-75.00957489013672,50320,71,0.0007397198351100087,50219
-2.220067522727273,1.8664002418518066,75,-16.65028190612793,0.0008459126528049375,44,1258.0,-73.33419036865234,55352,71,0.0008060037507675588,55251
-2.1830957916666667,1.5556550025939941,145,1.1418989896774292,0.0008459126528049375,48,1258.0,-69.20995330810547,60384,71,0.0005897788796573877,60283
-2.1490521923076926,4.300703048706055,216,-53.716514587402344,0.0008459126528049375,52,1258.0,-62.342681884765625,65416,71,0.0009047826169990003,65315
-2.114434892857143,4.260007858276367,288,-6.634634971618652,0.0008459126528049375,56,1258.0,-59.960838317871094,70448,70,0.000723283039405942,70347
-2.1101459166666667,14.235173225402832,6,95.68932342529297,0.0008459126528049375,60,1258.0,-54.99639129638672,75480,69,0.0008773719891905785,75379
-2.0967241093749998,3.0380587577819824,80,49.74599838256836,0.0008459126528049375,64,1258.0,-47.84580993652344,80512,68,0.0005946148885414004,80411
-2.0760799705882356,10.28966999053955,155,7.041186332702637,0.0008459126528049375,68,1258.0,-47.261695861816406,85544,67,0.0011004569241777062,85443
-2.0637481527777783,4.116336822509766,230,27.103761672973633,0.0008459126528049375,72,1258.0,-42.197288513183594,90576,67,0.0019234855426475406,90475
-2.0524879473684217,9.29268741607666,305,60.1341552734375,0.0008459126528049375,76,1258.0,-36.02165985107422,95608,67,0.0009208298288285732,95507
