rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/ent_coef_loss,train/learning_rate,time/episodes,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/fps,train/ent_coef,train/n_updates
-5.04461875,1.6515765190124512,72,-167.95407104492188,0.0008459126528049375,4,1258.0,-123.30303955078125,5032,69,0.017326639965176582,4931
-4.05766225,7.453995704650879,146,-2.0009822845458984,0.0008459126528049375,8,1258.0,-128.91278076171875,10064,68,0.0010357691207900643,9963
-3.306014916666667,1.518937587738037,221,-46.87864303588867,0.0008459126528049375,12,1258.0,-127.64039611816406,15096,68,0.0007997988723218441,14995
-2.951763375,0.999597430229187,296,-32.89654541015625,0.0008459126528049375,16,1258.0,-126.90701293945312,20128,67,0.0006626551621593535,20027
-2.73802775,2.6883182525634766,2,-7.283353805541992,0.0008459126528049375,20,1258.0,-120.86637115478516,25160,74,0.000724894751328975,25059
-2.573723708333333,2.6150221824645996,71,-16.264362335205078,0.0008459126528049375,24,1258.0,-111.46302032470703,30192,73,0.0012516287388280034,30091
-2.4832805714285713,14.61609935760498,140,16.868547439575195,0.0008459126528049375,28,1258.0,-109.95266723632812,35224,72,0.0005685679498128593,35123
-2.45540740625,2.6740169525146484,209,-33.620208740234375,0.0008459126528049375,32,1258.0,-107.53441619873047,40256,72,0.0008572062943130732,40155
-2.412619416666667,13.347783088684082,279,-61.04644775390625,0.0008459126528049375,36,1258.0,-102.02056884765625,45288,72,0.0010269219055771828,45187
-2.3307715250000003,5.87866735458374,4,-50.7553596496582,0.0008459126528049375,40,1258.0,-101.83985900878906,50320,73,0.0005311942077241838,50219
-2.2702583181818183,3.5932960510253906,72,-6.715555191040039,0.0008459126528049375,44,1258.0,-102.88594055175781,55352,73,0.0009116585133597255,55251
-2.2284298541666665,3.640803813934326,141,-46.137184143066406,0.0008459126528049375,48,1258.0,-99.82046508789062,60384,73,0.0006806016317568719,60283
-2.1916281730769227,4.446324348449707,210,-63.80618667602539,0.0008459126528049375,52,1258.0,-98.50386810302734,65416,73,0.0003411266370676458,65315
-2.1564495892857143,2.6942296028137207,279,-35.61585998535156,0.0008459126528049375,56,1258.0,-91.78142547607422,70448,73,0.00033922959119081497,70347
-2.129217183333333,22.03106689453125,6,-27.4273681640625,0.0008459126528049375,60,1258.0,-82.16254425048828,75480,70,0.0009994369465857744,75379
-2.10827084375,13.050386428833008,81,38.9295654296875,0.0008459126528049375,64,1258.0,-74.22306823730469,80512,67,0.0008205865742638707,80411
-2.0989765147058828,9.212920188903809,155,-44.26347351074219,0.0008459126528049375,68,1258.0,-80.61772918701172,85544,67,0.0009557411540299654,85443
-2.0838971111111113,2.8847572803497314,230,-39.923240661621094,0.0008459126528049375,72,1258.0,-74.48779296875,90576,67,0.0005217540310695767,90475
-2.0604867368421056,6.044025421142578,304,-29.07025909423828,0.0008459126528049375,76,1258.0,-69.21473693847656,95608,67,0.000984641839750111,95507
