train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,time/total_timesteps,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,rollout/ep_rew_mean,train/learning_rate
0.016915321350097656,4,1257.0,191,2.760472059249878,5028,4927,-121.97362518310547,-167.87100219726562,26,-4.6836515,0.0008459126528049375
0.0009768600575625896,8,1257.0,417,3.13706111907959,10056,9955,-126.18560791015625,60.594669342041016,24,-3.636153375,0.0008459126528049375
0.0011348278494551778,12,1257.0,620,4.007613658905029,15084,14983,-119.60981750488281,-3.3994901180267334,24,-2.9725552500000005,0.0008459126528049375
0.0006503150216303766,16,1257.0,821,3.952207088470459,20112,20011,-116.15074920654297,27.673675537109375,24,-2.640594875,0.0008459126528049375
0.0006276885396800935,20,1257.0,4,2.822021007537842,25140,25039,-109.66578674316406,-33.879268646240234,28,-2.4578225000000002,0.0008459126528049375
0.0006468771025538445,24,1257.0,181,3.5869712829589844,30168,30067,-89.45087432861328,-18.793582916259766,28,-2.3075895833333333,0.0008459126528049375
0.0003763380809687078,28,1257.0,351,2.110884666442871,35196,35095,-77.09707641601562,73.73871612548828,28,-2.193073392857143,0.0008459126528049375
0.0002323632943443954,32,1257.0,532,1.1585781574249268,40224,40123,-71.10803985595703,-26.79391860961914,28,-2.12995665625,0.0008459126528049375
0.0003077159926760942,36,1257.0,743,2.05471134185791,45252,45151,-70.98606872558594,53.96907043457031,27,-2.043585333333333,0.0008459126528049375
0.00016822655743453652,40,1257.0,10,0.6399253606796265,50280,50179,-69.431640625,11.28805160522461,25,-1.9945755249999997,0.0008459126528049375
0.0002954811789095402,44,1257.0,208,0.797650158405304,55308,55207,-62.706138610839844,30.786693572998047,25,-1.9448142727272726,0.0008459126528049375
0.00043968347017653286,48,1257.0,399,0.5234372615814209,60336,60235,-61.66064453125,56.745361328125,25,-1.8999538750000002,0.0008459126528049375
0.0003484364424366504,52,1257.0,592,2.4760489463806152,65364,65263,-61.154518127441406,-25.968786239624023,25,-1.8586214230769231,0.0008459126528049375
0.00037124892696738243,56,1257.0,785,1.1001217365264893,70392,70291,-57.947723388671875,23.16812515258789,25,-1.8189492857142857,0.0008459126528049375
0.0004583800910040736,60,1257.0,16,0.4960576295852661,75420,75319,-59.04619598388672,-89.23847961425781,24,-1.7904085000000003,0.0008459126528049375
0.0005845800624229014,64,1257.0,206,0.8603421449661255,80448,80347,-54.97880935668945,8.362552642822266,26,-1.7664968906249998,0.0008459126528049375
0.00021933013340458274,68,1257.0,381,0.7830634117126465,85476,85375,-49.954097747802734,-58.55057144165039,27,-1.7389497499999997,0.0008459126528049375
0.00018175391596741974,72,1257.0,571,0.3497120440006256,90504,90403,-48.65535354614258,22.826019287109375,27,-1.717505888888889,0.0008459126528049375
0.0002891744370572269,76,1257.0,763,1.1667228937149048,95532,95431,-46.30241012573242,44.661991119384766,26,-1.695565605263158,0.0008459126528049375
