train/learning_rate,time/episodes,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,train/ent_coef,train/n_updates,time/time_elapsed,time/fps,train/actor_loss
0.0008459126528049375,4,3.196695327758789,-4.9884045,1258.0,-171.67379760742188,5032,0.01728181168437004,4931,486,10,-121.66309356689453
0.0008459126528049375,8,5.084012031555176,-4.0197861249999995,1258.0,-26.948505401611328,10064,0.0007970189326442778,9963,989,10,-130.9822540283203
0.0008459126528049375,12,69.04918670654297,-3.36584925,1258.0,53.6405143737793,15096,0.0005502161220647395,14995,1493,10,-126.1849594116211
0.0008459126528049375,16,9.041168212890625,-2.985365875,1258.0,39.65879821777344,20128,0.0008054609061218798,20027,1996,10,-103.65668487548828
0.0008459126528049375,20,2.1946628093719482,-2.75863235,1258.0,-44.309791564941406,25160,0.0007806273642927408,25059,15,10,-99.5169448852539
0.0008459126528049375,24,2.328418016433716,-2.5862854583333337,1258.0,-34.19826889038086,30192,0.000599480583332479,30091,514,10,-86.20603942871094
0.0008459126528049375,28,1.019796371459961,-2.452976107142857,1258.0,-8.618739128112793,35224,0.0003636486071627587,35123,1009,10,-81.80685424804688
0.0008459126528049375,32,1.0691280364990234,-2.4173597187499998,1258.0,-97.95638275146484,40256,0.0003529154055286199,40155,1499,10,-81.39037322998047
0.0008459126528049375,36,2.6351513862609863,-2.3529127777777776,1258.0,-36.83546447753906,45288,0.00038235061219893396,45187,1987,10,-76.12373352050781
0.0008459126528049375,40,0.9506876468658447,-2.3039004,1258.0,86.73780059814453,50320,0.0001867632963694632,50219,31,10,-73.544921875
0.0008459126528049375,44,1.137018084526062,-2.2548777045454544,1258.0,10.627806663513184,55352,0.00027511396910995245,55251,524,10,-68.98306274414062
0.0008459126528049375,48,1.2883206605911255,-2.2286453958333334,1258.0,63.51494216918945,60384,0.0004179130482953042,60283,993,10,-65.54804229736328
0.0008459126528049375,52,2.125767946243286,-2.1899660961538463,1258.0,-45.31635284423828,65416,0.0002257221203763038,65315,1460,10,-59.53644943237305
0.0008459126528049375,56,1.548501968383789,-2.161788571428571,1258.0,84.23968505859375,70448,0.00036011601332575083,70347,1926,10,-56.89395523071289
0.0008459126528049375,60,2.1444342136383057,-2.1220096,1258.0,-90.5106201171875,75480,0.0004081721417605877,75379,45,10,-54.2227668762207
0.0008459126528049375,64,1.2774951457977295,-2.08557459375,1258.0,-15.69926929473877,80512,0.0002821459202095866,80411,538,10,-50.49664306640625
0.0008459126528049375,68,8.913958549499512,-2.0594583088235296,1258.0,-21.82090950012207,85544,0.0010101298103109002,85443,1038,10,-46.674530029296875
0.0008459126528049375,72,1.437950611114502,-2.0444254444444443,1258.0,7.109535217285156,90576,0.00047710692160762846,90475,1549,10,-42.968162536621094
