train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps
4931,-123.02366638183594,0.0008459126528049375,2.118523597717285,-162.7836456298828,0.01697128638625145,4,71,1258.0,-5.07993075,5032,70
9963,-125.12701416015625,0.0008459126528049375,5.569209098815918,-16.874736785888672,0.0010078573832288384,8,144,1258.0,-4.08149625,10064,69
14995,-124.37259674072266,0.0008459126528049375,1.733781337738037,-10.388025283813477,0.0006464367615990341,12,219,1258.0,-3.518519999999999,15096,68
20027,-120.0609359741211,0.0008459126528049375,4.149811744689941,50.235897064208984,0.0006363191059790552,16,294,1258.0,-3.1552549999999995,20128,68
25059,-118.86817932128906,0.0008459126528049375,2.3204333782196045,-36.3546257019043,0.0008409282891079783,20,2,1258.0,-2.8857817499999996,25160,66
30091,-112.79879760742188,0.0008459126528049375,1.8965234756469727,11.649406433105469,0.0005179818253964186,24,77,1258.0,-2.7291660833333338,30192,66
35123,-76.09745788574219,0.0008459126528049375,16.74237060546875,-29.27899169921875,0.0014753811992704868,28,153,1258.0,-2.62325225,35224,66
40155,-59.197505950927734,0.0008459126528049375,8.276145935058594,-28.944080352783203,0.0006528764497488737,32,228,1258.0,-2.52394071875,40256,66
45187,-54.45854949951172,0.0008459126528049375,3.0240306854248047,-6.655905246734619,0.0005249918322078884,36,304,1258.0,-2.462852694444445,45288,66
50219,-43.336299896240234,0.0008459126528049375,1.890855073928833,-11.089160919189453,0.00024911569198593497,40,4,1258.0,-2.4616822,50320,67
55251,-32.504730224609375,0.0008459126528049375,2.2741808891296387,-33.88381576538086,0.0003184369998052716,44,79,1258.0,-2.4473559999999996,55352,67
60283,-27.31314468383789,0.0008459126528049375,1.7046107053756714,72.5140609741211,0.0003000636352226138,48,152,1258.0,-2.436509291666667,60384,68
65315,-18.284313201904297,0.0008459126528049375,1.4657254219055176,-15.046365737915039,0.0003164763911627233,52,225,1258.0,-2.395091923076923,65416,68
70347,-12.566974639892578,0.0008459126528049375,2.8814401626586914,36.68091583251953,0.0003119498724117875,56,299,1258.0,-2.3685535892857144,70448,68
75379,-6.833255767822266,0.0008459126528049375,5.587514877319336,-57.39151382446289,0.00035482263774611056,60,7,1258.0,-2.3472456499999996,75480,66
80411,5.180037498474121,0.0008459126528049375,3.91050386428833,0.8553755283355713,0.00041908002458512783,64,84,1258.0,-2.314440390625,80512,65
85443,14.625062942504883,0.0008459126528049375,9.089032173156738,4.962735652923584,0.0006039237487129867,68,162,1258.0,-2.2982317205882357,85544,64
90475,29.969099044799805,0.0008459126528049375,11.98780345916748,39.87548828125,0.0007297376287169755,72,240,1258.0,-2.2803642083333333,90576,64
95507,42.59489059448242,0.0008459126528049375,4.064550399780273,7.688603401184082,0.000919383717700839,76,318,1258.0,-2.271613618421053,95608,64
