time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/std,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
8,14848,29,1782,0.251953125,448,0.9834995865821838,-0.021290608136041556,0.031146955,-43.46225023269653,-0.016009068116545677,0.0231603193533374,0.009134232997894287,0.2,0.0004092704424510632,-2.625843272727273,1257.0
8,15360,30,1781,0.22998046875,464,0.9836113452911377,-0.024685250245966017,0.017599216,-43.4463427066803,-0.03187179937958717,0.004800943774171174,-0.9391329288482666,0.2,0.0004092704424510632,-2.63723275,1257.0
8,15872,31,1781,0.30810546875,480,0.9836935997009277,-0.028334637594525702,0.030302184,-43.446441769599915,-0.005998279899358749,0.1261034538038075,0.004064500331878662,0.2,0.0004092704424510632,-2.63723275,1257.0
9,16384,32,1779,0.2222900390625,496,0.9849884510040283,-0.024405729142017663,0.016306354,-43.467960596084595,-0.045062944293022156,0.007807601752574556,-0.7897052764892578,0.2,0.0004092704424510632,-2.6257411538461537,1257.0
9,16896,33,1777,0.257080078125,512,0.9848303198814392,-0.02754445470054634,0.029913967,-43.49214732646942,0.012495569884777069,0.10499764769338071,0.028533101081848145,0.2,0.0004092704424510632,-2.6257411538461537,1257.0
9,17408,34,1775,0.2218017578125,528,0.9845557808876038,-0.027662331878673285,0.018942446,-43.47867441177368,-0.048851292580366135,0.002942727216577623,-3.505276679992676,0.2,0.0004092704424510632,-2.6257411538461537,1257.0
10,17920,35,1776,0.203857421875,544,0.9838262796401978,-0.023680198093643412,0.017670719,-43.463170528411865,-0.03446108102798462,0.004217575129587203,-0.0014524459838867188,0.2,0.0004092704424510632,-2.610293071428571,1257.0
10,18432,36,1775,0.2564697265625,560,0.9851571321487427,-0.02341955884185154,0.023473509,-43.461061120033264,-0.005458060652017593,0.10861433343961835,0.01752912998199463,0.2,0.0004092704424510632,-2.610293071428571,1257.0
10,18944,37,1774,0.24755859375,576,0.9865829348564148,-0.02916253899456933,0.016226355,-43.50870633125305,-0.036683082580566406,0.005045845398853999,-2.2567882537841797,0.2,0.0004092704424510632,-2.6186215333333327,1257.0
10,19456,38,1774,0.2088623046875,592,0.9879469871520996,-0.02219324657926336,0.014261827,-43.5538774728775,0.035555142909288406,0.15389063116163015,0.002739429473876953,0.2,0.0004092704424510632,-2.6186215333333327,1257.0
