time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/std,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,4177,,,,,,,,,,,,,
0,1024,2,2469,0.2784423828125,16,0.9985782504081726,-0.035213560666306876,0.017579604,-43.96955120563507,-0.039758652448654175,0.15006381837883964,-0.5819200277328491,0.2,0.0004092704424510632,,
0,1536,3,2183,0.256103515625,32,0.9972835183143616,-0.031084244343219325,0.020373408,-43.91818153858185,-0.03704493120312691,0.0033180194805026986,0.004727780818939209,0.2,0.0004092704424510632,-2.637061,1257.0
0,2048,4,2072,0.334228515625,48,0.9965499639511108,-0.02586677749059163,0.024918916,-43.88880658149719,-0.01774457097053528,0.023683799372520298,-0.004289507865905762,0.2,0.0004092704424510632,-2.637061,1257.0
1,2560,5,2016,0.2491455078125,64,0.9982790946960449,-0.027541209885384887,0.017613992,-43.898056626319885,-0.0435432568192482,0.004968427849235013,-0.0007025003433227539,0.2,0.0004092704424510632,-2.6747025,1257.0
1,3072,6,1976,0.2568359375,80,0.9989868998527527,-0.025355168399983086,0.014792068,-43.94853091239929,-0.016778862103819847,0.031070627155713737,-0.0012263059616088867,0.2,0.0004092704424510632,-2.6747025,1257.0
1,3584,7,1949,0.3145751953125,96,0.999626636505127,-0.03346639755181968,0.020370256,-43.96180212497711,-0.04479917138814926,0.002681937305169413,-0.014528870582580566,0.2,0.0004092704424510632,-2.6747025,1257.0
2,4096,8,1929,0.2545166015625,112,1.0003786087036133,-0.026526684901909903,0.016205985,-43.97963511943817,-0.030154647305607796,0.0034052228002110496,-0.003194093704223633,0.2,0.0004092704424510632,-2.7192876666666663,1257.0
2,4608,9,1912,0.2545166015625,128,1.000962734222412,-0.020277764793718234,0.019312054,-44.00473606586456,0.0009789764881134033,0.04856412566732615,0.0011269450187683105,0.2,0.0004092704424510632,-2.7192876666666663,1257.0
2,5120,10,1899,0.2135009765625,144,1.0017727613449097,-0.020548592263367027,0.011952026,-44.01977980136871,-0.025752492249011993,0.004836410691495985,0.0011833906173706055,0.2,0.0004092704424510632,-2.7181362499999997,1257.0
2,5632,11,1890,0.265625,160,1.0031054019927979,-0.025212844877387397,0.023710899,-44.055856347084045,-0.0074660517275333405,0.05733994045294821,0.0009138584136962891,0.2,0.0004092704424510632,-2.7181362499999997,1257.0
3,6144,12,1882,0.2525634765625,176,1.002684473991394,-0.029946975264465436,0.017731065,-44.07004177570343,-0.0404040552675724,0.0026449269316799473,-0.013468384742736816,0.2,0.0004092704424510632,-2.7181362499999997,1257.0
3,6656,13,1876,0.1558837890625,192,1.0045095682144165,-0.020168887116597034,0.012714004,-44.0809109210968,-0.02968287467956543,0.0029530065003200434,-0.0021756887435913086,0.2,0.0004092704424510632,-2.7003569999999995,1257.0
3,7168,14,1871,0.29443359375,208,1.004063367843628,-0.02708556060679257,0.025263812,-44.11193311214447,-0.009327132254838943,0.0713955449173227,0.0022049546241760254,0.2,0.0004092704424510632,-2.7003569999999995,1257.0
4,7680,15,1868,0.2158203125,224,1.0026100873947144,-0.026428891898831353,0.015175319,-44.07575440406799,-0.04342232272028923,0.00425889712641947,-0.0913933515548706,0.2,0.0004092704424510632,-2.7091589999999997,1257.0
4,8192,16,1864,0.311279296875,240,1.0015249252319336,-0.03437476650287863,0.03134224,-44.032928466796875,-0.016903705894947052,0.07489770487882197,0.004299938678741455,0.2,0.0004092704424510632,-2.7091589999999997,1257.0
4,8704,17,1861,0.25927734375,256,1.001861333847046,-0.027907146664801985,0.017257903,-44.01529335975647,-0.03816699981689453,0.0035278769719297998,-0.19782733917236328,0.2,0.0004092704424510632,-2.7091589999999997,1257.0
4,9216,18,1858,0.171875,272,0.9998087882995605,-0.01989193966437597,0.01309374,-43.99898624420166,-0.03026035986840725,0.002791919254377717,-0.12504470348358154,0.2,0.0004092704424510632,-2.6860374285714284,1257.0
5,9728,19,1855,0.290283203125,288,0.9979526996612549,-0.02931711115525104,0.022939406,-43.92261016368866,-0.00389234721660614,0.07851275114808232,0.06518298387527466,0.2,0.0004092704424510632,-2.6860374285714284,1257.0
5,10240,20,1853,0.208251953125,304,0.9966926574707031,-0.022816626209532842,0.013723122,-43.87682616710663,-0.03291986137628555,0.004453657362319063,-0.6312597990036011,0.2,0.0004092704424510632,-2.679094,1257.0
5,10752,21,1850,0.28271484375,320,0.995012104511261,-0.026678628419176675,0.022333136,-43.833935499191284,-0.01223946362733841,0.05714642640668899,0.012360036373138428,0.2,0.0004092704424510632,-2.679094,1257.0
6,11264,22,1848,0.2030029296875,336,0.9968081116676331,-0.02341715677175671,0.0142884925,-43.821457386016846,-0.024347806349396706,0.003133994174277177,-1.0987944602966309,0.2,0.0004092704424510632,-2.679094,1257.0
6,11776,23,1845,0.2237548828125,352,0.9965516924858093,-0.024627563368994743,0.014840905,-43.86223065853119,-0.04396386072039604,0.002564991453255061,0.007819890975952148,0.2,0.0004092704424510632,-2.684784222222222,1257.0
6,12288,24,1842,0.2855224609375,368,0.9978870749473572,-0.02759566085296683,0.026253592,-43.86026632785797,-0.011480998247861862,0.07717516005504876,0.004081368446350098,0.2,0.0004092704424510632,-2.684784222222222,1257.0
6,12800,25,1840,0.22705078125,384,0.9991822838783264,-0.026141882728552446,0.019151144,-43.90992212295532,-0.03582606092095375,0.004850091638218146,-0.6688250303268433,0.2,0.0004092704424510632,-2.6773689999999997,1257.0
7,13312,26,1838,0.2708740234375,400,0.9972760677337646,-0.03002635479788296,0.026580043,-43.90771234035492,-0.024476617574691772,0.08478224300779402,0.013199865818023682,0.2,0.0004092704424510632,-2.6773689999999997,1257.0
