train/ent_coef_loss,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,time/fps,time/total_timesteps,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/learning_rate
-164.98533630371094,4927,2.2172560691833496,454,1257.0,0.01711486093699932,11,5028,4,-120.50687408447266,-4.829461500000001,0.0008459126528049375
18.01886558532715,9955,44.17497634887695,921,1257.0,0.0009698258363641798,10,10056,8,-124.74322509765625,-3.8028508750000003,0.0008459126528049375
35.20329284667969,14983,4.464694976806641,1385,1257.0,0.0008862837566994131,10,15084,12,-131.3527069091797,-3.097166916666667,0.0008459126528049375
-24.0039005279541,20011,7.376733779907227,1843,1257.0,0.0008462045225314796,10,20112,16,-127.77241516113281,-2.7026480625,0.0008459126528049375
-3.692821979522705,25039,8.679738998413086,12,1257.0,0.0007226814632304013,11,25140,20,-116.37825012207031,-2.5650023999999996,0.0008459126528049375
11.38723373413086,30067,5.920660972595215,470,1257.0,0.0007536088232882321,10,30168,24,-103.1361083984375,-2.4067052083333333,0.0008459126528049375
-32.17534255981445,35095,4.227839469909668,922,1257.0,0.0003600421769078821,11,35196,28,-94.68329620361328,-2.319608678571428,0.0008459126528049375
17.48033905029297,40123,3.8657150268554688,1385,1257.0,0.0004682348226197064,10,40224,32,-90.18279266357422,-2.1978462499999996,0.0008459126528049375
71.7045669555664,45151,5.454453468322754,1860,1257.0,0.0005701605696231127,10,45252,36,-86.90846252441406,-2.114743555555555,0.0008459126528049375
18.714603424072266,50179,1.4630458354949951,26,1257.0,0.00043204176472499967,10,50280,40,-82.20924377441406,-2.0435097,0.0008459126528049375
-68.73430633544922,55207,2.535428285598755,499,1257.0,0.0006261149537749588,10,55308,44,-74.54275512695312,-2.002760386363636,0.0008459126528049375
25.701091766357422,60235,3.817295551300049,971,1257.0,0.0006191759021021426,10,60336,48,-68.06412506103516,-1.9724346666666666,0.0008459126528049375
-53.61080551147461,65263,6.322202205657959,1434,1257.0,0.00035502371611073613,10,65364,52,-65.81658935546875,-1.950263423076923,0.0008459126528049375
