k,iqm_val_log_return,mean_val_log_return,std_val_log_return
7,0.25746926899792505,0.2562777764551128,0.011451601834030042
15,0.25857206556842177,0.25961250833127714,0.011449070131586615
30,0.2526319581809296,0.2538606759502165,0.0063950368737741205
60,0.25196249340284926,0.254061109217826,0.006810748232843132
