time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_fraction,train/approx_kl,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
49,25088,20,1204,0.2303466796875,0.016776817,-43.53276181221008,-6.3189263343811035,0.9860159754753113,0.2,-0.026706679549533874,768,0.0055549869139213115,0.0004092704424510632,-0.044251520186662674,1258.0,-2.0850504736842104
50,25600,21,1204,0.24658203125,0.021241449,-43.48779118061066,0.11339575052261353,0.9828440546989441,0.2,-0.02900536345259752,784,0.0044826429802924395,0.0004092704424510632,-0.044296734035015106,1258.0,-2.08041195
51,26112,21,1204,0.1634521484375,0.015666459,-43.407894015312195,0.11070996522903442,0.9823455214500427,0.2,-0.01746660255594179,800,0.14834677253384143,0.0004092704424510632,0.01224459707736969,1258.0,-2.08041195
52,26624,22,1204,0.23486328125,0.019435372,-43.417229413986206,-2.3007256984710693,0.983035147190094,0.2,-0.028580606063769665,816,0.016364196577342227,0.0004092704424510632,-0.05255774408578873,1258.0,-2.0790600476190475
53,27136,22,1204,0.1817626953125,0.01918663,-43.429967403411865,0.27856385707855225,0.9830664992332458,0.2,-0.02107873058412224,832,0.17203267943114042,0.0004092704424510632,0.024832919239997864,1258.0,-2.0790600476190475
54,27648,22,1204,0.27490234375,0.026306907,-43.41938602924347,-4.146773815155029,0.9825552701950073,0.2,-0.03100847380119376,848,0.00690325257164659,0.0004092704424510632,-0.04842323064804077,1258.0,-2.0790600476190475
55,28160,23,1204,0.2081298828125,0.014297398,-43.377097845077515,0.41145503520965576,0.9801582098007202,0.2,-0.0282644210383296,864,0.01042605513066519,0.0004092704424510632,-0.03624500706791878,1258.0,-2.0788878636363637
56,28672,23,1204,0.222412109375,0.030993152,-43.31851863861084,0.2753409147262573,0.9796524047851562,0.2,-0.0248374012298882,880,0.09883123775944114,0.0004092704424510632,0.0015717558562755585,1258.0,-2.0788878636363637
57,29184,24,1204,0.2266845703125,0.018841624,-43.30432462692261,-2.2082533836364746,0.9790961146354675,0.2,-0.022696573985740542,896,0.015442370320670307,0.0004092704424510632,-0.02337414026260376,1258.0,-2.081168260869565
58,29696,24,1204,0.1824951171875,0.01959847,-43.29480290412903,0.22329628467559814,0.9795665740966797,0.2,-0.022935399232665077,912,0.17477538413368165,0.0004092704424510632,0.03525175899267197,1258.0,-2.081168260869565
59,30208,25,1204,0.239990234375,0.019416813,-43.31620955467224,-0.6813372373580933,0.9801772236824036,0.2,-0.027499379197251983,928,0.013463581766700372,0.0004092704424510632,-0.02898924984037876,1258.0,-2.0915204166666665
