train/ent_coef,train/critic_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/time_elapsed,train/learning_rate
0.019250908866524696,1.8786660432815552,33,-123.38280487060547,-4.29429725,4,-165.4571075439453,1223.0,4892,4791,147,0.0008459126528049375
0.0010352550307288766,2.11175537109375,32,-129.3286590576172,-3.401323625,8,-45.44767761230469,1223.0,9784,9683,305,0.0008459126528049375
0.0009486933704465628,98.534423828125,32,-131.5896453857422,-2.676088416666666,12,-25.50698471069336,1223.0,14676,14575,456,0.0008459126528049375
0.0012345389695838094,55.008262634277344,32,-135.1577606201172,-2.357909375,16,19.298433303833008,1223.0,19568,19467,608,0.0008459126528049375
0.0015982224140316248,55.30429458618164,32,-140.61412048339844,-2.1691129,20,54.45556640625,1223.0,24460,24359,761,0.0008459126528049375
0.0007931314175948501,4.821017265319824,32,-142.39657592773438,-2.009895541666667,24,-59.25572204589844,1223.0,29352,29251,135,0.0008459126528049375
0.000804680457804352,4.142748832702637,32,-138.66384887695312,-1.8844240714285712,28,-79.2339096069336,1223.0,34244,34143,287,0.0008459126528049375
0.0009262905805371702,38.83235168457031,32,-136.32684326171875,-1.8048815937499998,32,42.55339050292969,1223.0,39136,39035,439,0.0008459126528049375
0.001118635991588235,29.415462493896484,30,-132.52008056640625,-1.7503636944444443,36,20.156469345092773,1223.0,44028,43927,620,0.0008459126528049375
0.0005903930868953466,9.818151473999023,29,-123.0401840209961,-1.730929675,40,-4.443553924560547,1223.0,48920,48819,809,0.0008459126528049375
0.0010520420037209988,16.648426055908203,31,-95.58621215820312,-1.6748826363636369,44,0.9567232131958008,1223.0,53812,53711,121,0.0008459126528049375
0.0007876117015257478,2.082343339920044,31,-96.17042541503906,-1.624239,48,20.24848747253418,1223.0,58704,58603,277,0.0008459126528049375
0.0005311509012244642,4.070798873901367,31,-94.0780029296875,-1.584527519230769,52,-1.1156342029571533,1223.0,63596,63495,434,0.0008459126528049375
0.00032958309748210013,0.7663156390190125,31,-93.19982147216797,-1.5528090535714283,56,29.19973373413086,1223.0,68488,68387,592,0.0008459126528049375
0.0006666494300588965,3.1798901557922363,30,-75.63591766357422,-1.5317290999999997,60,20.5284423828125,1223.0,73380,73279,773,0.0008459126528049375
0.0004863470094278455,7.2258524894714355,25,-69.40686798095703,-1.503796109375,64,-6.144476413726807,1223.0,78272,78171,127,0.0008459126528049375
0.0011105146259069443,5.526575088500977,24,-65.73310852050781,-1.4802749705882352,68,40.887393951416016,1223.0,83164,83063,327,0.0008459126528049375
0.0010472176363691688,8.607507705688477,24,-62.445960998535156,-1.4620070555555555,72,2.5072805881500244,1223.0,88056,87955,524,0.0008459126528049375
0.0011355261085554957,4.898117542266846,24,-58.3809814453125,-1.43776525,76,-18.098421096801758,1223.0,92948,92847,720,0.0008459126528049375
0.0016826371429488063,9.840583801269531,25,-41.26084518432617,-1.4164201249999997,80,18.029502868652344,1223.0,97840,97739,903,0.0008459126528049375
