time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/std,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
4119,0,1,512,,,,,,,,,,,,,
2494,0,2,1024,0.9998894929885864,0.0004092704424510632,16,0.10130200143248658,-43.98685956001282,0.3079833984375,-0.5104485750198364,-0.03721158753614873,0.2,0.020504083,-0.047220803797245026,,
2224,0,3,1536,0.9995006322860718,0.0004092704424510632,32,0.006475333735579625,-43.976062655448914,0.241943359375,0.03491055965423584,-0.026897119452769402,0.2,0.016365448,-0.03611002117395401,-2.486559,1258.0
2063,0,4,2048,0.9997488260269165,0.0004092704424510632,48,0.012501840421464294,-43.972001791000366,0.2938232421875,0.030170321464538574,-0.029343847883865237,0.2,0.022844274,-0.03731349855661392,-2.486559,1258.0
1884,1,5,2560,0.9983600378036499,0.0004092704424510632,64,0.0023115484254958574,-43.96166634559631,0.295166015625,0.017159461975097656,-0.02648789982777089,0.2,0.021439845,-0.035562776029109955,-2.3843104999999998,1258.0
1814,1,6,3072,0.9972628951072693,0.0004092704424510632,80,0.01829960066243075,-43.91306805610657,0.302978515625,-0.003920316696166992,-0.028356548136798665,0.2,0.020128906,-0.021740484982728958,-2.3843104999999998,1258.0
1814,1,7,3584,0.9966623187065125,0.0004092704424510632,96,0.0028455993051466066,-43.88598966598511,0.2381591796875,-0.013225197792053223,-0.026291305330232717,0.2,0.017943587,-0.03469439595937729,-2.3843104999999998,1258.0
1815,2,8,4096,0.9980605244636536,0.0004092704424510632,112,0.004096926357306074,-43.89819920063019,0.2503662109375,0.07811141014099121,-0.022803859814302996,0.2,0.022090405,-0.022931983694434166,-2.403316,1258.0
1814,2,9,4608,0.9975047707557678,0.0004092704424510632,128,0.024194402678404003,-43.91900312900543,0.229736328125,0.02508866786956787,-0.022553172835614532,0.2,0.015711918,-0.01373288780450821,-2.403316,1258.0
1818,2,10,5120,0.9952470064163208,0.0004092704424510632,144,0.00456899571872782,-43.87537598609924,0.23828125,0.31524837017059326,-0.02735617064172402,0.2,0.015399519,-0.02841932885348797,-2.3998939999999997,1258.0
1822,3,11,5632,0.9952692985534668,0.0004092704424510632,160,0.03324222849914804,-43.82581853866577,0.3206787109375,0.009481966495513916,-0.03602240394684486,0.2,0.029029869,-0.018574010580778122,-2.3998939999999997,1258.0
1822,3,12,6144,0.9943866729736328,0.0004092704424510632,176,0.002183385595344589,-43.823503613471985,0.2625732421875,0.025010764598846436,-0.03156951462733559,0.2,0.016095797,-0.04280240461230278,-2.3998939999999997,1258.0
1814,3,13,6656,0.9949399828910828,0.0004092704424510632,192,0.009418895264388993,-43.810837388038635,0.22021484375,0.01909160614013672,-0.022707871496095322,0.2,0.017712105,-0.028751380741596222,-2.405107,1258.0
1807,3,14,7168,0.991751492023468,0.0004092704424510632,208,0.041550221387296915,-43.78715109825134,0.3306884765625,0.015434563159942627,-0.03705839574104175,0.2,0.033826753,-0.023468144237995148,-2.405107,1258.0
1801,4,15,7680,0.991007924079895,0.0004092704424510632,224,0.005075805362139363,-43.69917166233063,0.205322265625,0.5213683843612671,-0.02278407264384441,0.2,0.013414064,-0.03927032649517059,-2.389347,1258.0
1797,4,16,8192,0.9912751317024231,0.0004092704424510632,240,0.046601450885646045,-43.70106065273285,0.2242431640625,0.03303849697113037,-0.023813596766558476,0.2,0.019460086,-0.013198036700487137,-2.389347,1258.0
1793,4,17,8704,0.9943063855171204,0.0004092704424510632,256,0.002428581577987643,-43.739545583724976,0.2113037109375,-0.1146472692489624,-0.02121005198569037,0.2,0.015843865,-0.030480436980724335,-2.389347,1258.0
1789,5,18,9216,0.9959586262702942,0.0004092704424510632,272,0.002918360089097405,-43.826987504959106,0.176513671875,0.2491084337234497,-0.017629147216212004,0.2,0.016384538,-0.02233114279806614,-2.375391,1258.0
1787,5,19,9728,0.9960749745368958,0.0004092704424510632,288,0.0622258159564808,-43.85623514652252,0.21826171875,0.02066272497177124,-0.020325881167082116,0.2,0.017888231,-0.0005677342414855957,-2.375391,1258.0
1792,5,20,10240,0.9955496191978455,0.0004092704424510632,304,0.0031453171104658395,-43.842710733413696,0.242431640625,0.5988642573356628,-0.02525707645691,0.2,0.024829097,-0.038081347942352295,-2.3638415,1258.0
1797,5,21,10752,0.9942647814750671,0.0004092704424510632,320,0.05431389529258013,-43.818949818611145,0.2452392578125,0.11060076951980591,-0.029065418464597315,0.2,0.017244011,-0.016433799639344215,-2.3638415,1258.0
1800,6,22,11264,0.9931656122207642,0.0004092704424510632,336,0.002482974796294002,-43.775776624679565,0.2059326171875,-0.6258840560913086,-0.022930115403141826,0.2,0.013645704,-0.029695291072130203,-2.3638415,1258.0
1803,6,23,11776,0.9928544163703918,0.0004092704424510632,352,0.0023959937716426793,-43.755672097206116,0.2757568359375,0.5220391154289246,-0.028808751972974278,0.2,0.024771873,-0.03873645141720772,-2.3636222222222223,1258.0
1810,6,24,12288,0.9935896396636963,0.0004092704424510632,368,0.06222387193702161,-43.75519299507141,0.248291015625,0.04960232973098755,-0.025727301166625693,0.2,0.022909207,-0.017536554485559464,-2.3636222222222223,1258.0
1828,7,25,12800,0.9933289885520935,0.0004092704424510632,384,0.003686052586999722,-43.77371120452881,0.2265625,0.7261958718299866,-0.022917620692169294,0.2,0.02103879,-0.030865151435136795,-2.3632686,1258.0
1844,7,26,13312,0.9925256371498108,0.0004092704424510632,400,0.061442053178325295,-43.75229895114899,0.2310791015625,0.14942270517349243,-0.024905699712689966,0.2,0.020473562,-0.017084425315260887,-2.3632686,1258.0
1860,7,27,13824,0.990803062915802,0.0004092704424510632,416,0.002674722927622497,-43.71662724018097,0.2603759765625,-0.9550226926803589,-0.0290415525669232,0.2,0.018037602,-0.03894736245274544,-2.3632686,1258.0
