time/total_timesteps,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,time/fps,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/actor_loss
4892,466,-179.8640899658203,-4.3373755,45.828121185302734,0.019069677218794823,10,4,1223.0,4791,0.0008459126528049375,-120.00970458984375
9784,943,36.26432418823242,-3.403134875,7.212346076965332,0.0014285449869930744,10,8,1223.0,9683,0.0008459126528049375,-121.546875
14676,1421,69.41740417480469,-2.7493474166666663,6.971501350402832,0.0008812458254396915,10,12,1223.0,14575,0.0008459126528049375,-117.40037536621094
19568,1898,-33.51133346557617,-2.4572114375,4.239319324493408,0.0006434457609429955,10,16,1223.0,19467,0.0008459126528049375,-108.1641845703125
24460,2373,-22.446229934692383,-2.25808395,27.911991119384766,0.0013484159717336297,10,20,1223.0,24359,0.0008459126528049375,-99.71452331542969
29352,418,22.99650764465332,-2.1174768333333334,4.072599411010742,0.0008362163207493722,10,24,1223.0,29251,0.0008459126528049375,-94.70416259765625
34244,885,-2.268820285797119,-2.018397821428571,2.5785763263702393,0.0006653753225691617,10,28,1223.0,34143,0.0008459126528049375,-79.74668884277344
39136,1348,12.571027755737305,-1.941883,1.003427505493164,0.0004298139247111976,10,32,1223.0,39035,0.0008459126528049375,-77.21177673339844
44028,1802,-77.987060546875,-1.870496861111111,2.7369229793548584,0.0008455926435999572,10,36,1223.0,43927,0.0008459126528049375,-66.48307037353516
48920,2245,-53.066917419433594,-1.8181905,6.718253135681152,0.0008567665936425328,10,40,1223.0,48819,0.0008459126528049375,-53.30332946777344
53812,345,-40.00273895263672,-1.7769329999999999,8.343448638916016,0.0005674886051565409,11,44,1223.0,53711,0.0008459126528049375,-40.38561248779297
58704,789,-17.994810104370117,-1.7381150833333336,5.727875232696533,0.000767487334087491,11,48,1223.0,58603,0.0008459126528049375,-25.47757911682129
63596,1230,-55.302398681640625,-1.7234372884615388,3.4881067276000977,0.000775218999478966,11,52,1223.0,63495,0.0008459126528049375,-22.71758270263672
68488,1668,41.15211868286133,-1.70334325,2.6112499237060547,0.0002854897466022521,11,56,1223.0,68387,0.0008459126528049375,-19.56903076171875
73380,2110,83.14324951171875,-1.6661706500000002,1.5731661319732666,0.0005534154479391873,11,60,1223.0,73279,0.0008459126528049375,-15.299936294555664
78272,307,31.716064453125,-1.6386005625,0.7118425965309143,0.00022231100592762232,10,64,1223.0,78171,0.0008459126528049375,-11.541494369506836
83164,776,-31.83041000366211,-1.6055501029411765,4.204780578613281,0.0009609130793251097,10,68,1223.0,83063,0.0008459126528049375,-6.070487022399902
88056,1249,35.42432403564453,-1.5787156388888888,2.6703391075134277,0.0005958282854408026,10,72,1223.0,87955,0.0008459126528049375,0.21392470598220825
