time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,2730,1,,,,,,,,,,,,,
1024,0,1714,2,-0.9347251653671265,0.0004092704424510632,-0.05182107910513878,0.254150390625,0.015033456,-43.9711297750473,0.2,0.9987424612045288,16,-0.03129465752863325,0.0989394331118092,,
1536,0,1541,3,-0.0042427778244018555,0.0004092704424510632,-0.027704956009984016,0.2574462890625,0.018528305,-43.949007749557495,0.2,0.9992801547050476,32,-0.030629546876298264,0.005522518520592712,1258.0,-2.282173
2048,1,1465,4,-0.0071648359298706055,0.0004092704424510632,-0.029416799545288086,0.21142578125,0.014086254,-43.97464156150818,0.2,0.9998515844345093,48,-0.022985611620242707,0.0017672330395726021,1258.0,-2.282173
2560,1,1425,5,0.0012993216514587402,0.0004092704424510632,-0.03035655803978443,0.264892578125,0.019755576,-43.98369073867798,0.2,1.0000933408737183,64,-0.02519676784868352,0.002545704504882451,1258.0,-2.3194665
3072,2,1397,6,0.004936158657073975,0.0004092704424510632,-0.023834548890590668,0.2525634765625,0.016775642,-43.988311409950256,0.2,1.0000883340835571,80,-0.027358563063899055,0.0028753383667208254,1258.0,-2.3194665
3584,2,1379,7,0.01185077428817749,0.0004092704424510632,-0.04668300598859787,0.25732421875,0.014765298,-43.98665487766266,0.2,1.0002604722976685,96,-0.028097105852793902,0.0027103712418465875,1258.0,-2.3194665
4096,2,1365,8,0.018023788928985596,0.0004092704424510632,-0.03393770754337311,0.271484375,0.015734188,-43.979868054389954,0.2,0.9997128248214722,112,-0.025412083632545546,0.005389072932302952,1258.0,-2.3060506666666662
4608,3,1354,9,0.009315431118011475,0.0004092704424510632,-0.04614093527197838,0.279296875,0.023181643,-43.962053060531616,0.2,0.9991709589958191,128,-0.028292815492022783,0.006820267532020807,1258.0,-2.3060506666666662
5120,3,1346,10,0.07213002443313599,0.0004092704424510632,-0.02594766393303871,0.2489013671875,0.023667127,-43.978817105293274,0.2,1.0010676383972168,144,-0.021945609478279948,0.004817587469005957,1258.0,-2.2689787499999996
5632,4,1339,11,-0.0013015270233154297,0.0004092704424510632,-0.0359114333987236,0.265625,0.017680466,-43.999062299728394,0.2,0.9995633363723755,160,-0.02476074208971113,0.008656789810629562,1258.0,-2.2689787499999996
6144,4,1334,12,0.060459911823272705,0.0004092704424510632,-0.040000129491090775,0.274169921875,0.017844066,-43.94339311122894,0.2,0.9985504150390625,176,-0.028030023167957552,0.001899020799100981,1258.0,-2.2689787499999996
6656,5,1330,13,0.027184724807739258,0.0004092704424510632,-0.04786982014775276,0.284912109375,0.024440829,-43.93623602390289,0.2,0.9989328980445862,192,-0.031007210578536615,0.005244871354079805,1258.0,-2.295801
7168,5,1325,14,0.02371913194656372,0.0004092704424510632,-0.021673880517482758,0.263671875,0.018900905,-43.942422747612,0.2,0.9992446899414062,208,-0.025865908071864396,0.01657903118757531,1258.0,-2.295801
7680,5,1321,15,0.28033411502838135,0.0004092704424510632,-0.051984239369630814,0.284912109375,0.024734337,-43.938223004341125,0.2,0.9985123872756958,224,-0.02932368530309759,0.0047786369905225,1258.0,-2.3080065
8192,6,1318,16,0.11129641532897949,0.0004092704424510632,-0.0327434241771698,0.25146484375,0.01995062,-43.91770625114441,0.2,0.9982155561447144,240,-0.02399868131033145,0.01868019421817735,1258.0,-2.3080065
