time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,4008,1,,,,,,,,,,,,,
1024,0,2641,2,-0.12455689907073975,0.0004092704424510632,-0.027248283848166466,0.26904296875,0.017579224,-43.99451756477356,0.2,1.0008199214935303,16,-0.02662099097506143,0.152350750133337,,
1536,0,2338,3,0.009590983390808105,0.0004092704424510632,-0.04041888937354088,0.2559814453125,0.01804242,-44.00637984275818,0.2,1.0003647804260254,32,-0.034254925907589495,0.006576254032552242,1258.0,-2.324816
2048,0,2220,4,-0.010085463523864746,0.0004092704424510632,-0.019257739186286926,0.3013916015625,0.021304326,-43.98065793514252,0.2,0.9993095397949219,48,-0.025107755966018885,0.016676050930982456,1258.0,-2.324816
2560,1,2166,5,0.0031924843788146973,0.0004092704424510632,-0.0406307615339756,0.212890625,0.017499644,-43.96467089653015,0.2,0.9997550845146179,64,-0.021975318202748895,0.002132831530616386,1258.0,-2.2532895
3072,1,2118,6,0.004506230354309082,0.0004092704424510632,-0.01990324817597866,0.28271484375,0.02112631,-43.98543703556061,0.2,1.000104308128357,80,-0.02746168102021329,0.023442918085493147,1258.0,-2.2532895
3584,1,2087,7,-0.00866687297821045,0.0004092704424510632,-0.02309487946331501,0.2352294921875,0.018877223,-44.002219557762146,0.2,1.0017988681793213,96,-0.021102905229781754,0.002813018360029673,1258.0,-2.2532895
4096,1,2062,8,0.005781292915344238,0.0004092704424510632,-0.04504586383700371,0.2486572265625,0.019989176,-44.050466656684875,0.2,1.0023908615112305,112,-0.025367643625941128,0.007996237720362842,1258.0,-2.315353
4608,2,2044,9,0.0017268657684326172,0.0004092704424510632,-0.014712048694491386,0.252197265625,0.020842284,-44.05243647098541,0.2,1.0020781755447388,128,-0.02420423529110849,0.034810252545867115,1258.0,-2.315353
5120,2,2029,10,0.14612609148025513,0.0004092704424510632,-0.031641557812690735,0.2548828125,0.026057525,-44.032888293266296,0.2,1.0015727281570435,144,-0.026266335538821295,0.005281772741000168,1258.0,-2.36459875
5632,2,2019,11,0.005770623683929443,0.0004092704424510632,-0.016843877732753754,0.2557373046875,0.022455398,-44.03850710391998,0.2,1.0023187398910522,160,-0.030166413649567403,0.041558847471605986,1258.0,-2.36459875
6144,3,2008,12,-0.07318305969238281,0.0004092704424510632,-0.03265707939863205,0.1844482421875,0.01464347,-44.06270658969879,0.2,1.0034295320510864,176,-0.018571330423583277,0.0020101565241930075,1258.0,-2.36459875
6656,3,2005,13,0.0349765419960022,0.0004092704424510632,-0.029638342559337616,0.23193359375,0.019476838,-44.08872699737549,0.2,1.003811240196228,192,-0.025920448402757756,0.0065284716547466815,1258.0,-2.351517
7168,3,1991,14,0.02188020944595337,0.0004092704424510632,-0.019715311005711555,0.224365234375,0.017788768,-44.07820999622345,0.2,1.0023291110992432,208,-0.02163353911601007,0.04495137243065983,1258.0,-2.351517
7680,3,1986,15,0.07804244756698608,0.0004092704424510632,-0.03098851442337036,0.2333984375,0.019998085,-44.02153527736664,0.2,1.0008004903793335,224,-0.027720107173081487,0.006506791069114115,1258.0,-2.3299056666666664
8192,4,1982,16,0.2306509017944336,0.0004092704424510632,-0.03538522869348526,0.297607421875,0.026411805,-43.9922571182251,0.2,1.0007127523422241,240,-0.030561839943402447,0.030749162659049034,1258.0,-2.3299056666666664
8704,4,1981,17,-0.15185129642486572,0.0004092704424510632,-0.044230811297893524,0.261474609375,0.019096002,-43.98093032836914,0.2,0.9999241828918457,256,-0.032966666360152885,0.004376609926111996,1258.0,-2.3299056666666664
9216,4,1977,18,0.08473724126815796,0.0004092704424510632,-0.023913143202662468,0.17578125,0.014801862,-43.95606994628906,0.2,0.9992746114730835,272,-0.013568860304076225,0.004415107883687597,1258.0,-2.3354525714285717
9728,4,1974,19,0.14755398035049438,0.0004092704424510632,-0.03546825051307678,0.2886962890625,0.025379397,-43.92683970928192,0.2,0.9980357885360718,288,-0.027217214767006226,0.03088655142346397,1258.0,-2.3354525714285717
10240,5,1972,20,-0.5856732130050659,0.0004092704424510632,-0.028823763132095337,0.2266845703125,0.019441435,-43.906264305114746,0.2,0.9986152052879333,304,-0.02558975350984838,0.0050378414380247705,1258.0,-2.343236
10752,5,1969,21,0.35390621423721313,0.0004092704424510632,-0.025511372834444046,0.233642578125,0.020354463,-43.92664277553558,0.2,0.9984977841377258,320,-0.025296481158875395,0.0347517358022742,1258.0,-2.343236
11264,5,1966,22,-0.2936882972717285,0.0004092704424510632,-0.03176012262701988,0.2562255859375,0.020774432,-43.901251792907715,0.2,0.9972226023674011,336,-0.026636333830538206,0.004612965363776311,1258.0,-2.343236
