time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,4075,512,,,,,,,,,,,,,
0,2,2576,1024,-0.028593989321962,0.019251179,-0.030785422772169113,-0.29627513885498047,16,1.0008134841918945,0.2,0.2923583984375,-44.00012743473053,0.17203056058497168,0.0004092704424510632,,
0,3,2247,1536,-0.02626334635715466,0.015452219,-0.030559994280338287,-0.00606989860534668,32,1.0014300346374512,0.2,0.2584228515625,-44.02100956439972,0.004802177114470396,0.0004092704424510632,1257.0,-2.883898
0,4,2105,2048,-0.03630577970761806,0.027466875,-0.018453093245625496,0.006075680255889893,48,1.0005446672439575,0.2,0.3525390625,-44.019246220588684,0.049416512600146234,0.0004092704424510632,1257.0,-2.883898
1,5,2045,2560,-0.021693372604204342,0.015982844,-0.01623542420566082,-0.025481104850769043,64,1.0003623962402344,0.2,0.2213134765625,-43.996745467185974,0.004390848691400606,0.0004092704424510632,1257.0,-2.970793
1,6,2002,3072,-0.025823982345173135,0.02286133,-0.007087482139468193,0.004813194274902344,80,1.0014833211898804,0.2,0.2745361328125,-44.00844871997833,0.04902996262535453,0.0004092704424510632,1257.0,-2.970793
1,7,1968,3584,-0.028019937381031923,0.016863432,-0.031027480959892273,-0.19793760776519775,96,1.0021638870239258,0.2,0.2847900390625,-44.045287013053894,0.0028004867599520367,0.0004092704424510632,1257.0,-2.970793
2,8,1943,4096,-0.02102746428863611,0.015993193,-0.026897946372628212,-0.015389323234558105,112,1.0024023056030273,0.2,0.22802734375,-44.05263388156891,0.004323719957028516,0.0004092704424510632,1257.0,-2.9821236666666664
2,9,1931,4608,-0.026465106144314632,0.016340762,-0.0010769367218017578,0.01934605836868286,128,1.0019711256027222,0.2,0.291015625,-44.05387270450592,0.07340193178970367,0.0004092704424510632,1257.0,-2.9821236666666664
2,10,1923,5120,-0.02488269687455613,0.016044373,-0.04856298491358757,-0.10151731967926025,144,1.0011364221572876,0.2,0.2452392578125,-44.0319607257843,0.004477511793083977,0.0004092704424510632,1257.0,-2.9799832499999996
2,11,1907,5632,-0.027913217913010158,0.023893088,-0.008013550192117691,0.043865859508514404,160,1.0008420944213867,0.2,0.3092041015625,-44.011194944381714,0.07464225438889116,0.0004092704424510632,1257.0,-2.9799832499999996
3,12,1901,6144,-0.025052249504369684,0.020328458,-0.03282330930233002,-0.8997234106063843,176,1.0007203817367554,0.2,0.24609375,-44.00212323665619,0.005880795848497655,0.0004092704424510632,1257.0,-2.9799832499999996
3,13,1895,6656,-0.021851154451724142,0.01320603,-0.04527794569730759,-0.0014374256134033203,192,1.003685474395752,0.2,0.2037353515625,-44.043707489967346,0.003535388550517382,0.0004092704424510632,1257.0,-3.0376672
3,14,1886,7168,-0.028962450771359727,0.02628493,-0.0013412125408649445,0.010557770729064941,208,1.0052509307861328,0.2,0.28564453125,-44.12083566188812,0.09097736398689449,0.0004092704424510632,1257.0,-3.0376672
4,15,1879,7680,-0.030075174843659624,0.026762182,-0.03045213222503662,-1.2431106567382812,224,1.0029263496398926,0.2,0.2962646484375,-44.11659073829651,0.005958858113444876,0.0004092704424510632,1257.0,-3.0568318333333333
4,16,1873,8192,-0.0267043952626409,0.026131107,0.00020596757531166077,0.02268451452255249,240,1.000483751296997,0.2,0.2899169921875,-44.03199756145477,0.08650086913257837,0.0004092704424510632,1257.0,-3.0568318333333333
4,17,1867,8704,-0.020667953795054927,0.012450352,-0.03468284383416176,-0.34289979934692383,256,0.9982190728187561,0.2,0.1959228515625,-43.958003640174866,0.004815804946701974,0.0004092704424510632,1257.0,-3.0568318333333333
4,18,1859,9216,-0.02914380318543408,0.020547923,-0.035362325608730316,0.025375843048095703,272,0.9990912079811096,0.2,0.2523193359375,-43.92882585525513,0.0028889160785183776,0.0004092704424510632,1257.0,-3.0810595714285713
5,19,1854,9728,-0.02786149708845187,0.02200593,-0.003403179347515106,0.025176286697387695,288,0.9985433220863342,0.2,0.2598876953125,-43.94818580150604,0.07878059847280383,0.0004092704424510632,1257.0,-3.0810595714285713
5,20,1849,10240,-0.018730371113633737,0.012220183,-0.027049189433455467,-2.548086404800415,304,0.9976790547370911,0.2,0.185791015625,-43.91710138320923,0.0057331438511027955,0.0004092704424510632,1257.0,-3.0492395
5,21,1846,10752,-0.026648505139746703,0.025377903,-0.0007161796092987061,0.011656105518341064,320,0.9982021450996399,0.2,0.2733154296875,-43.90957796573639,0.09736170736141503,0.0004092704424510632,1257.0,-3.0492395
6,22,1843,11264,-0.029517506074626,0.022340331,-0.0377814918756485,-0.7673981189727783,336,1.0007116794586182,0.2,0.260986328125,-43.95208990573883,0.0051819580476148985,0.0004092704424510632,1257.0,-3.0492395
6,23,1842,11776,-0.03178593244228978,0.021630932,-0.029401080682873726,0.06813967227935791,352,1.0013762712478638,0.2,0.2696533203125,-44.01154041290283,0.002792330942611443,0.0004092704424510632,1257.0,-3.0438256666666668
6,24,1838,12288,-0.028687073543551378,0.02860044,-0.01182555966079235,0.07995235919952393,368,1.0008370876312256,0.2,0.3017578125,-44.01125359535217,0.08747167605906725,0.0004092704424510632,1257.0,-3.0438256666666668
6,25,1833,12800,-0.02393089033284923,0.014947098,-0.03474012762308121,-2.8028564453125,384,1.0011394023895264,0.2,0.2042236328125,-43.995867133140564,0.008941379463067278,0.0004092704424510632,1257.0,-3.0412101
7,26,1832,13312,-0.0183241322520189,0.01794063,-0.004427427425980568,0.06704246997833252,400,1.0002198219299316,0.2,0.22216796875,-43.99596190452576,0.07980131870135665,0.0004092704424510632,1257.0,-3.0412101
7,27,1829,13824,-0.0213756113225827,0.011106614,-0.022089475765824318,-0.4326050281524658,416,0.9989567995071411,0.2,0.185791015625,-43.95565187931061,0.008553761304938234,0.0004092704424510632,1257.0,-3.0412101
