time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,4158,512,,,,,,,,,,,,,
0,2,2450,1024,-0.03114382387138903,0.01744052,-0.0422721728682518,-0.38683760166168213,16,1.0008275508880615,0.2,0.2823486328125,-44.00361740589142,0.1634213916840963,0.0004092704424510632,,
0,3,2196,1536,-0.025976182951126248,0.01982003,-0.027055254206061363,-0.10070586204528809,32,1.0006481409072876,0.2,0.261962890625,-44.01129961013794,0.004650478600524366,0.0004092704424510632,1257.0,-2.90767
0,4,2106,2048,-0.02623514353763312,0.024267742,-0.020810306072235107,0.004348278045654297,48,1.0025391578674316,0.2,0.30126953125,-44.02945327758789,0.015218078799080104,0.0004092704424510632,1257.0,-2.90767
1,5,2040,2560,-0.024373859887418803,0.018411614,-0.030471276491880417,-0.008272767066955566,64,1.0024412870407104,0.2,0.228515625,-44.06831610202789,0.004730138236482162,0.0004092704424510632,1257.0,-3.0294325
1,6,2017,3072,-0.029155468189856037,0.019379143,-0.03984146937727928,0.00821620225906372,80,1.0008894205093384,0.2,0.3060302734375,-44.036460757255554,0.011083772900747135,0.0004092704424510632,1257.0,-3.0294325
1,7,1998,3584,-0.023450641107046977,0.015381373,-0.029953351244330406,-0.010404467582702637,96,0.9991887807846069,0.2,0.2467041015625,-43.98365139961243,0.00269842939087539,0.0004092704424510632,1257.0,-3.0294325
2,8,1977,4096,-0.025553283980116248,0.019912422,-0.0282478928565979,-0.022337913513183594,112,0.9993426203727722,0.2,0.2646484375,-43.952605843544006,0.005213945478317328,0.0004092704424510632,1257.0,-3.1071526666666665
2,9,1965,4608,-0.027365060086594895,0.022828178,-0.024357926100492477,7.921457290649414e-05,128,0.9982454180717468,0.2,0.3074951171875,-43.94870102405548,0.03235807886812836,0.0004092704424510632,1257.0,-3.1071526666666665
2,10,1956,5120,-0.022475691221188754,0.017878894,-0.03393346443772316,0.002987802028656006,144,0.9973464608192444,0.2,0.211669921875,-43.90835499763489,0.006798132926633116,0.0004092704424510632,1257.0,-3.1400699999999997
