time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,4026,512,,,,,,,,,,,,,
0,2,2446,1024,-0.033733328673406504,0.01888415,-0.04162779450416565,-0.1747913360595703,16,0.9998073577880859,0.2,0.2694091796875,-43.984057664871216,0.1858407915569842,0.0004092704424510632,,
0,3,2187,1536,-0.02992158569395542,0.018632714,-0.023598220199346542,0.004283785820007324,32,1.0004154443740845,0.2,0.2772216796875,-43.98547685146332,0.005279038770822808,0.0004092704424510632,1257.0,-2.910391
0,4,2073,2048,-0.024397017783485353,0.014865861,-0.020202647894620895,-0.0059816837310791016,48,1.001012921333313,0.2,0.2259521484375,-44.00791954994202,0.015047304041218013,0.0004092704424510632,1257.0,-2.910391
1,5,2009,2560,-0.02418676216620952,0.019246753,-0.025801394134759903,-0.0033861398696899414,64,1.0010349750518799,0.2,0.2578125,-44.01782667636871,0.003933994616090786,0.0004092704424510632,1257.0,-2.977847
1,6,1971,3072,-0.029595244413940236,0.018240493,-0.03815162554383278,0.013967037200927734,80,1.001151442527771,0.2,0.281494140625,-44.015490651130676,0.003090793888986809,0.0004092704424510632,1257.0,-2.977847
1,7,1948,3584,-0.03172585666470695,0.019065274,-0.02956492453813553,-0.008035898208618164,96,0.9997251033782959,0.2,0.295654296875,-44.00172233581543,0.0029161087149986997,0.0004092704424510632,1257.0,-2.977847
2,8,1931,4096,-0.024706010648515075,0.01741346,-0.03422357887029648,0.006443977355957031,112,0.9989861845970154,0.2,0.2445068359375,-43.96041750907898,0.004419871693244204,0.0004092704424510632,1257.0,-3.0103823333333337
2,9,1921,4608,-0.027833725020173006,0.030161109,-0.0327119305729866,0.0007037520408630371,128,0.9983693957328796,0.2,0.3460693359375,-43.93906283378601,0.010205219805357046,0.0004092704424510632,1257.0,-3.0103823333333337
2,10,1911,5120,-0.025323193505755626,0.014708653,-0.027383556589484215,0.0026058554649353027,144,0.9979243278503418,0.2,0.251953125,-43.9253123998642,0.0051575831093941815,0.0004092704424510632,1257.0,-2.9858912500000003
