time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,4119,512,,,,,,,,,,,,,
0,2,2541,1024,-0.03224747130298056,0.017493673,-0.0473424568772316,-0.12382030487060547,16,1.0002163648605347,0.2,0.2589111328125,-43.99138522148132,0.11777392712247092,0.0004092704424510632,,
0,3,2231,1536,-0.02915137756644981,0.020468384,-0.0417243130505085,-0.08412587642669678,32,1.0008691549301147,0.2,0.260986328125,-44.002633452415466,0.006051693591871299,0.0004092704424510632,1257.0,-3.026616
0,4,2131,2048,-0.03998632912407629,0.027845945,-0.0472937747836113,5.46574592590332e-05,48,0.9989948272705078,0.2,0.373779296875,-43.99157464504242,0.02095138846198097,0.0004092704424510632,1257.0,-3.026616
1,5,2051,2560,-0.022867299980134703,0.016237233,-0.03340925648808479,9.042024612426758e-05,64,0.9964765906333923,0.2,0.2322998046875,-43.91437816619873,0.005044084035034757,0.0004092704424510632,1257.0,-3.1123835
1,6,2012,3072,-0.029931587836472318,0.020228883,-0.025686969980597496,0.0034963488578796387,80,0.9937863945960999,0.2,0.329345703125,-43.83443534374237,0.02644769218750298,0.0004092704424510632,1257.0,-3.1123835
1,7,1985,3584,-0.026049312495160848,0.017176237,-0.035200055688619614,0.016921699047088623,96,0.990548849105835,0.2,0.2445068359375,-43.74206078052521,0.0027298688764858525,0.0004092704424510632,1257.0,-3.1123835
2,8,1959,4096,-0.0317465381231159,0.019650027,-0.040665946900844574,-0.01388537883758545,112,0.9888651967048645,0.2,0.2864990234375,-43.65786170959473,0.0053022829597466625,0.0004092704424510632,1257.0,-3.080516333333333
2,9,1943,4608,-0.02953561785398051,0.022208521,-0.023923978209495544,0.0016545653343200684,128,0.9896168112754822,0.2,0.3311767578125,-43.64191734790802,0.04635054979007691,0.0004092704424510632,1257.0,-3.080516333333333
2,10,1932,5120,-0.02706884511280805,0.016336855,-0.030301198363304138,0.00021839141845703125,144,0.9883617162704468,0.2,0.2476806640625,-43.64324426651001,0.005685259333404247,0.0004092704424510632,1257.0,-3.06555975
2,11,1923,5632,-0.02998608018970117,0.022450078,0.0011676717549562454,0.005703628063201904,160,0.9888797402381897,0.2,0.296875,-43.61419868469238,0.06437572999857366,0.0004092704424510632,1257.0,-3.06555975
3,12,1920,6144,-0.02780554533819668,0.019845128,-0.04793161153793335,-0.47745728492736816,176,0.9878253936767578,0.2,0.2843017578125,-43.62189042568207,0.002784218806482386,0.0004092704424510632,1257.0,-3.06555975
3,13,1910,6656,-0.026636147551471367,0.02047154,-0.03432675451040268,-0.022862553596496582,192,0.986589252948761,0.2,0.282470703125,-43.576165199279785,0.0032148461250471883,0.0004092704424510632,1257.0,-3.0717977999999997
3,14,1909,7168,-0.02930756498244591,0.017823955,-0.00913531705737114,0.0030484795570373535,208,0.987193763256073,0.2,0.2789306640625,-43.5597357749939,0.07571045483928174,0.0004092704424510632,1257.0,-3.0717977999999997
4,15,1908,7680,-0.030753396902582608,0.021656808,-0.03178289532661438,-0.01868891716003418,224,0.9885774254798889,0.2,0.2733154296875,-43.598867535591125,0.006546013450133614,0.0004092704424510632,1257.0,-3.0602886666666667
4,16,1907,8192,-0.029710860108025372,0.023727845,-0.004315562546253204,0.13800013065338135,240,0.9910322427749634,0.2,0.2772216796875,-43.65301072597504,0.08199014142155647,0.0004092704424510632,1257.0,-3.0602886666666667
4,17,1901,8704,-0.019382551501621492,0.017025571,-0.025385789573192596,-0.2705681324005127,256,0.9949804544448853,0.2,0.1845703125,-43.74621546268463,0.010201850069279317,0.0004092704424510632,1257.0,-3.0602886666666667
4,18,1898,9216,-0.033267841004999354,0.030914403,-0.0391581766307354,-0.01318371295928955,272,0.9973441958427429,0.2,0.3026123046875,-43.85718846321106,0.0033274523084401153,0.0004092704424510632,1257.0,-3.066267285714286
