time/episodes,time/fps,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
4,67,0.0008459126528049375,5032,1258.0,4931,-170.49029541015625,74,-120.19284057617188,4.19728422164917,-4.442189750000001,0.01700693927705288
8,66,0.0008459126528049375,10064,1258.0,9963,17.962356567382812,150,-127.6001205444336,17.4647274017334,-3.4347773750000004,0.0012328835437074304
12,66,0.0008459126528049375,15096,1258.0,14995,14.188468933105469,226,-121.1624755859375,3.730376720428467,-2.7040470833333337,0.0010153118055313826
16,66,0.0008459126528049375,20128,1258.0,20027,11.225913047790527,302,-118.56744384765625,2.3985228538513184,-2.3768055,0.0008162220474332571
20,66,0.0008459126528049375,25160,1258.0,25059,16.571962356567383,2,-106.9983901977539,3.3005146980285645,-2.1542011000000003,0.000770954298786819
24,66,0.0008459126528049375,30192,1258.0,30091,-93.62223052978516,78,-101.23443603515625,1.458597183227539,-1.996958791666667,0.0003239770885556936
28,66,0.0008459126528049375,35224,1258.0,35123,73.78486633300781,154,-96.48907470703125,3.220101833343506,-1.9047926071428574,0.0003830409259535372
32,66,0.0008459126528049375,40256,1258.0,40155,-7.934947490692139,230,-90.30546569824219,2.8607819080352783,-1.86257421875,0.0005375195760279894
36,66,0.0008459126528049375,45288,1258.0,45187,39.547847747802734,306,-90.10533142089844,2.551354169845581,-1.858153027777778,0.0003303184639662504
40,66,0.0008459126528049375,50320,1258.0,50219,15.851173400878906,4,-83.57486724853516,2.6594626903533936,-1.8064302750000003,0.0005258976016193628
44,66,0.0008459126528049375,55352,1258.0,55251,50.58266067504883,80,-78.2859878540039,3.5513381958007812,-1.7554142727272732,0.0004712349036708474
48,66,0.0008459126528049375,60384,1258.0,60283,49.467857360839844,156,-77.69844055175781,1.098569631576538,-1.7196941666666667,0.0003197144251316786
52,66,0.0008459126528049375,65416,1258.0,65315,-47.79328918457031,232,-72.88285827636719,0.846564769744873,-1.6784229038461542,0.0002944639709312469
56,66,0.0008459126528049375,70448,1258.0,70347,-7.242626667022705,308,-74.38592529296875,1.2001782655715942,-1.641585375,0.00044829645776189864
60,63,0.0008459126528049375,75480,1258.0,75379,-2.3524720668792725,7,-70.41841125488281,15.48158073425293,-1.6061996666666667,0.0003747554437723011
64,62,0.0008459126528049375,80512,1258.0,80411,18.108427047729492,87,-66.1298599243164,2.71977162361145,-1.5830744375,0.00027621706249192357
68,62,0.0008459126528049375,85544,1258.0,85443,-23.21551513671875,169,-65.55317687988281,2.771981954574585,-1.5586783382352944,0.00063438864890486
72,62,0.0008459126528049375,90576,1258.0,90475,-32.80939483642578,250,-59.61676025390625,25.112140655517578,-1.5326317638888889,0.0009990542894229293
76,61,0.0008459126528049375,95608,1258.0,95507,-2.948782205581665,333,-59.04236602783203,0.8681674003601074,-1.5153418421052631,0.000707176688592881
