time/episodes,time/fps,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
4,67,0.0008459126528049375,5032,1258.0,4931,-178.64137268066406,74,-123.53131103515625,1.9127979278564453,-4.377668249999999,0.01705791801214218
8,66,0.0008459126528049375,10064,1258.0,9963,-21.71555519104004,151,-131.5157928466797,4.5523223876953125,-3.4085663749999995,0.0010021680500358343
12,66,0.0008459126528049375,15096,1258.0,14995,72.73295593261719,227,-128.2315673828125,3.782033920288086,-2.8082446666666665,0.0006762799457646906
16,66,0.0008459126528049375,20128,1258.0,20027,53.21919250488281,303,-131.78158569335938,4.611120223999023,-2.4659975,0.000708501785993576
20,66,0.0008459126528049375,25160,1258.0,25059,-35.29607009887695,2,-113.15213012695312,4.881769180297852,-2.2635422999999997,0.0010061978828161955
24,65,0.0008459126528049375,30192,1258.0,30091,-7.5988545417785645,78,-105.51209259033203,5.821943283081055,-2.1103029166666665,0.0010329261422157288
28,65,0.0008459126528049375,35224,1258.0,35123,-10.096025466918945,155,-107.69844055175781,2.684458017349243,-2.0376142142857145,0.0004296461120247841
32,65,0.0008459126528049375,40256,1258.0,40155,13.891313552856445,231,-102.73704528808594,4.774039268493652,-1.9911745937499998,0.0002730709093157202
36,65,0.0008459126528049375,45288,1258.0,45187,-71.06297302246094,307,-99.67207336425781,1.2823238372802734,-1.920384861111111,0.0002455746289342642
40,67,0.0008459126528049375,50320,1258.0,50219,-51.79301071166992,4,-94.37537384033203,0.9787473082542419,-1.86832045,0.00033421820262447
44,67,0.0008459126528049375,55352,1258.0,55251,18.71249008178711,78,-93.19931030273438,1.9240946769714355,-1.8075137499999998,0.0007264283485710621
48,68,0.0008459126528049375,60384,1258.0,60283,-110.70926666259766,152,-90.573974609375,1.423147201538086,-1.7760545625,0.0005527010653167963
52,68,0.0008459126528049375,65416,1258.0,65315,106.23595428466797,225,-86.17494201660156,1.7467834949493408,-1.7534951346153849,0.000999756739474833
56,68,0.0008459126528049375,70448,1258.0,70347,-65.75662231445312,300,-80.52955627441406,2.3131983280181885,-1.7261297678571428,0.0006617347244173288
60,65,0.0008459126528049375,75480,1258.0,75379,9.743509292602539,7,-74.78730773925781,0.9176300168037415,-1.7107275333333332,0.0003887767670676112
64,64,0.0008459126528049375,80512,1258.0,80411,-39.20011520385742,85,-75.33871459960938,20.665571212768555,-1.69367390625,0.00046278125955723226
68,68,0.0008459126528049375,85544,1258.0,85443,5.988391876220703,154,-70.9619140625,1.5524933338165283,-1.6674832352941176,0.0006152618443593383
72,72,0.0008459126528049375,90576,1258.0,90475,19.62578010559082,216,-66.11821746826172,5.483564376831055,-1.6403068749999998,0.0006914708646945655
76,74,0.0008459126528049375,95608,1258.0,95507,-29.887636184692383,277,-44.37541961669922,9.48000717163086,-1.6216781578947366,0.0012063889298588037
