rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/fps,train/n_updates,train/ent_coef,train/ent_coef_loss,time/episodes,train/learning_rate
-4.657285,-120.31895446777344,467,43.83554458618164,1257.0,5028,10,4927,0.01747535541653633,-166.6593780517578,4,0.0008459126528049375
-3.672702625,-119.80193328857422,945,9.917912483215332,1257.0,10056,10,9955,0.0014394217869266868,-52.178932189941406,8,0.0008459126528049375
-3.124704583333333,-111.01083374023438,1423,2.2842793464660645,1257.0,15084,10,14983,0.0008326274692080915,5.6952714920043945,12,0.0008459126528049375
-2.7671766875,-92.5927963256836,1900,2.9359474182128906,1257.0,20112,10,20011,0.00047882445505820215,-46.628482818603516,16,0.0008459126528049375
-2.6232904,-82.0600814819336,13,3.4193172454833984,1257.0,25140,10,25039,0.0007886402891017497,-54.27500915527344,20,0.0008459126528049375
-2.51602525,-79.9079360961914,489,2.3343238830566406,1257.0,30168,10,30067,0.00036055262899026275,60.46467208862305,24,0.0008459126528049375
-2.404998392857143,-64.45693969726562,966,1.7565430402755737,1257.0,35196,10,35095,0.00044707837514579296,-20.642927169799805,28,0.0008459126528049375
-2.3249264375000003,-58.576019287109375,1441,1.1372740268707275,1257.0,40224,10,40123,0.00030058977426961064,-48.34170150756836,32,0.0008459126528049375
-2.3248834444444446,-55.19141387939453,1912,0.5852080583572388,1257.0,45252,10,45151,0.00028994932654313743,-18.62965202331543,36,0.0008459126528049375
-2.273756375,-38.170413970947266,25,2.058505058288574,1257.0,50280,10,50179,0.0003365278826095164,41.94259262084961,40,0.0008459126528049375
-2.2122076818181817,-34.791908264160156,490,2.4693973064422607,1257.0,55308,10,55207,0.0005711521371267736,-20.422027587890625,44,0.0008459126528049375
-2.1820242291666667,-32.630035400390625,954,1.4005327224731445,1257.0,60336,10,60235,0.0004669098125305027,-66.24974060058594,48,0.0008459126528049375
-2.1489422692307687,-29.501134872436523,1416,2.487483263015747,1257.0,65364,10,65263,0.000256389903370291,27.69236183166504,52,0.0008459126528049375
-2.0909118035714287,-26.162355422973633,1887,1.9130017757415771,1257.0,70392,10,70291,0.0002885028952732682,-50.112403869628906,56,0.0008459126528049375
-2.0585873500000003,-22.01141357421875,40,1.229640007019043,1257.0,75420,10,75319,0.0006358317332342267,-2.9742419719696045,60,0.0008459126528049375
-2.028256578125,-20.379291534423828,540,1.7863271236419678,1257.0,80448,10,80347,0.0007762836175970733,-22.25493049621582,64,0.0008459126528049375
-1.9950739852941177,-12.209344863891602,1043,2.5963358879089355,1257.0,85476,10,85375,0.001324180280789733,-17.570781707763672,68,0.0008459126528049375
-1.9692138611111107,-7.229084014892578,1554,2.1566195487976074,1257.0,90504,9,90403,0.0005643015610985458,-44.20658874511719,72,0.0008459126528049375
