rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/actor_loss
1258.0,5032,-4.27804075,0.017297375947237015,0.0008459126528049375,358,4931,-174.43409729003906,1.532456398010254,14,4,-121.09712982177734
1258.0,10064,-3.2759606250000006,0.0009182086796499789,0.0008459126528049375,732,9963,-28.815942764282227,7.280240535736084,13,8,-124.0239486694336
1258.0,15096,-2.544168416666667,0.0007671971688978374,0.0008459126528049375,1103,14995,-44.47199630737305,10.71419620513916,13,12,-119.17638397216797
1258.0,20128,-2.17341,0.0008605137118138373,0.0008459126528049375,1473,20027,-62.48323059082031,3.713904857635498,13,16,-115.0943603515625
1258.0,25160,-1.9657621000000003,0.0004986081039533019,0.0008459126528049375,11,25059,80.51471710205078,3.5949783325195312,14,20,-105.323486328125
1258.0,30192,-1.8143507916666666,0.0008321896311827004,0.0008459126528049375,374,30091,157.53378295898438,9.541295051574707,13,24,-94.7620620727539
1258.0,35224,-1.760289107142857,0.0005551325739361346,0.0008459126528049375,754,35123,-6.160587310791016,1.4510509967803955,13,28,-93.62934112548828
1258.0,40256,-1.68338428125,0.0005280961049720645,0.0008459126528049375,1138,40155,-4.788029670715332,2.650235652923584,13,32,-92.63212585449219
1258.0,45288,-1.627960361111111,0.00028661038959398866,0.0008459126528049375,1519,45187,105.12006378173828,1.3721336126327515,13,36,-91.12406921386719
1258.0,50320,-1.56314215,0.0007813602569513023,0.0008459126528049375,25,50219,-51.965087890625,3.3548569679260254,12,40,-62.85523223876953
1258.0,55352,-1.5018281136363638,0.0011123185977339745,0.0008459126528049375,419,55251,-39.951934814453125,3.847426414489746,12,44,-45.99949645996094
1258.0,60384,-1.4740925416666666,0.0003950119426008314,0.0008459126528049375,813,60283,-12.483059883117676,2.4798178672790527,12,48,-40.871849060058594
1258.0,65416,-1.4341497115384614,0.0004076483310200274,0.0008459126528049375,1209,65315,6.460348129272461,1.8164699077606201,12,52,-35.96284103393555
1258.0,70448,-1.3896883928571426,0.0015752880135551095,0.0008459126528049375,1594,70347,-12.177459716796875,19.88530731201172,12,56,-25.812015533447266
1258.0,75480,-1.3755358666666666,0.0008527133031748235,0.0008459126528049375,37,75379,-35.4185676574707,3.169039726257324,12,60,-17.767831802368164
1258.0,80512,-1.36767059375,0.00022792679374106228,0.0008459126528049375,458,80411,-1.9256842136383057,2.635697841644287,12,64,-9.828530311584473
1258.0,85544,-1.3317845,0.0007536382763646543,0.0008459126528049375,879,85443,-38.902008056640625,2.2460782527923584,11,68,-6.394481658935547
1258.0,90576,-1.3151943055555555,0.000794944295194,0.0008459126528049375,1305,90475,-49.402610778808594,3.8305554389953613,11,72,-4.108653545379639
