time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss
152,-124.157958984375,1257.0,4927,-173.85256958007812,-4.7320645,0.01772448420524597,4,33,5028,0.0008459126528049375,2.098768711090088
307,-130.69699096679688,1257.0,9955,13.540689468383789,-3.6833796249999997,0.0015115778660401702,8,32,10056,0.0008459126528049375,5.563224792480469
461,-138.8872528076172,1257.0,14983,28.426422119140625,-2.9656105,0.0010189260356128216,12,32,15084,0.0008459126528049375,5.279952049255371
615,-135.06884765625,1257.0,20011,4.928980827331543,-2.516068875,0.001740884268656373,16,32,20112,0.0008459126528049375,9.885772705078125
4,-129.36752319335938,1257.0,25039,-2.1538808345794678,-2.32351715,0.0011935968650504947,20,33,25140,0.0008459126528049375,6.35064697265625
158,-127.51033782958984,1257.0,30067,53.86133575439453,-2.1715990416666666,0.0018651518039405346,24,32,30168,0.0008459126528049375,11.048989295959473
313,-109.84136962890625,1257.0,35095,7.279269218444824,-2.077647857142857,0.0006744649144820869,28,32,35196,0.0008459126528049375,4.005568981170654
467,-109.89879608154297,1257.0,40123,27.59613037109375,-2.0132099375,0.0005578516866080463,32,32,40224,0.0008459126528049375,4.755122184753418
622,-94.2467269897461,1257.0,45151,-140.77374267578125,-1.9443281666666665,0.0005450093885883689,36,32,45252,0.0008459126528049375,5.382438659667969
8,-77.93421936035156,1257.0,50179,26.904159545898438,-1.8883326,0.0005344725213944912,40,32,50280,0.0008459126528049375,2.3614540100097656
164,-66.58629608154297,1257.0,55207,-18.192996978759766,-1.8043545,0.0007261436549015343,44,32,55308,0.0008459126528049375,4.211840629577637
320,-44.90093994140625,1257.0,60235,-13.42404842376709,-1.7347929166666667,0.0006728805601596832,48,32,60336,0.0008459126528049375,3.1411306858062744
477,-43.039093017578125,1257.0,65263,15.548537254333496,-1.7026513653846154,0.0006278243963606656,52,32,65364,0.0008459126528049375,2.8051328659057617
636,-33.10585403442383,1257.0,70291,-27.423843383789062,-1.6791781964285715,0.00033951763180084527,56,32,70392,0.0008459126528049375,1.3009910583496094
13,-25.11064910888672,1257.0,75319,-89.02303314208984,-1.6549176500000002,0.00027908815536648035,60,30,75420,0.0008459126528049375,3.1645894050598145
182,-22.82891845703125,1257.0,80347,13.674729347229004,-1.625424796875,0.0002059033140540123,64,29,80448,0.0008459126528049375,0.7655545473098755
354,-18.793277740478516,1257.0,85375,-7.536290645599365,-1.59527625,0.0007650257903151214,68,29,85476,0.0008459126528049375,3.712005138397217
525,-14.235137939453125,1257.0,90403,107.45120239257812,-1.5775741250000002,0.0009954726556316018,72,29,90504,0.0008459126528049375,5.824002742767334
697,-8.319280624389648,1257.0,95431,53.085853576660156,-1.5583459736842107,0.001059392117895186,76,29,95532,0.0008459126528049375,9.519259452819824
