time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss
157,-125.0992660522461,1257.0,4927,-170.64268493652344,-4.37912125,0.01730532944202423,4,31,5028,0.0008459126528049375,2.1412620544433594
318,-131.03009033203125,1257.0,9955,-10.584869384765625,-3.2965856249999996,0.001460275729186833,8,31,10056,0.0008459126528049375,3.922478675842285
479,-134.98220825195312,1257.0,14983,51.27799606323242,-2.7621935,0.0008957587415352464,12,31,15084,0.0008459126528049375,5.952962875366211
640,-130.73825073242188,1257.0,20011,-19.849924087524414,-2.40894825,0.00123663991689682,16,31,20112,0.0008459126528049375,11.96911334991455
4,-124.96156311035156,1257.0,25039,-30.749652862548828,-2.22859725,0.0005102645955048501,20,31,25140,0.0008459126528049375,19.948894500732422
166,-119.52238464355469,1257.0,30067,47.558006286621094,-2.0987119166666663,0.0005667157820425928,24,31,30168,0.0008459126528049375,5.2819366455078125
295,-109.60969543457031,1257.0,35095,-2.0205960273742676,-1.999882714285714,0.0008040494867600501,28,34,35196,0.0008459126528049375,24.732315063476562
417,-95.28602600097656,1257.0,40123,34.67619323730469,-1.9280073125000001,0.0004861675261054188,32,36,40224,0.0008459126528049375,2.0429608821868896
544,-80.33645629882812,1257.0,45151,3.8716015815734863,-1.8787913055555552,0.000873858982231468,36,37,45252,0.0008459126528049375,6.194891929626465
8,-77.78446197509766,1257.0,50179,35.240203857421875,-1.8128077500000004,0.0005180846201255918,40,31,50280,0.0008459126528049375,5.423352241516113
170,-74.43341064453125,1257.0,55207,16.425495147705078,-1.7567369545454552,0.0008245119242928922,44,31,55308,0.0008459126528049375,3.8804407119750977
331,-51.2380256652832,1257.0,60235,-26.966306686401367,-1.7042495625,0.000883283675648272,48,31,60336,0.0008459126528049375,5.1668806076049805
493,-42.364559173583984,1257.0,65263,93.71504211425781,-1.6606015,0.0002766889811027795,52,31,65364,0.0008459126528049375,6.0781097412109375
657,-24.228418350219727,1257.0,70291,20.674880981445312,-1.6203963571428572,0.0008431233582086861,56,31,70392,0.0008459126528049375,8.918074607849121
10,-21.835657119750977,1257.0,75319,-83.89591979980469,-1.5863036833333333,0.0008899847161956131,60,38,75420,0.0008459126528049375,17.34950065612793
145,-1.7613673210144043,1257.0,80347,26.374221801757812,-1.566885875,0.001137290964834392,64,37,80448,0.0008459126528049375,8.058571815490723
287,9.27459716796875,1257.0,85375,-54.9142951965332,-1.5387191029411766,0.0008940931875258684,68,36,85476,0.0008459126528049375,2.274559259414673
466,14.07186508178711,1257.0,90403,30.801664352416992,-1.5235946805555556,0.0008963599102571607,72,33,90504,0.0008459126528049375,6.176065444946289
645,24.87137794494629,1257.0,95431,-49.75188446044922,-1.4808306842105263,0.001475348137319088,76,31,95532,0.0008459126528049375,5.579459190368652
