time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss
115,-121.49009704589844,1257.0,4927,-166.76707458496094,-4.5763405,0.017710130661725998,4,43,5028,0.0008459126528049375,47.498138427734375
233,-128.99441528320312,1257.0,9955,46.63881301879883,-3.5428288749999997,0.0013426729710772634,8,43,10056,0.0008459126528049375,4.317488193511963
351,-117.64582824707031,1257.0,14983,-38.39952850341797,-2.8998687499999996,0.001972752856090665,12,42,15084,0.0008459126528049375,20.139995574951172
470,-103.93963623046875,1257.0,20011,-65.8323745727539,-2.5600979375,0.0024108134675771,16,42,20112,0.0008459126528049375,11.32577896118164
3,-81.9468765258789,1257.0,25039,-64.49197387695312,-2.34587775,0.0014899969100952148,20,42,25140,0.0008459126528049375,6.969878196716309
177,-70.43255615234375,1257.0,30067,-65.10192108154297,-2.171204916666667,0.0018141857581213117,24,29,30168,0.0008459126528049375,27.90737533569336
343,-55.63574981689453,1257.0,35095,78.45709228515625,-2.06324525,0.0010648954194039106,28,29,35196,0.0008459126528049375,6.183568954467773
502,-54.40736770629883,1257.0,40123,-14.582059860229492,-1.9694252187499999,0.000814613129477948,32,30,40224,0.0008459126528049375,1.128596544265747
662,-52.25990676879883,1257.0,45151,-29.468334197998047,-1.9306244722222223,0.0006683057290501893,36,30,45252,0.0008459126528049375,2.1735963821411133
8,-47.51469421386719,1257.0,50179,6.401067733764648,-1.8844637,0.0006163755897432566,40,31,50280,0.0008459126528049375,2.7644834518432617
170,-43.232154846191406,1257.0,55207,-19.874330520629883,-1.835906295454545,0.0006770878680981696,44,31,55308,0.0008459126528049375,4.750306129455566
331,-39.99759292602539,1257.0,60235,55.985164642333984,-1.7982157083333334,0.000585947826039046,48,31,60336,0.0008459126528049375,1.432422399520874
492,-29.434322357177734,1257.0,65263,-31.810707092285156,-1.7740495,0.0009301049285568297,52,31,65364,0.0008459126528049375,3.992609977722168
654,-20.01932716369629,1257.0,70291,43.69391632080078,-1.7447073214285713,0.001133961253799498,56,31,70392,0.0008459126528049375,46.7207145690918
14,-10.15534782409668,1257.0,75319,-8.763833045959473,-1.7128170333333335,0.0011016319040209055,60,29,75420,0.0008459126528049375,2.4701154232025146
191,-5.840559482574463,1257.0,80347,7.264272212982178,-1.6894417499999999,0.0008109293994493783,64,28,80448,0.0008459126528049375,1.7804901599884033
369,7.977461814880371,1257.0,85375,-13.569658279418945,-1.6594331470588235,0.0020251350942999125,68,28,85476,0.0008459126528049375,10.802387237548828
548,17.191434860229492,1257.0,90403,-49.777400970458984,-1.6535975972222223,0.0003726633731275797,72,28,90504,0.0008459126528049375,2.7939066886901855
727,22.683534622192383,1257.0,95431,-37.21699142456055,-1.6241640789473684,0.0008191509987227619,76,28,95532,0.0008459126528049375,1.988999366760254
