train/ent_coef,train/n_updates,time/fps,train/critic_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate
0.01729709655046463,4931,31,2.103929042816162,1258.0,4,-121.7423095703125,-172.57635498046875,5032,158,-4.4658637500000005,0.0008459126528049375
0.0013094659661874175,9963,31,6.443702697753906,1258.0,8,-127.71350860595703,34.83129119873047,10064,320,-3.366042375,0.0008459126528049375
0.001147616421803832,14995,31,8.389041900634766,1258.0,12,-133.1712646484375,52.266929626464844,15096,483,-2.724394166666667,0.0008459126528049375
0.0010097026824951172,20027,31,5.367840766906738,1258.0,16,-132.2631378173828,49.50752258300781,20128,646,-2.4580474375,0.0008459126528049375
0.0008134630043059587,25059,31,2.3660435676574707,1258.0,20,-132.70506286621094,49.06398010253906,25160,5,-2.2311003,0.0008459126528049375
0.0006922237225808203,30091,31,2.144751787185669,1258.0,24,-129.34844970703125,-69.02189636230469,30192,167,-2.029917708333333,0.0008459126528049375
0.0006878380663692951,35123,30,3.721320629119873,1258.0,28,-111.77313232421875,-40.483802795410156,35224,332,-1.9049886071428568,0.0008459126528049375
0.0010346451308578253,40155,29,9.668128967285156,1258.0,32,-109.45923614501953,-35.43449783325195,40256,523,-1.8076690625,0.0008459126528049375
0.0006619780324399471,45187,28,6.37465238571167,1258.0,36,-103.030517578125,20.649429321289062,45288,720,-1.7582941111111112,0.0008459126528049375
0.0008380657527595758,50219,25,3.4413623809814453,1258.0,40,-99.23725128173828,-34.36692810058594,50320,12,-1.6935207499999998,0.0008459126528049375
0.0012353950878605247,55251,25,7.358592987060547,1258.0,44,-92.14813232421875,9.919525146484375,55352,210,-1.6384502045454545,0.0008459126528049375
0.0009102650219574571,60283,25,34.154380798339844,1258.0,48,-86.04193115234375,49.02218246459961,60384,409,-1.6121389375,0.0008459126528049375
0.00175782002042979,65315,25,47.842857360839844,1258.0,52,-68.5600814819336,94.91748046875,65416,609,-1.580043288461538,0.0008459126528049375
0.0009668268612585962,70347,25,138.67776489257812,1258.0,56,-71.22825622558594,8.499515533447266,70448,808,-1.562667732142857,0.0008459126528049375
0.0022547664120793343,75379,30,9.393899917602539,1258.0,60,-62.420772552490234,-12.83812427520752,75480,15,-1.5354324,0.0008459126528049375
0.0017104155849665403,80411,29,35.34208679199219,1258.0,64,-40.764827728271484,24.5639591217041,80512,184,-1.524933109375,0.0008459126528049375
0.0015500647714361548,85443,29,95.16981506347656,1258.0,68,-34.24824142456055,-23.939008712768555,85544,362,-1.518724294117647,0.0008459126528049375
0.0015232872683554888,90475,27,7.914989471435547,1258.0,72,-28.51163101196289,4.674428939819336,90576,571,-1.5010010416666668,0.0008459126528049375
0.004456839989870787,95507,26,139.0990753173828,1258.0,76,2.447927474975586,-4.693055152893066,95608,776,-1.4877934342105263,0.0008459126528049375
