train/learning_rate,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/time_elapsed,train/actor_loss,time/total_timesteps,train/n_updates,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
0.0008459126528049375,0.01954861357808113,45.922298431396484,-174.33909606933594,67,-121.28929138183594,4892,4791,72,4,1223.0,-4.14742925
0.0008459126528049375,0.0016724398592486978,7.469760894775391,45.933006286621094,136,-124.50172424316406,9784,9683,71,8,1223.0,-3.201437
0.0008459126528049375,0.0005502486601471901,10.47132682800293,121.823486328125,205,-116.61198425292969,14676,14575,71,12,1223.0,-2.5780100833333335
0.0008459126528049375,0.0004706268082372844,4.657000541687012,81.59120178222656,273,-115.38980102539062,19568,19467,71,16,1223.0,-2.280327625
0.0008459126528049375,0.0014833827735856175,67.9687728881836,240.31973266601562,342,-103.51045227050781,24460,24359,71,20,1223.0,-2.05142745
0.0008459126528049375,0.001382475602440536,7.364265441894531,-25.945650100708008,61,-88.17996215820312,29352,29251,71,24,1223.0,-1.9596100416666669
0.0008459126528049375,0.0005137781263329089,4.146419525146484,74.86300659179688,130,-73.45637512207031,34244,34143,71,28,1223.0,-1.8752675357142856
0.0008459126528049375,0.0009100696770474315,2.454197883605957,-13.806129455566406,198,-67.2972412109375,39136,39035,71,32,1223.0,-1.7832731875
0.0008459126528049375,0.0007830957765690982,3.509157657623291,-3.415799856185913,267,-58.69230270385742,44028,43927,71,36,1223.0,-1.7503871388888887
0.0008459126528049375,0.000554427329916507,9.401686668395996,79.27242279052734,336,-52.542781829833984,48920,48819,71,40,1223.0,-1.6949339250000002
0.0008459126528049375,0.0008084055734798312,13.413900375366211,113.26913452148438,53,-42.52235412597656,53812,53711,70,44,1223.0,-1.6653425681818184
0.0008459126528049375,0.0009537257719784975,3.743661880493164,-45.94355010986328,122,-33.72697067260742,58704,58603,70,48,1223.0,-1.6233782916666666
0.0008459126528049375,0.0007466265233233571,2.6144394874572754,-42.236045837402344,192,-30.017580032348633,63596,63495,70,52,1223.0,-1.5964077499999998
0.0008459126528049375,0.0006713061011396348,3.948847770690918,-26.777555465698242,261,-24.392518997192383,68488,68387,70,56,1223.0,-1.563669214285714
0.0008459126528049375,0.0009119628230109811,3.763751745223999,-31.711570739746094,331,-22.282848358154297,73380,73279,70,60,1223.0,-1.5408505666666665
0.0008459126528049375,0.003784740576520562,29.453174591064453,-8.419591903686523,48,4.240845680236816,78272,78171,68,64,1223.0,-1.5190186406250001
0.0008459126528049375,0.0010214790236204863,15.418933868408203,38.61643600463867,121,32.764583587646484,83164,83063,67,68,1223.0,-1.5269626764705884
0.0008459126528049375,0.0003820879792328924,8.711152076721191,-42.649658203125,194,54.8231315612793,88056,87955,67,72,1223.0,-1.530761902777778
0.0008459126528049375,0.0006700409576296806,5.1399431228637695,-68.0826416015625,267,71.59132385253906,92948,92847,67,76,1223.0,-1.5251691578947366
0.0008459126528049375,0.000356130360160023,4.2494964599609375,-78.91108703613281,341,86.43621826171875,97840,97739,66,80,1223.0,-1.5135944625000002
