time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,time/fps,train/n_updates,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/ent_coef,time/episodes,time/time_elapsed
5032,0.0008459126528049375,-5.10457625,-123.4350357055664,73,4931,-164.66053771972656,1258.0,1.2213289737701416,0.01764053851366043,4,68
10064,0.0008459126528049375,-3.9635550000000004,-131.29066467285156,72,9963,-0.46390020847320557,1258.0,4.819555282592773,0.001138227409683168,8,138
15096,0.0008459126528049375,-3.224845416666667,-127.80329895019531,72,14995,-16.229389190673828,1258.0,5.437017917633057,0.0006609286647289991,12,208
20128,0.0008459126528049375,-2.8038250000000002,-122.57823181152344,72,20027,0.17564523220062256,1258.0,4.570995807647705,0.000755744578782469,16,277
25160,0.0008459126528049375,-2.6187785000000003,-94.60264587402344,73,25059,19.72071075439453,1258.0,10.536760330200195,0.0006950791575945914,20,2
30192,0.0008459126528049375,-2.4205156666666667,-93.1355209350586,72,30091,-40.63336944580078,1258.0,2.729672908782959,0.0005587501800619066,24,71
35224,0.0008459126528049375,-2.32404875,-92.21421813964844,72,35123,-55.67184829711914,1258.0,1.8079726696014404,0.0005561765283346176,28,141
40256,0.0008459126528049375,-2.253493625,-88.62854766845703,72,40155,-34.956050872802734,1258.0,3.166996479034424,0.0003475407138466835,32,211
45288,0.0008459126528049375,-2.2041753611111106,-84.90400695800781,72,45187,86.03350830078125,1258.0,1.102543592453003,0.0001942903472809121,36,280
50320,0.0008459126528049375,-2.1510068749999998,-67.89856719970703,72,50219,-59.630863189697266,1258.0,3.4745843410491943,0.0005802054074592888,40,4
55352,0.0008459126528049375,-2.1050375909090913,-56.0409049987793,72,55251,7.1140336990356445,1258.0,6.0380401611328125,0.0009114968124777079,44,73
60384,0.0008459126528049375,-2.0732354374999997,-49.04412841796875,72,60283,3.964726209640503,1258.0,5.722501754760742,0.0008520227856934071,48,143
65416,0.0008459126528049375,-2.0927813269230766,-43.23442459106445,71,65315,-26.83751106262207,1258.0,4.7891459465026855,0.0007273853407241404,52,216
70448,0.0008459126528049375,-2.0878213392857146,-32.99858474731445,70,70347,-74.35731506347656,1258.0,6.013739109039307,0.0004920554929412901,56,289
75480,0.0008459126528049375,-2.0520503000000003,-22.47233772277832,67,75379,42.984710693359375,1258.0,5.285700798034668,0.0003099206951446831,60,7
80512,0.0008459126528049375,-2.021361703125,-26.010772705078125,74,80411,-68.20442962646484,1258.0,4.092039585113525,0.0007623485289514065,64,74
85544,0.0008459126528049375,-2.00252425,-19.738361358642578,78,85443,-82.03234100341797,1258.0,13.613250732421875,0.0005757226026616991,68,135
90576,0.0008459126528049375,-1.9966640416666668,-18.353532791137695,79,90475,14.36458683013916,1258.0,4.267712116241455,0.0005833915784023702,72,195
95608,0.0008459126528049375,-1.9789836052631578,-0.25191354751586914,80,95507,-25.690645217895508,1258.0,4.237281799316406,0.0007549500442110002,76,256
