time/fps,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,train/actor_loss
12,-180.00341796875,4,-4.65718475,0.0008459126528049375,1258.0,4931,0.017199452966451645,2.9694135189056396,5032,392,-120.61177062988281
12,-87.44864654541016,8,-3.6523505,0.0008459126528049375,1258.0,9963,0.0011145442258566618,6.0646562576293945,10064,785,-122.59942626953125
12,-25.734956741333008,12,-2.956451,0.0008459126528049375,1258.0,14995,0.0011182946618646383,4.650931358337402,15096,1180,-115.60958862304688
12,-14.132766723632812,16,-2.6110509375,0.0008459126528049375,1258.0,20027,0.0011557572288438678,2.3675293922424316,20128,1577,-106.49996185302734
12,-13.580117225646973,20,-2.4032767999999995,0.0008459126528049375,1258.0,25059,0.0010121195809915662,3.0112195014953613,25160,12,-101.39555358886719
12,31.560123443603516,24,-2.2588309583333332,0.0008459126528049375,1258.0,30091,0.0006784520810469985,1.5432829856872559,30192,416,-98.53913879394531
12,56.993186950683594,28,-2.1714608214285716,0.0008459126528049375,1258.0,35123,0.00039512760122306645,1.4166042804718018,35224,824,-95.348388671875
12,5.486855506896973,32,-2.08742646875,0.0008459126528049375,1258.0,40155,0.00040131626883521676,1.2118301391601562,40256,1223,-85.40885162353516
12,-24.713319778442383,36,-2.0233625833333337,0.0008459126528049375,1258.0,45187,0.000572979508433491,3.7548089027404785,45288,1634,-65.04608154296875
12,4.022904872894287,40,-2.00497455,0.0008459126528049375,1258.0,50219,0.0005751049611717463,3.613110065460205,50320,26,-61.046878814697266
12,193.14154052734375,44,-1.98357075,0.0008459126528049375,1258.0,55251,0.0007846084190532565,29.146282196044922,55352,428,-29.86941146850586
12,-0.9152130484580994,48,-1.9651579166666668,0.0008459126528049375,1258.0,60283,0.0012616992462426424,5.922186851501465,60384,832,-18.14544677734375
12,46.818668365478516,52,-1.932615942307692,0.0008459126528049375,1258.0,65315,0.0002552963269408792,7.398449420928955,65416,1247,-9.75855827331543
12,18.821115493774414,56,-1.8925318571428573,0.0008459126528049375,1258.0,70347,0.0016903129871934652,20.005435943603516,70448,1675,1.093205451965332
11,-2.8697783946990967,60,-1.8838499666666668,0.0008459126528049375,1258.0,75379,0.0009347667219117284,12.12183952331543,75480,41,22.193328857421875
11,46.3043212890625,64,-1.883532140625,0.0008459126528049375,1258.0,80411,0.0004561321111395955,5.525400161743164,80512,478,39.69472122192383
11,1.8677083253860474,68,-1.8990883823529412,0.0008459126528049375,1258.0,85443,0.00018419265688862652,3.451713800430298,85544,927,50.83944320678711
11,-59.716148376464844,72,-1.8956705000000003,0.0008459126528049375,1258.0,90475,0.00011309491674182937,2.2907025814056396,90576,1372,60.89147186279297
11,-65.4774169921875,76,-1.9028402368421053,0.0008459126528049375,1258.0,95507,0.00033707168768160045,1.2995699644088745,95608,1818,70.05039978027344
