time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate
4,-4.33817525,5032,143,35,4931,0.017231648787856102,-121.30897521972656,1.257319688796997,-176.80972290039062,1258.0,0.0008459126528049375
8,-3.386525,10064,312,32,9963,0.001121216337196529,-127.07299041748047,3.9879653453826904,-17.41120147705078,1258.0,0.0008459126528049375
12,-2.7786304166666667,15096,499,30,14995,0.0012136825826019049,-121.64021301269531,30.0904541015625,60.51711654663086,1258.0,0.0008459126528049375
16,-2.3860406875000004,20128,687,29,20027,0.0012934106634929776,-115.53202819824219,3.2960124015808105,-46.365570068359375,1258.0,0.0008459126528049375
20,-2.1888925500000003,25160,4,32,25059,0.0004928606795147061,-113.73417663574219,3.963721990585327,44.24861526489258,1258.0,0.0008459126528049375
24,-2.058257,30192,177,29,30091,0.00047565833665430546,-98.63582611083984,2.6536731719970703,6.882460117340088,1258.0,0.0008459126528049375
28,-1.9714688214285714,35224,368,27,35123,0.0007348640356212854,-94.14319610595703,4.3836750984191895,-36.75386047363281,1258.0,0.0008459126528049375
32,-1.8847308750000002,40256,558,27,40155,0.0007902427460066974,-89.98909759521484,3.50374174118042,-107.0873031616211,1258.0,0.0008459126528049375
36,-1.8418753333333338,45288,747,27,45187,0.0008363080560229719,-75.99359893798828,4.599437713623047,3.573740005493164,1258.0,0.0008459126528049375
40,-1.8117822250000004,50320,11,26,50219,0.0008522982825525105,-71.44560241699219,8.180699348449707,44.4764404296875,1258.0,0.0008459126528049375
44,-1.774151522727273,55352,197,27,55251,0.0006003410671837628,-66.99886322021484,2.2555699348449707,56.98603820800781,1258.0,0.0008459126528049375
48,-1.7290394166666667,60384,361,28,60283,0.0008074906072579324,-59.66162109375,5.638521194458008,-10.593550682067871,1258.0,0.0008459126528049375
52,-1.716828461538462,65416,516,29,65315,0.0009644789970479906,-52.9009895324707,4.860306739807129,-25.920818328857422,1258.0,0.0008459126528049375
56,-1.7079473928571431,70448,674,30,70347,0.0007198348175734282,-46.75299835205078,5.179798126220703,-65.88443756103516,1258.0,0.0008459126528049375
60,-1.69959255,75480,14,33,75379,0.0007025351515039802,-36.197784423828125,4.938521385192871,66.14430236816406,1258.0,0.0008459126528049375
64,-1.686635921875,80512,163,33,80411,0.0008962171850726008,-37.34700012207031,3.675549030303955,-23.900978088378906,1258.0,0.0008459126528049375
68,-1.6664934558823528,85544,304,34,85443,0.0005468328599818051,-23.18529510498047,8.35029411315918,30.819175720214844,1258.0,0.0008459126528049375
72,-1.666088513888889,90576,445,34,90475,0.0008084202418103814,-22.660964965820312,3.932861089706421,-25.36195182800293,1258.0,0.0008459126528049375
76,-1.6670075394736843,95608,585,35,95507,0.0004299563879612833,-7.740113258361816,3.306976318359375,18.187484741210938,1258.0,0.0008459126528049375
