time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate
4,-4.590930500000001,5032,214,23,4931,0.01705647073686123,-121.0553970336914,1.2112033367156982,-181.87786865234375,1258.0,0.0008459126528049375
8,-3.4315926250000004,10064,440,22,9963,0.0010272613726556301,-128.49075317382812,6.096020698547363,-4.008463382720947,1258.0,0.0008459126528049375
12,-2.7144245833333334,15096,640,23,14995,0.0010025164810940623,-130.53993225097656,5.796154499053955,5.837559700012207,1258.0,0.0008459126528049375
16,-2.3563602500000003,20128,844,23,20027,0.0011615267721936107,-123.03713989257812,4.2478928565979,-14.018579483032227,1258.0,0.0008459126528049375
20,-2.1102927499999997,25160,5,29,25059,0.0009247627458535135,-121.8514404296875,4.790534019470215,-2.8248209953308105,1258.0,0.0008459126528049375
24,-1.9341987916666668,30192,174,29,30091,0.0007482981309294701,-118.34317779541016,2.912968158721924,-9.98994255065918,1258.0,0.0008459126528049375
28,-1.8250950357142854,35224,340,29,35123,0.00038726310594938695,-116.89794921875,1.9113073348999023,-15.88020133972168,1258.0,0.0008459126528049375
32,-1.79081275,40256,509,29,40155,0.0005288561806082726,-98.36624908447266,5.8728718757629395,48.22484588623047,1258.0,0.0008459126528049375
36,-1.736582111111111,45288,683,29,45187,0.0005497456295415759,-87.64899444580078,11.562030792236328,11.26724910736084,1258.0,0.0008459126528049375
40,-1.7041669250000002,50320,9,32,50219,0.0008465253631584346,-82.96864318847656,8.869270324707031,50.16408920288086,1258.0,0.0008459126528049375
44,-1.6533178863636364,55352,166,32,55251,0.0013060530181974173,-72.46109771728516,10.43975830078125,2.284285068511963,1258.0,0.0008459126528049375
48,-1.6231309583333335,60384,323,32,60283,0.0016518569318577647,-63.23588180541992,19.64529037475586,-30.22083282470703,1258.0,0.0008459126528049375
52,-1.5916740961538463,65416,481,32,65315,0.0014549718471243978,-49.0770149230957,23.397891998291016,-67.98990631103516,1258.0,0.0008459126528049375
56,-1.556114357142857,70448,665,30,70347,0.0015504964394494891,-36.14778137207031,29.37407684326172,12.773338317871094,1258.0,0.0008459126528049375
60,-1.5266327833333333,75480,19,24,75379,0.0016636071959510446,-14.141202926635742,27.65399932861328,-19.743331909179688,1258.0,0.0008459126528049375
64,-1.513278234375,80512,226,24,80411,0.0014689061790704727,6.4036149978637695,20.491867065429688,-32.627174377441406,1258.0,0.0008459126528049375
68,-1.48873025,85544,408,25,85443,0.0008411071612499654,10.91319751739502,13.74937629699707,-86.83468627929688,1258.0,0.0008459126528049375
72,-1.479329736111111,90576,596,26,90475,0.0009695789194665849,22.286285400390625,11.148153305053711,-92.09840393066406,1258.0,0.0008459126528049375
76,-1.46811725,95608,764,26,95507,0.000982010504230857,38.17629623413086,18.099397659301758,-32.950927734375,1258.0,0.0008459126528049375
