rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,time/fps,train/ent_coef,train/actor_loss,train/critic_loss,train/learning_rate
1257.0,4,-4.352472000000001,4927,-174.24363708496094,167,5028,29,0.017396030947566032,-121.24363708496094,45.72850036621094,0.0008459126528049375
1257.0,8,-3.5576988750000003,9955,15.46945571899414,350,10056,28,0.0011422355892136693,-121.31575775146484,10.49195671081543,0.0008459126528049375
1257.0,12,-2.8531304166666662,14983,-21.194904327392578,507,15084,29,0.0016219995450228453,-120.76171875,36.31837463378906,0.0008459126528049375
1257.0,16,-2.522228125,20011,-1.3556506633758545,666,20112,30,0.0014364768285304308,-124.23487091064453,6.691841125488281,0.0008459126528049375
1257.0,20,-2.3785434,25039,150.54067993164062,4,25140,31,0.0005761754582636058,-120.83138275146484,10.608902931213379,0.0008459126528049375
1257.0,24,-2.228064625,30067,80.67402648925781,163,30168,31,0.0012779213720932603,-107.72406768798828,7.691997051239014,0.0008459126528049375
1257.0,28,-2.0852225,35095,163.08213806152344,331,35196,30,0.0012476352276280522,-79.1631851196289,12.533384323120117,0.0008459126528049375
1257.0,32,-1.9836810312500002,40123,29.50942611694336,495,40224,30,0.0015147619415074587,-62.024269104003906,6.487082004547119,0.0008459126528049375
1257.0,36,-1.9544172222222223,45151,0.47959816455841064,655,45252,30,0.0005240874015726149,-34.280330657958984,4.152996063232422,0.0008459126528049375
1257.0,40,-1.887011725,50179,-76.24736022949219,8,50280,31,0.000487727636937052,-28.654041290283203,2.070438861846924,0.0008459126528049375
1257.0,44,-1.8443449318181815,55207,19.67835807800293,170,55308,31,0.00027634299476630986,-24.19365882873535,0.6760693788528442,0.0008459126528049375
1257.0,48,-1.7972107083333333,60235,-10.616799354553223,358,60336,28,0.0003642115625552833,-14.804816246032715,1.0243134498596191,0.0008459126528049375
1257.0,52,-1.7579080769230768,65263,3.54253888130188,544,65364,28,0.0002147220802726224,-12.980090141296387,0.6676110029220581,0.0008459126528049375
1257.0,56,-1.7295610714285716,70291,16.243186950683594,708,70392,28,0.0004496323235798627,-4.159328460693359,1.824774980545044,0.0008459126528049375
1257.0,60,-1.6945748833333336,75319,57.26615524291992,16,75420,25,0.0004888252005912364,1.2627229690551758,1.1810522079467773,0.0008459126528049375
1257.0,64,-1.692628890625,80347,0.32719361782073975,214,80448,25,0.0004497035115491599,5.354194641113281,2.462210178375244,0.0008459126528049375
1257.0,68,-1.6859600735294118,85375,30.793672561645508,401,85476,26,0.00019326710025779903,7.880480766296387,0.6386839151382446,0.0008459126528049375
1257.0,72,-1.673959361111111,90403,69.6539535522461,570,90504,27,0.0002785419928841293,11.14305591583252,0.5088083744049072,0.0008459126528049375
1257.0,76,-1.667493592105263,95431,-36.19541549682617,740,95532,27,0.00033928928314708173,13.939040184020996,0.6684828400611877,0.0008459126528049375
