time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/std,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
512,4144,1,0,,,,,,,,,,,,,
1024,1912,2,0,-43.9679149389267,0.9985582828521729,16,0.015445836,-0.03186611458659172,0.0004092704424510632,0.10147121115005575,0.2,0.03287243843078613,-0.02941778994863853,0.20947265625,,
1536,1648,3,0,-43.928584814071655,0.9979972243309021,32,0.014782847,-0.04019462317228317,0.0004092704424510632,0.004971449816366658,0.2,0.020332932472229004,-0.026063075638376176,0.2391357421875,-2.780081,1257.0
2048,1544,4,1,-43.91635024547577,0.997535228729248,48,0.018666543,-0.02835962176322937,0.0004092704424510632,0.008049362804740667,0.2,-0.03829967975616455,-0.0240608737221919,0.2802734375,-2.780081,1257.0
2560,1466,5,1,-43.90329837799072,0.9975177645683289,64,0.01712988,-0.043441902846097946,0.0004092704424510632,0.004793066131242085,0.2,0.03836029767990112,-0.029036164429271594,0.30126953125,-2.7523985,1257.0
3072,1353,6,2,-43.892414569854736,0.9963958859443665,80,0.022184448,-0.024411164224147797,0.0004092704424510632,0.01698391849640757,0.2,-0.020521044731140137,-0.026814283162821084,0.3121337890625,-2.7523985,1257.0
3584,1342,7,2,-43.86883842945099,0.996855616569519,96,0.020168828,-0.037361036986112595,0.0004092704424510632,0.011717301094904542,0.2,0.019076764583587646,-0.03196200478123501,0.3040771484375,-2.7523985,1257.0
4096,1342,8,3,-43.862420082092285,0.9950459003448486,112,0.018067239,-0.037213053554296494,0.0004092704424510632,0.004565575378364883,0.2,0.016973435878753662,-0.02747959845873993,0.2669677734375,-2.7952976666666665,1257.0
4608,1340,9,3,-43.78895378112793,0.9929516911506653,128,0.023085527,-0.020393045619130135,0.0004092704424510632,0.04995336674619466,0.2,0.002924323081970215,-0.028065413542208262,0.31640625,-2.7952976666666665,1257.0
5120,1336,10,3,-43.739882707595825,0.9920294880867004,144,0.015196944,-0.018541008234024048,0.0004092704424510632,0.003714677004609257,0.2,-5.1140785217285156e-05,-0.019756579713430256,0.2098388671875,-2.9267762499999996,1257.0
5632,1331,11,4,-43.70718336105347,0.990959107875824,160,0.020670073,-0.012039612978696823,0.0004092704424510632,0.050243678386323154,0.2,0.0016466975212097168,-0.026197767088888213,0.2784423828125,-2.9267762499999996,1257.0
6144,1330,12,4,-43.70037543773651,0.9919986128807068,176,0.019052118,-0.03377223759889603,0.0004092704424510632,0.012179203913547099,0.2,-0.027657747268676758,-0.031238016788847744,0.26416015625,-2.9267762499999996,1257.0
6656,1326,13,5,-43.73444604873657,0.9927970170974731,192,0.016064577,-0.029229789972305298,0.0004092704424510632,0.005801966486615129,0.2,-0.005268454551696777,-0.023226041768793948,0.229248046875,-2.9521913999999994,1257.0
