time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/std,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
9728,1288,19,7,-43.69164025783539,0.9905581474304199,288,0.013302076,0.014594580978155136,0.0004092704424510632,0.08554874267429113,0.2,0.0006162524223327637,-0.024731353536481038,0.2279052734375,-2.970434,1257.0
10240,1287,20,7,-43.64264917373657,0.9880334138870239,304,0.014607872,-0.03110671602189541,0.0004092704424510632,0.004519758353126235,0.2,7.3909759521484375e-06,-0.023203515564091504,0.2109375,-2.9660955,1257.0
10752,1285,21,8,-43.5739244222641,0.9866459965705872,320,0.029540021,-0.01287921890616417,0.0004092704424510632,0.08196822041645646,0.2,0.0007792115211486816,-0.03274407534627244,0.32958984375,-2.9660955,1257.0
11264,1284,22,8,-43.51019561290741,0.9838674664497375,336,0.022916436,-0.04034141078591347,0.0004092704424510632,0.009620078693842515,0.2,-0.0053102970123291016,-0.025431944930460304,0.2596435546875,-2.9660955,1257.0
11776,1283,23,9,-43.42800188064575,0.9816974401473999,352,0.021002155,-0.0411311611533165,0.0004092704424510632,0.004848681222938467,0.2,0.003376603126525879,-0.02885961207357468,0.25927734375,-2.9634314444444447,1257.0
12288,1283,24,9,-43.38346230983734,0.9811175465583801,368,0.025443457,0.016757145524024963,0.0004092704424510632,0.11531916470266879,0.2,0.0013988614082336426,-0.026844328065635636,0.2747802734375,-2.9634314444444447,1257.0
12800,1282,25,9,-43.35693073272705,0.9796796441078186,384,0.020735146,-0.03697248548269272,0.0004092704424510632,0.004867515883233864,0.2,-0.02042233943939209,-0.029164598177885637,0.2679443359375,-2.9588917,1257.0
13312,1282,26,10,-43.29695236682892,0.9776098132133484,400,0.016702773,0.03860553354024887,0.0004092704424510632,0.12831480894237757,0.2,0.0007739067077636719,-0.023255465523106977,0.235595703125,-2.9588917,1257.0
13824,1282,27,10,-43.23678267002106,0.9761137366294861,416,0.026468093,-0.038859058171510696,0.0004092704424510632,0.007461234228685498,0.2,-0.06491553783416748,-0.026197268365649506,0.2503662109375,-2.9588917,1257.0
14336,1282,28,11,-43.21636164188385,0.9765124320983887,432,0.015554609,-0.04287036135792732,0.0004092704424510632,0.0052827951512881555,0.2,-0.0002467632293701172,-0.025485014310106635,0.2203369140625,-2.9500140909090913,1257.0
14848,1281,29,11,-43.220083594322205,0.976647138595581,448,0.034706898,-0.009089365601539612,0.0004092704424510632,0.030167996766977012,0.2,-1.0013580322265625e-05,-0.024150482058757916,0.2672119140625,-2.9500140909090913,1257.0
15360,1280,30,11,-43.23614573478699,0.9775237441062927,464,0.012998164,-0.027968470007181168,0.0004092704424510632,0.005570146240643226,0.2,-0.000316619873046875,-0.02098735814797692,0.1915283203125,-2.9332410833333338,1257.0
15872,1280,31,12,-43.25526821613312,0.9778161644935608,480,0.015702475,0.05965167656540871,0.0004092704424510632,0.17074965499341488,0.2,0.00021445751190185547,-0.021126622857991606,0.191162109375,-2.9332410833333338,1257.0
16384,1280,32,12,-43.24410092830658,0.976500928401947,496,0.020665795,-0.04053126275539398,0.0004092704424510632,0.005919659561186563,0.2,-0.0005168914794921875,-0.031769668392371386,0.25341796875,-2.929558307692308,1257.0
16896,1279,33,13,-43.21323585510254,0.9764615297317505,512,0.021879205,0.05375857651233673,0.0004092704424510632,0.17520391149446368,0.2,0.0009872913360595703,-0.03114115507923998,0.281494140625,-2.929558307692308,1257.0
17408,1278,34,13,-43.2108393907547,0.9760698080062866,528,0.021036305,-0.031185314059257507,0.0004092704424510632,0.010890481731621549,0.2,-0.05855667591094971,-0.02538269993965514,0.2557373046875,-2.929558307692308,1257.0
17920,1278,35,14,-43.20353138446808,0.9762435555458069,544,0.017633483,-0.030272100120782852,0.0004092704424510632,0.0038646820175927132,0.2,-1.3589859008789062e-05,-0.02565488129039295,0.220458984375,-2.9153442142857147,1257.0
18432,1278,36,14,-43.19185221195221,0.9748116135597229,560,0.019613506,0.0802621990442276,0.0004092704424510632,0.216780926566571,0.2,0.00033223628997802734,-0.025965472334064543,0.2393798828125,-2.9153442142857147,1257.0
18944,1278,37,14,-43.134894132614136,0.9731872081756592,576,0.017633013,-0.0272884052246809,0.0004092704424510632,0.0015592606541758869,0.2,-0.13614177703857422,-0.023889896539913025,0.2271728515625,-2.9157838000000003,1257.0
19456,1277,38,15,-43.1090669631958,0.9733815789222717,592,0.025219595,0.052856992930173874,0.0004092704424510632,0.19694918720051646,0.2,0.00042998790740966797,-0.027146303851623088,0.271240234375,-2.9157838000000003,1257.0
19968,1277,39,15,-43.11907613277435,0.9734674096107483,608,0.015943447,-0.04293939471244812,0.0004092704424510632,0.008828755497233942,0.2,-0.052680134773254395,-0.030594573239795864,0.2369384765625,-2.9157838000000003,1257.0
20480,1277,40,16,-43.13564872741699,0.9751545190811157,624,0.01583282,-0.03250016272068024,0.0004092704424510632,0.005541357917536516,0.2,-0.0009326934814453125,-0.024561882572015747,0.2303466796875,-2.9075225,1257.0
20992,1276,41,16,-43.210607171058655,0.9776422381401062,640,0.023976956,0.09359876811504364,0.0004092704424510632,0.23799952818080783,0.2,5.0961971282958984e-05,-0.031260788411600515,0.28466796875,-2.9075225,1257.0
21504,1276,42,16,-43.24768090248108,0.9776730537414551,656,0.022737667,-0.03353269025683403,0.0004092704424510632,0.0030395772300835233,0.2,-0.0006974935531616211,-0.028899433309561573,0.267822265625,-2.9084507058823528,1257.0
22016,1276,43,17,-43.25927817821503,0.9786520600318909,672,0.019377938,0.08816276490688324,0.0004092704424510632,0.21654736530035734,0.2,8.153915405273438e-05,-0.02454154155566357,0.2420654296875,-2.9084507058823528,1257.0
22528,1276,44,17,-43.25159573554993,0.9764742255210876,688,0.02530167,-0.03583240509033203,0.0004092704424510632,0.009719822061015293,0.2,0.0001481771469116211,-0.02914815397525672,0.255126953125,-2.9084507058823528,1257.0
23040,1275,45,18,-43.1858856678009,0.976004958152771,704,0.015349515,-0.023116109892725945,0.0004092704424510632,0.006506916950456798,0.2,0.0001418590545654297,-0.022912111366167665,0.204833984375,-2.9042887777777775,1257.0
23552,1275,46,18,-43.19849610328674,0.975994348526001,720,0.021994462,0.09496478736400604,0.0004092704424510632,0.2506701466627419,0.2,0.0001862645149230957,-0.028192385740112513,0.26708984375,-2.9042887777777775,1257.0
24064,1274,47,18,-43.18659031391144,0.9754703640937805,736,0.015872315,-0.025462519377470016,0.0004092704424510632,0.003856414412439335,0.2,-0.1402832269668579,-0.02036515974032227,0.1966552734375,-2.8964268947368423,1257.0
24576,1274,48,19,-43.14424645900726,0.973717212677002,752,0.02341251,0.07902776449918747,0.0004092704424510632,0.22705570328980684,0.2,0.00019478797912597656,-0.027046607472584583,0.26611328125,-2.8964268947368423,1257.0
25088,1274,49,19,-43.102970600128174,0.9732925891876221,768,0.024589412,-0.034484341740608215,0.0004092704424510632,0.009398537047673017,0.2,-0.004555344581604004,-0.026045601964142406,0.239501953125,-2.8964268947368423,1257.0
25600,1274,50,20,-43.068790316581726,0.9706311821937561,784,0.019304939,-0.032762885093688965,0.0004092704424510632,0.0038213646184885874,0.2,-0.0006773471832275391,-0.026587239568470977,0.2548828125,-2.88882365,1257.0
26112,1273,51,20,-43.007744669914246,0.9705104827880859,800,0.020499669,0.08366264402866364,0.0004092704424510632,0.24830129370093346,0.2,0.00018405914306640625,-0.022839220066089183,0.222900390625,-2.88882365,1257.0
26624,1273,52,20,-43.01461148262024,0.9713308215141296,816,0.0186485,-0.03082152083516121,0.0004092704424510632,0.0047522194145130925,0.2,-0.008626341819763184,-0.026962451498548035,0.242431640625,-2.8939221904761907,1257.0
27136,1273,53,21,-43.04315662384033,0.9718562960624695,832,0.014374747,0.07375212013721466,0.0004092704424510632,0.24695446761325002,0.2,0.00031071901321411133,-0.016277313508908264,0.171875,-2.8939221904761907,1257.0
27648,1273,54,21,-43.044878244400024,0.9718979597091675,848,0.027841348,-0.03668317571282387,0.0004092704424510632,0.012444517546100542,0.2,-0.01893937587738037,-0.033408164090360515,0.2882080078125,-2.8939221904761907,1257.0
28160,1273,55,22,-43.02618098258972,0.970324695110321,864,0.020191865,-0.04438232257962227,0.0004092704424510632,0.006841855152742937,0.2,0.000418245792388916,-0.035124435293255374,0.2647705078125,-2.8988274090909094,1257.0
28672,1272,56,22,-42.97381031513214,0.9696264863014221,880,0.038145445,0.025301393121480942,0.0004092704424510632,0.07750565832247958,0.2,0.00012618303298950195,-0.019036681318539195,0.27392578125,-2.8988274090909094,1257.0
29184,1272,57,22,-42.99006378650665,0.9710828065872192,896,0.016951462,-0.03248405456542969,0.0004092704424510632,0.004858533699007239,0.2,-0.02051544189453125,-0.019606559610110708,0.1995849609375,-2.902012217391305,1257.0
29696,1271,58,23,-43.02368211746216,0.971231997013092,912,0.02219227,0.09465997666120529,0.0004092704424510632,0.300471028778702,0.2,5.704164505004883e-05,-0.02518165016954299,0.256591796875,-2.902012217391305,1257.0
30208,1269,59,23,-42.99482810497284,0.9694182872772217,928,0.03206058,-0.03351643308997154,0.0004092704424510632,0.008402195744565688,0.2,0.0017989277839660645,-0.026260083133820444,0.2855224609375,-2.9038711249999998,1257.0
30720,1264,60,24,-42.91541576385498,0.9660996198654175,944,0.018793806,0.10877491533756256,0.0004092704424510632,0.28543918998911977,0.2,8.20159912109375e-05,-0.026283089333446696,0.233642578125,-2.9038711249999998,1257.0
31232,1264,61,24,-42.85830748081207,0.9673588871955872,960,0.024913918,-0.022103458642959595,0.0004092704424510632,0.011226174421608448,0.2,-0.013212800025939941,-0.0220436179661192,0.239013671875,-2.9038711249999998,1257.0
31744,1264,62,25,-42.928650856018066,0.9694344997406006,976,0.018124431,-0.04284055903553963,0.0004092704424510632,0.005183534973184578,0.2,-0.00020873546600341797,-0.027514900517417118,0.27294921875,-2.9016803999999996,1257.0
32256,1264,63,25,-42.970520973205566,0.9694393873214722,992,0.031632937,0.12758496403694153,0.0004092704424510632,0.31948094302788377,0.2,2.2649765014648438e-05,-0.03367578430334106,0.3126220703125,-2.9016803999999996,1257.0
32768,1264,64,25,-42.95698344707489,0.9693921804428101,1008,0.016991975,-0.034138720482587814,0.0004092704424510632,0.0022402419745048974,0.2,-0.0009597539901733398,-0.022984536401054356,0.2294921875,-2.8987792307692306,1257.0
33280,1264,65,26,-42.936328649520874,0.9676139950752258,1024,0.023239136,0.07926365733146667,0.0004092704424510632,0.2856288175098598,0.2,5.346536636352539e-05,-0.0295550343580544,0.2476806640625,-2.8987792307692306,1257.0
33792,1264,66,26,-42.888972997665405,0.9676302075386047,1040,0.026731085,-0.051997601985931396,0.0004092704424510632,0.012241513526532799,0.2,-0.0029004812240600586,-0.034030791925033554,0.300048828125,-2.8987792307692306,1257.0
34304,1264,67,27,-42.924896121025085,0.969544529914856,1056,0.016896939,-0.026012593880295753,0.0004092704424510632,0.0044778979499824345,0.2,9.59634780883789e-06,-0.021321532854926772,0.190673828125,-2.895747925925926,1257.0
34816,1265,68,27,-42.96702492237091,0.9698455333709717,1072,0.020798817,0.1326133757829666,0.0004092704424510632,0.31860729260370135,0.2,3.826618194580078e-05,-0.023123494640458375,0.24658203125,-2.895747925925926,1257.0
35328,1264,69,27,-42.96975100040436,0.9700578451156616,1088,0.013417554,-0.027836866676807404,0.0004092704424510632,0.004716883566288743,0.2,0.00037723779678344727,-0.02104446751764044,0.1929931640625,-2.896760107142857,1257.0
35840,1264,70,28,-42.95703148841858,0.9688723087310791,1104,0.026435021,0.09028410911560059,0.0004092704424510632,0.2929943227209151,0.2,2.6881694793701172e-05,-0.02259596720978152,0.2921142578125,-2.896760107142857,1257.0
36352,1264,71,28,-42.91480529308319,0.9678051471710205,1120,0.018545354,-0.030398763716220856,0.0004092704424510632,0.009196942381095141,0.2,0.0019527077674865723,-0.027165863662958145,0.2713623046875,-2.896760107142857,1257.0
36864,1265,72,29,-42.90208196640015,0.9686450958251953,1136,0.020376712,-0.030587419867515564,0.0004092704424510632,0.0039249193941941485,0.2,-0.0001995563507080078,-0.027169111141120084,0.2703857421875,-2.888718862068965,1257.0
37376,1264,73,29,-42.93982374668121,0.9701211452484131,1152,0.023432527,0.13348999619483948,0.0004092704424510632,0.3292290214449167,0.2,2.1696090698242188e-05,-0.03352383528545033,0.312744140625,-2.888718862068965,1257.0
37888,1265,74,29,-42.98749256134033,0.9714475274085999,1168,0.016551591,-0.038621146231889725,0.0004092704424510632,0.002931035400251858,0.2,-0.01550447940826416,-0.024811623166897334,0.2611083984375,-2.8866106999999994,1257.0
38400,1265,75,30,-43.00258135795593,0.9708417654037476,1184,0.03243485,0.09633214771747589,0.0004092704424510632,0.28168289456516504,0.2,4.279613494873047e-05,-0.031077843843377195,0.30078125,-2.8866106999999994,1257.0
38912,1265,76,30,-42.96873199939728,0.9694980382919312,1200,0.021359079,-0.03897974640130997,0.0004092704424510632,0.008603350433986634,0.2,8.344650268554688e-05,-0.026138411019928753,0.2423095703125,-2.8866106999999994,1257.0
39424,1265,77,31,-42.9346239566803,0.9688575863838196,1216,0.019261196,-0.03298066928982735,0.0004092704424510632,0.0049377699178876355,0.2,-0.0001913309097290039,-0.02326294462545775,0.24658203125,-2.8859518709677414,1257.0
39936,1265,78,31,-42.90956163406372,0.9679324626922607,1232,0.02606571,0.08436183631420135,0.0004092704424510632,0.31933536659926176,0.2,1.6450881958007812e-05,-0.0258695193042513,0.298828125,-2.8859518709677414,1257.0
40448,1265,79,31,-42.866578459739685,0.9662030935287476,1248,0.027720306,-0.028759222477674484,0.0004092704424510632,0.005906252066779416,0.2,-0.00016772747039794922,-0.026607596009853296,0.261962890625,-2.88821525,1257.0
40960,1265,80,32,-42.82383680343628,0.9653666615486145,1264,0.017105255,0.09887736290693283,0.0004092704424510632,0.3047729143872857,0.2,2.1457672119140625e-05,-0.02189843260566704,0.2313232421875,-2.88821525,1257.0
41472,1265,81,32,-42.81836998462677,0.9660062193870544,1280,0.04001704,-0.02757631428539753,0.0004092704424510632,0.011714650026988238,0.2,0.004900157451629639,-0.02419678970181849,0.3004150390625,-2.88821525,1257.0
41984,1265,82,33,-42.83525288105011,0.9656540751457214,1296,0.026284726,-0.058696944266557693,0.0004092704424510632,0.005536548836971633,0.2,-2.6941299438476562e-05,-0.0347363434266299,0.3294677734375,-2.8879266363636367,1257.0
42496,1265,83,33,-42.8137092590332,0.9647784233093262,1312,0.035629075,0.06305111944675446,0.0004092704424510632,0.12415857601445168,0.2,1.609325408935547e-05,-0.02150930225616321,0.3023681640625,-2.8879266363636367,1257.0
43008,1265,84,33,-42.78166198730469,0.9631025791168213,1328,0.016818631,-0.026783902198076248,0.0004092704424510632,0.006885092196171172,0.2,-2.5153160095214844e-05,-0.022171362201333977,0.2218017578125,-2.889958,1257.0
43520,1265,85,34,-42.74199998378754,0.9629549980163574,1344,0.024537249,0.13701890408992767,0.0004092704424510632,0.3660646164789796,0.2,1.049041748046875e-05,-0.027225634185015224,0.2725830078125,-2.889958,1257.0
44032,1265,86,34,-42.737356305122375,0.9626288414001465,1360,0.028427098,-0.03365781903266907,0.0004092704424510632,0.009796280690352432,0.2,3.314018249511719e-05,-0.02655758135369979,0.283935546875,-2.8871198000000002,1257.0
44544,1265,87,35,-42.7516063451767,0.9642421007156372,1376,0.019180289,0.12098103761672974,0.0004092704424510632,0.3497787229716778,0.2,1.043081283569336e-05,-0.024597226147307083,0.2567138671875,-2.8871198000000002,1257.0
45056,1265,88,35,-42.77871763706207,0.9635385274887085,1392,0.024364447,-0.04045351967215538,0.0004092704424510632,0.009889128486975096,0.2,-1.4781951904296875e-05,-0.027910469740163535,0.2564697265625,-2.8871198000000002,1257.0
45568,1265,89,36,-42.73774337768555,0.9622699618339539,1408,0.014600327,-0.026992371305823326,0.0004092704424510632,0.004507971410930622,0.2,-9.548664093017578e-05,-0.02019628885318525,0.2037353515625,-2.8873752777777777,1257.0
46080,1265,90,36,-42.70413601398468,0.9614407420158386,1424,0.021348212,0.16742628812789917,0.0004092704424510632,0.3920496432110667,0.2,3.069639205932617e-05,-0.027801345655461773,0.2559814453125,-2.8873752777777777,1257.0
46592,1265,91,36,-42.70534014701843,0.9628413915634155,1440,0.017939154,-0.040287308394908905,0.0004092704424510632,0.0022928837897779886,0.2,-0.002587437629699707,-0.030857920806738548,0.27880859375,-2.8830713513513517,1257.0
47104,1265,92,37,-42.72889590263367,0.9619032740592957,1456,0.027112933,0.15757209062576294,0.0004092704424510632,0.3447073306888342,0.2,3.9637088775634766e-05,-0.028669990104390308,0.284912109375,-2.8830713513513517,1257.0
