time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,3642,512,,,,,,,,,,,,,
2,0,1762,1024,0.2890625,0.0004092704424510632,0.09276281157508492,-0.18199408054351807,16,1.0007814168930054,-0.028176354244351387,-43.99968147277832,-0.03151294431881979,0.022539448,0.2,,
3,1,1491,1536,0.257080078125,0.0004092704424510632,0.003707102241605753,-0.010470032691955566,32,0.9993114471435547,-0.04139965400099754,-43.994081020355225,-0.02883290170575492,0.017299801,0.2,1257.0,-2.714981
4,1,1398,2048,0.3353271484375,0.0004092704424510632,0.07083444576710463,-0.0021991729736328125,48,0.9971142411231995,0.0010421443730592728,-43.92875683307648,-0.031284989265259355,0.023057422,0.2,1257.0,-2.714981
5,1,1349,2560,0.32861328125,0.0004092704424510632,0.004287003859644756,0.021586358547210693,64,0.9958966374397278,-0.033881787210702896,-43.87271285057068,-0.03214683977421373,0.023305696,0.2,1257.0,-2.6653165
6,2,1315,3072,0.265625,0.0004092704424510632,0.0812575698364526,-0.0007998943328857422,80,0.9954150319099426,0.006988696753978729,-43.848637342453,-0.023241392278578132,0.019693749,0.2,1257.0,-2.6653165
7,2,1293,3584,0.2999267578125,0.0004092704424510632,0.006097975536249578,0.017477333545684814,96,0.9962292909622192,-0.03892132639884949,-43.84898638725281,-0.03195974123082124,0.022329971,0.2,1257.0,-2.6653165
8,3,1276,4096,0.20751953125,0.0004092704424510632,0.0045053581343381666,-0.0009998083114624023,112,0.994845449924469,-0.031068798154592514,-43.84995770454407,-0.021530748665099964,0.013302244,0.2,1257.0,-2.6906763333333337
9,3,1266,4608,0.267578125,0.0004092704424510632,0.10551603138446808,0.001796126365661621,128,0.9927570819854736,0.0048832967877388,-43.787402391433716,-0.027693353331414983,0.01694439,0.2,1257.0,-2.6906763333333337
10,4,1255,5120,0.245849609375,0.0004092704424510632,0.002059318187093595,-0.14287185668945312,144,0.9929563403129578,-0.059831652790308,-43.75005269050598,-0.027241637551924214,0.017395075,0.2,1257.0,-2.6411215
11,4,1246,5632,0.2208251953125,0.0004092704424510632,0.10850897850468755,0.0014807581901550293,160,0.9902036190032959,0.012356389313936234,-43.720728516578674,-0.02638735518848989,0.016415974,0.2,1257.0,-2.6411215
12,4,1241,6144,0.3021240234375,0.0004092704424510632,0.003800026846874971,0.09903788566589355,176,0.988554060459137,-0.040654536336660385,-43.6341792345047,-0.03229529727832414,0.02072464,0.2,1257.0,-2.6411215
13,5,1236,6656,0.280029296875,0.0004092704424510632,0.004562364665616769,-0.01698613166809082,192,0.9895687699317932,-0.03288712352514267,-43.62317943572998,-0.02737741547753103,0.020091213,0.2,1257.0,-2.617421
14,5,1232,7168,0.290283203125,0.0004092704424510632,0.12876860774122179,0.004160165786743164,208,0.9888319969177246,0.011822029948234558,-43.64084982872009,-0.02926842326996848,0.018671567,0.2,1257.0,-2.617421
15,6,1229,7680,0.25830078125,0.0004092704424510632,0.002266784340463346,-0.6377705335617065,224,0.9890609383583069,-0.023456482216715813,-43.62178111076355,-0.023045129288220778,0.017202644,0.2,1257.0,-2.5672575
16,6,1227,8192,0.3233642578125,0.0004092704424510632,0.11657861806452274,0.014287292957305908,240,0.9897637963294983,0.02656536176800728,-43.641480803489685,-0.03097937977872789,0.027361697,0.2,1257.0,-2.5672575
17,7,1224,8704,0.1910400390625,0.0004092704424510632,0.0081777366285678,-0.022785186767578125,256,0.9888356328010559,-0.017395444214344025,-43.64153456687927,-0.01953365484951064,0.01098958,0.2,1257.0,-2.5672575
18,7,1221,9216,0.222412109375,0.0004092704424510632,0.004104126652237028,-0.001964092254638672,272,0.9879801869392395,-0.022266073152422905,-43.60643029212952,-0.022374623804353178,0.015960893,0.2,1257.0,-2.5468117142857145
19,7,1218,9728,0.23095703125,0.0004092704424510632,0.15102516417391598,0.0017625689506530762,288,0.9872053265571594,0.03539923205971718,-43.57708764076233,-0.02230835723457858,0.016479112,0.2,1257.0,-2.5468117142857145
20,8,1216,10240,0.253662109375,0.0004092704424510632,0.004027034286991693,-0.17072057723999023,304,0.9862483143806458,-0.03193147853016853,-43.54528617858887,-0.025684092062874697,0.016866196,0.2,1257.0,-2.541928875
21,8,1213,10752,0.3660888671875,0.0004092704424510632,0.14145582867786288,0.004496574401855469,320,0.9870463013648987,0.021711915731430054,-43.541961669921875,-0.04081155825406313,0.03825272,0.2,1257.0,-2.541928875
22,9,1211,11264,0.2860107421875,0.0004092704424510632,0.0068107316619716585,-0.06023812294006348,336,0.9886209964752197,-0.02600844018161297,-43.57229769229889,-0.0255881818884518,0.017938316,0.2,1257.0,-2.541928875
23,9,1208,11776,0.25537109375,0.0004092704424510632,0.0042680561455199495,-0.03016495704650879,352,0.9877825975418091,-0.0293958131223917,-43.6007479429245,-0.027448288863524795,0.01748722,0.2,1257.0,-2.5363571111111107
24,10,1205,12288,0.3056640625,0.0004092704424510632,0.14115075254812837,0.003934085369110107,368,0.9874261021614075,0.04399857670068741,-43.56932878494263,-0.029678250255528837,0.026208628,0.2,1257.0,-2.5363571111111107
25,10,1204,12800,0.267822265625,0.0004092704424510632,0.00626802330953069,-0.7181451320648193,384,0.9867452383041382,-0.03315682336688042,-43.555909872055054,-0.030109862476820126,0.021503216,0.2,1257.0,-2.5324457
26,11,1202,13312,0.2838134765625,0.0004092704424510632,0.14109100261703134,0.02419942617416382,400,0.9866423010826111,0.025630876421928406,-43.54021918773651,-0.02874758467078209,0.023774158,0.2,1257.0,-2.5324457
27,11,1200,13824,0.2427978515625,0.0004092704424510632,0.009995531363529153,0.29577112197875977,416,0.9855687618255615,-0.0329400897026062,-43.52498459815979,-0.024858918055542745,0.0194677,0.2,1257.0,-2.5324457
28,11,1199,14336,0.2518310546875,0.0004092704424510632,0.01187400336493738,0.20412880182266235,432,0.9855687022209167,-0.031038984656333923,-43.49725079536438,-0.024292814909131266,0.018996406,0.2,1257.0,-2.5319516363636363
