time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
30,12,1222,15360,0.2237548828125,0.0004092704424510632,0.004037436658109073,0.05132979154586792,464,0.9904139637947083,-0.03269779309630394,-43.689841985702515,-0.024302930090925656,0.016914004,0.2,1257.0,-2.5717529166666666
31,12,1221,15872,0.2470703125,0.0004092704424510632,0.12602187786251307,0.000986933708190918,480,0.9893798232078552,0.013959545642137527,-43.64916932582855,-0.029606522555695847,0.018604835,0.2,1257.0,-2.5717529166666666
32,13,1219,16384,0.2313232421875,0.0004092704424510632,0.004087338493263815,-0.0003027915954589844,496,0.9910867810249329,-0.027610180899500847,-43.65282475948334,-0.021480715979123488,0.024254981,0.2,1257.0,-2.5757106153846157
33,13,1219,16896,0.231689453125,0.0004092704424510632,0.13034674641676247,0.0009151697158813477,512,0.9917216897010803,0.026089496910572052,-43.69910681247711,-0.02533353029866703,0.016941015,0.2,1257.0,-2.5757106153846157
34,14,1218,17408,0.2327880859375,0.0004092704424510632,0.00561193039175123,-0.0866248607635498,528,0.9907969236373901,-0.03879997506737709,-43.69198930263519,-0.024834793293848634,0.019450903,0.2,1257.0,-2.5757106153846157
35,14,1218,17920,0.2552490234375,0.0004092704424510632,0.004282467383745825,0.0024323463439941406,544,0.9900654554367065,-0.04630396515130997,-43.662203669548035,-0.029851549566956237,0.024890102,0.2,1257.0,-2.570755642857143
36,15,1217,18432,0.226318359375,0.0004092704424510632,0.14328693505376577,0.0014374852180480957,560,0.9875077605247498,0.04297696053981781,-43.61563682556152,-0.02258225402329117,0.01612631,0.2,1257.0,-2.570755642857143
37,15,1217,18944,0.2056884765625,0.0004092704424510632,0.0028506127273431048,-0.33567798137664795,576,0.9879488945007324,-0.032709430903196335,-43.56655430793762,-0.026629691303241998,0.015580421,0.2,1257.0,-2.5630257333333337
38,15,1216,19456,0.1717529296875,0.0004092704424510632,0.14988077944144607,0.0012093782424926758,592,0.987445056438446,0.04243430867791176,-43.57500874996185,-0.015782400383614004,0.016452353,0.2,1257.0,-2.5630257333333337
39,16,1216,19968,0.186767578125,0.0004092704424510632,0.005859676617546938,-0.06874454021453857,608,0.9865067005157471,-0.03581404685974121,-43.550981879234314,-0.018964090646477416,0.017893363,0.2,1257.0,-2.5630257333333337
40,16,1215,20480,0.2041015625,0.0004092704424510632,0.003325588219013298,-0.024197936058044434,624,0.9854207634925842,-0.028137698769569397,-43.5178564786911,-0.020544012731988914,0.013924475,0.2,1257.0,-2.5528559375
41,17,1215,20992,0.223388671875,0.0004092704424510632,0.17722279066219926,0.0006684064865112305,640,0.9859577417373657,0.054156649857759476,-43.50679016113281,-0.02554677755688317,0.020407004,0.2,1257.0,-2.5528559375
42,17,1214,21504,0.2606201171875,0.0004092704424510632,0.002724248741287738,-0.6557356119155884,656,0.9872398972511292,-0.04125845804810524,-43.53467261791229,-0.025391444301931188,0.0170126,0.2,1257.0,-2.552272941176471
43,18,1213,22016,0.304443359375,0.0004092704424510632,0.16671732999384403,0.000701606273651123,672,0.9867249727249146,0.037718988955020905,-43.55378544330597,-0.031120219988224562,0.019316915,0.2,1257.0,-2.552272941176471
44,18,1213,22528,0.2210693359375,0.0004092704424510632,0.0061996132862987,-0.05548095703125,688,0.986663818359375,-0.02853773720562458,-43.53432023525238,-0.0234411672281567,0.016585302,0.2,1257.0,-2.552272941176471
45,18,1213,23040,0.2384033203125,0.0004092704424510632,0.004823372226383071,0.0006272792816162109,704,0.9870128631591797,-0.04018397629261017,-43.539876222610474,-0.029553617001511157,0.01900597,0.2,1257.0,-2.543433666666667
46,19,1213,23552,0.2821044921875,0.0004092704424510632,0.17872218182310462,0.0015230774879455566,720,0.9886069893836975,0.04014625400304794,-43.5725439786911,-0.029939361891592853,0.023682576,0.2,1257.0,-2.543433666666667
47,19,1212,24064,0.213623046875,0.0004092704424510632,0.003585694317735033,-0.8221710920333862,736,0.9870184659957886,-0.03794139623641968,-43.58598709106445,-0.02334886704920791,0.018196624,0.2,1257.0,-2.5387497368421053
48,20,1212,24576,0.2225341796875,0.0004092704424510632,0.15102460840716958,0.006244659423828125,752,0.985894501209259,0.037325117737054825,-43.52991247177124,-0.023060393061314244,0.016039107,0.2,1257.0,-2.5387497368421053
49,20,1212,25088,0.2752685546875,0.0004092704424510632,0.006854532228317112,-0.19936096668243408,768,0.985405445098877,-0.03122500330209732,-43.504557609558105,-0.025155661423923448,0.018643405,0.2,1257.0,-2.5387497368421053
50,21,1211,25600,0.2099609375,0.0004092704424510632,0.003710641132784076,-0.008232831954956055,784,0.9856802225112915,-0.03200169652700424,-43.50265944004059,-0.022870260116178542,0.017008211,0.2,1257.0,-2.52692945
51,21,1210,26112,0.2357177734375,0.0004092704424510632,0.15158952656202018,0.008553266525268555,800,0.9849886894226074,0.009150296449661255,-43.497825264930725,-0.02509481424203841,0.021315426,0.2,1257.0,-2.52692945
52,21,1210,26624,0.2584228515625,0.0004092704424510632,0.010132318493560888,-0.9346030950546265,816,0.9843534231185913,-0.0333544984459877,-43.47445809841156,-0.02655485470313579,0.02359211,0.2,1257.0,-2.5242181904761907
53,22,1210,27136,0.233642578125,0.0004092704424510632,0.11867275252006948,0.2429659366607666,832,0.9811673760414124,0.004215668886899948,-43.428380489349365,-0.028157876295153983,0.017785652,0.2,1257.0,-2.5242181904761907
54,22,1209,27648,0.2159423828125,0.0004092704424510632,0.010924066009465605,0.1622093915939331,848,0.9794414043426514,-0.03434091806411743,-43.33417618274689,-0.024506776506314054,0.021187346,0.2,1257.0,-2.5242181904761907
55,23,1209,28160,0.2039794921875,0.0004092704424510632,0.01726180428522639,0.35211217403411865,864,0.9783878326416016,-0.022324005141854286,-43.299333333969116,-0.02265570085728541,0.015330311,0.2,1257.0,-2.522030363636364
56,23,1209,28672,0.273681640625,0.0004092704424510632,0.029777899966575205,0.3563273549079895,880,0.9777331352233887,-0.02149016596376896,-43.267189145088196,-0.02340010495390743,0.036672004,0.2,1257.0,-2.522030363636364
57,24,1208,29184,0.2386474609375,0.0004092704424510632,0.008087120470008813,-0.5138911008834839,896,0.976877748966217,-0.040352437645196915,-43.24396193027496,-0.028518905339296907,0.020088872,0.2,1257.0,-2.520004434782609
58,24,1208,29696,0.186767578125,0.0004092704424510632,0.10139271547086537,0.09121429920196533,912,0.9755434989929199,0.014608275145292282,-43.21149969100952,-0.02138311366434209,0.014475906,0.2,1257.0,-2.520004434782609
59,25,1208,30208,0.2286376953125,0.0004092704424510632,0.007999607376405038,-0.14429032802581787,928,0.9742229580879211,-0.02872742898762226,-43.16491508483887,-0.023652443713217508,0.019664519,0.2,1257.0,-2.512113125
