train/n_updates,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/ent_coef,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss
4927,2.1479244232177734,-121.03080749511719,4,-4.68791825,32,154,5028,0.017193246632814407,0.0008459126528049375,1257.0,-191.50086975097656
9955,4.486721992492676,-123.07665252685547,8,-3.5217343750000003,32,311,10056,0.0010516487527638674,0.0008459126528049375,1257.0,-57.44615173339844
14983,15.421521186828613,-119.89649963378906,12,-2.802309166666667,33,451,15084,0.0006634645396843553,0.0008459126528049375,1257.0,-21.686996459960938
20011,1.5067589282989502,-114.3997802734375,16,-2.5241470625,34,587,20112,0.0004447308019734919,0.0008459126528049375,1257.0,-65.06780242919922
25039,5.720245361328125,-103.90750885009766,20,-2.34327245,36,3,25140,0.0008649054798297584,0.0008459126528049375,1257.0,30.40119743347168
30067,9.96630859375,-90.01463317871094,24,-2.1515263333333334,33,156,30168,0.00131584785412997,0.0008459126528049375,1257.0,16.27021598815918
35095,5.412484169006348,-79.90654754638672,28,-2.0391989642857142,32,314,35196,0.0011034051422029734,0.0008459126528049375,1257.0,75.6590347290039
40123,3.975320816040039,-74.53083801269531,32,-1.9969841875,31,478,40224,0.0005814023315906525,0.0008459126528049375,1257.0,117.65705871582031
45151,4.098800182342529,-67.58824157714844,36,-1.9748319444444442,31,642,45252,0.0003535350551828742,0.0008459126528049375,1257.0,28.267593383789062
50179,2.750812530517578,-62.38023376464844,40,-1.9074136499999998,31,9,50280,0.00036023897700943053,0.0008459126528049375,1257.0,13.19018840789795
55207,1.6824102401733398,-53.08336639404297,44,-1.8478941136363638,30,173,55308,0.0001880086783785373,0.0008459126528049375,1257.0,89.97411346435547
60235,7.548235893249512,-44.22966384887695,48,-1.7996476666666663,30,338,60336,0.0005308551480993629,0.0008459126528049375,1257.0,226.37359619140625
65263,1.4189753532409668,-39.01705551147461,52,-1.7686765961538458,30,499,65364,0.0006546833319589496,0.0008459126528049375,1257.0,-23.505231857299805
70291,2.6506924629211426,-25.282291412353516,56,-1.7401481071428573,30,665,70392,0.0005394420004449785,0.0008459126528049375,1257.0,-19.201251983642578
75319,2.3914618492126465,-20.315906524658203,60,-1.717689,34,12,75420,0.000502515584230423,0.0008459126528049375,1257.0,-8.793010711669922
80347,2.3009767532348633,-17.336666107177734,64,-1.696313890625,33,160,80448,0.000710071122739464,0.0008459126528049375,1257.0,-3.906855344772339
85375,3.4700770378112793,-1.5360044240951538,68,-1.662561014705882,31,333,85476,0.0014315064763650298,0.0008459126528049375,1257.0,-17.539960861206055
90403,5.3642377853393555,6.6043381690979,72,-1.6422467916666665,30,511,90504,0.0010527144186198711,0.0008459126528049375,1257.0,4.042576313018799
