train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/fps,train/learning_rate,time/episodes,time/time_elapsed,train/critic_loss
4931,-4.6670715,0.017337219789624214,-172.15350341796875,1258.0,-122.67710876464844,5032,67,0.0008459126528049375,4,74,1.6715824604034424
9963,-3.5811564999999996,0.0010909183183684945,-23.33206558227539,1258.0,-128.84127807617188,10064,67,0.0008459126528049375,8,149,5.850003719329834
14995,-2.972761083333333,0.0012334962375462055,63.34374237060547,1258.0,-129.54547119140625,15096,66,0.0008459126528049375,12,225,5.483381748199463
20027,-2.6612969375,0.0013454339932650328,-21.02347755432129,1258.0,-125.4019546508789,20128,66,0.0008459126528049375,16,301,2.3417041301727295
25059,-2.50931385,0.0006121694459579885,-40.0231819152832,1258.0,-123.15861511230469,25160,66,0.0008459126528049375,20,2,2.0151662826538086
30091,-2.3497374166666667,0.0004977365606464446,-58.478694915771484,1258.0,-114.64897918701172,30192,66,0.0008459126528049375,24,77,2.556957721710205
35123,-2.2643984642857147,0.0012005275348201394,-19.468618392944336,1258.0,-91.3030014038086,35224,66,0.0008459126528049375,28,153,8.070945739746094
40155,-2.2279266250000003,0.00042520303395576775,-69.19705963134766,1258.0,-84.31504821777344,40256,66,0.0008459126528049375,32,229,3.7838594913482666
45187,-2.1897874722222226,0.0007586858700960875,-29.609119415283203,1258.0,-73.88795471191406,45288,66,0.0008459126528049375,36,307,5.2738494873046875
50219,-2.1675575250000003,0.0008734061266295612,10.903472900390625,1258.0,-48.13853454589844,50320,65,0.0008459126528049375,40,4,4.455558776855469
55251,-2.143138022727273,0.0005299411132000387,87.72956085205078,1258.0,-41.124351501464844,55352,64,0.0008459126528049375,44,82,4.224142074584961
60283,-2.0993498125,0.00072561512934044,89.45021057128906,1258.0,-36.44462966918945,60384,64,0.0008459126528049375,48,160,3.9010767936706543
65315,-2.069764384615385,0.0004211931664030999,-27.17538833618164,1258.0,-35.31478500366211,65416,64,0.0008459126528049375,52,237,1.0695000886917114
70347,-2.051880267857143,0.00035205870517529547,-3.942770481109619,1258.0,-26.37568473815918,70448,64,0.0008459126528049375,56,315,1.23039972782135
75379,-2.0491993166666664,0.0002240167959826067,-91.8267593383789,1258.0,-22.487529754638672,75480,63,0.0008459126528049375,60,7,1.0807816982269287
80411,-2.004987609375,0.00030269724084064364,38.84616470336914,1258.0,-15.447330474853516,80512,64,0.0008459126528049375,64,85,0.9417804479598999
85443,-1.968517235294118,0.00036072457442060113,75.14327239990234,1258.0,-17.441646575927734,85544,64,0.0008459126528049375,68,164,0.9866212010383606
