time/episodes,train/n_updates,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean
4,4927,-166.33749389648438,28,0.0008459126528049375,-4.559262,-122.18473052978516,0.017668209969997406,46.445594787597656,5028,176,1257.0
8,9955,39.85172653198242,29,0.0008459126528049375,-3.72126075,-129.68052673339844,0.0010939714265987277,4.490350246429443,10056,344,1257.0
12,14983,147.38523864746094,28,0.0008459126528049375,-3.026708916666667,-123.80669403076172,0.0010724525200203061,36.88062286376953,15084,532,1257.0
16,20011,-49.652923583984375,28,0.0008459126528049375,-2.67989625,-120.87598419189453,0.0010495211463421583,3.599205493927002,20112,709,1257.0
20,25039,42.102020263671875,26,0.0008459126528049375,-2.4622033500000002,-104.99198150634766,0.0007797408034093678,5.225250244140625,25140,5,1257.0
24,30067,-18.50099754333496,27,0.0008459126528049375,-2.288211291666667,-104.30621337890625,0.0008083365974016488,2.461012363433838,30168,189,1257.0
28,35095,-6.485564231872559,27,0.0008459126528049375,-2.1868668214285716,-89.02755737304688,0.0004780232848133892,1.451383352279663,35196,369,1257.0
32,40123,-55.99628829956055,28,0.0008459126528049375,-2.125521,-86.21622467041016,0.0006557577871717513,5.102148056030273,40224,532,1257.0
36,45151,-3.811760187149048,28,0.0008459126528049375,-2.0577876666666666,-70.33268737792969,0.0005356683977879584,2.921020030975342,45252,701,1257.0
40,50179,127.04705810546875,31,0.0008459126528049375,-1.984085275,-63.86754608154297,0.0002794650208670646,4.004741191864014,50280,8,1257.0
44,55207,32.06753158569336,30,0.0008459126528049375,-1.9336726590909092,-45.736656188964844,0.0007239113328978419,3.2073097229003906,55308,172,1257.0
48,60235,-13.729883193969727,29,0.0008459126528049375,-1.8919151458333332,-26.120058059692383,0.0007846102816984057,0.5898057222366333,60336,346,1257.0
52,65263,-23.060062408447266,29,0.0008459126528049375,-1.8621823076923076,-23.274736404418945,0.00021108670625835657,0.3589155077934265,65364,514,1257.0
56,70291,-9.670350074768066,29,0.0008459126528049375,-1.8227011249999998,-20.0338191986084,0.00016985427646432072,0.1949348747730255,70392,690,1257.0
60,75319,178.48631286621094,25,0.0008459126528049375,-1.7810596166666666,-15.997000694274902,7.475131860701367e-05,5.575876712799072,75420,16,1257.0
64,80347,-58.94236373901367,25,0.0008459126528049375,-1.743560140625,-13.731661796569824,0.00015756439825054258,0.1206483468413353,80448,214,1257.0
68,85375,59.6322135925293,25,0.0008459126528049375,-1.719050955882353,-12.159643173217773,0.0001927158737089485,0.12639378011226654,85476,415,1257.0
72,90403,6.242671966552734,25,0.0008459126528049375,-1.7039095138888887,-10.489117622375488,0.00016690054326318204,0.1713019609451294,90504,615,1257.0
76,95431,-6.0254974365234375,25,0.0008459126528049375,-1.695956486842105,-9.932687759399414,0.0001832178677432239,0.11793069541454315,95532,806,1257.0
