time/fps,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/learning_rate,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss
11,-167.88990783691406,4,1258.0,-4.6393552499999995,0.01738908886909485,429,0.0008459126528049375,5032,4931,-121.04153442382812,1.1704394817352295
11,-15.73055362701416,8,1258.0,-3.6822989999999995,0.0014094904763624072,865,0.0008459126528049375,10064,9963,-125.62042999267578,2.4208507537841797
11,11.820943832397461,12,1258.0,-3.0548645833333326,0.0009549612877890468,1308,0.0008459126528049375,15096,14995,-130.61053466796875,2.9139087200164795
11,-28.520793914794922,16,1258.0,-2.6441848125000003,0.0016161089297384024,1755,0.0008459126528049375,20128,20027,-131.5531005859375,4.637929916381836
11,82.9145278930664,20,1258.0,-2.4131434,0.001398561056703329,14,0.0008459126528049375,25160,25059,-130.4872283935547,2.7727909088134766
11,6.716563701629639,24,1258.0,-2.2393337083333336,0.0017088275635614991,462,0.0008459126528049375,30192,30091,-129.078857421875,10.485635757446289
11,32.676116943359375,28,1258.0,-2.115392,0.001228064065799117,909,0.0008459126528049375,35224,35123,-122.23462677001953,3.036105155944824
11,26.917505264282227,32,1258.0,-2.02893646875,0.0005094200023449957,1358,0.0008459126528049375,40256,40155,-112.64922332763672,22.403274536132812
11,-47.23659133911133,36,1258.0,-1.9660441111111109,0.0004977785283699632,1815,0.0008459126528049375,45288,45187,-104.78718566894531,3.0505928993225098
10,4.265612602233887,40,1258.0,-1.8909582,0.0007996109197847545,29,0.0008459126528049375,50320,50219,-97.44203186035156,8.183887481689453
11,6.027430057525635,44,1258.0,-1.8414444772727274,0.0005265098297968507,485,0.0008459126528049375,55352,55251,-84.40054321289062,6.834803581237793
11,20.725971221923828,48,1258.0,-1.7884107083333334,0.0017224116018041968,923,0.0008459126528049375,60384,60283,-68.75012969970703,17.46863555908203
11,-17.248497009277344,52,1258.0,-1.7546132115384614,0.0007406671647913754,1364,0.0008459126528049375,65416,65315,-60.969032287597656,6.833449363708496
11,5.767140865325928,56,1258.0,-1.7202873214285717,0.0005064556607976556,1805,0.0008459126528049375,70448,70347,-58.63410568237305,1.5588757991790771
11,-11.581059455871582,60,1258.0,-1.6920353666666668,0.0004922801163047552,43,0.0008459126528049375,75480,75379,-54.457908630371094,1.8113216161727905
10,177.4403839111328,64,1258.0,-1.667858,0.0003501733299344778,504,0.0008459126528049375,80512,80411,-45.89480209350586,9.26378059387207
10,190.54898071289062,68,1258.0,-1.6538657647058823,0.000337967969244346,970,0.0008459126528049375,85544,85443,-40.331138610839844,5.94865083694458
10,-87.2317123413086,72,1258.0,-1.6422954166666668,0.00037737100501544774,1431,0.0008459126528049375,90576,90475,-35.21464920043945,0.5410696864128113
10,-63.232601165771484,76,1258.0,-1.6244368552631578,0.00014810518769081682,1884,0.0008459126528049375,95608,95507,-34.32045364379883,0.305064857006073
