time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,512,3753,,,,,,,,,,,,,
0,2,1024,1828,-0.7619152069091797,0.0004092704424510632,0.09699517444823869,0.012915106,-0.051332540810108185,16,0.9987233281135559,0.247314453125,-0.031472214599489234,-43.97080099582672,0.2,,
0,3,1536,1567,-0.006640434265136719,0.0004092704424510632,0.011122865733341314,0.020419743,-0.02846113033592701,32,0.9988357424736023,0.28857421875,-0.031123725551879033,-43.941686153411865,0.2,1258.0,-2.693522
1,4,2048,1454,-0.011645913124084473,0.0004092704424510632,0.0017302980886597652,0.012830283,-0.03706458583474159,48,0.9997223615646362,0.21826171875,-0.023642022628337145,-43.9660187959671,0.2,1258.0,-2.693522
1,5,2560,1397,0.0007488727569580078,0.0004092704424510632,0.0031426615714735817,0.01749517,-0.03181212395429611,64,0.9999139308929443,0.25830078125,-0.025543820316670462,-43.97945833206177,0.2,1258.0,-2.7366885
2,6,3072,1367,-0.006894588470458984,0.0004092704424510632,0.005175751881324686,0.019821428,-0.02799876034259796,80,0.999640166759491,0.2860107421875,-0.026606235682265833,-43.97893166542053,0.2,1258.0,-2.7366885
2,7,3584,1347,0.0063762664794921875,0.0004092704424510632,0.0032980028954625595,0.015395995,-0.04782646894454956,96,0.99991375207901,0.2518310546875,-0.02700163659756072,-43.9734046459198,0.2,1258.0,-2.7366885
3,8,4096,1333,0.004283428192138672,0.0004092704424510632,0.010669074938050471,0.017069463,-0.029267167672514915,112,0.9993051886558533,0.2738037109375,-0.02472925831534667,-43.9681875705719,0.2,1258.0,-2.7167736666666666
3,9,4608,1319,0.0028288960456848145,0.0004092704424510632,0.010251307816361077,0.022211391,-0.041430652141571045,128,0.998823344707489,0.3006591796875,-0.028234915662324056,-43.94978964328766,0.2,1258.0,-2.7167736666666666
3,10,5120,1305,0.0311318039894104,0.0004092704424510632,0.008912221412174404,0.018863212,-0.03160838037729263,144,1.0003917217254639,0.2755126953125,-0.023142559060943313,-43.96264433860779,0.2,1258.0,-2.675454
4,11,5632,1294,-0.0019736289978027344,0.0004092704424510632,0.01578129647532478,0.016072655,-0.030289199203252792,160,0.9987022876739502,0.25244140625,-0.0236687452706974,-43.976632595062256,0.2,1258.0,-2.675454
4,12,6144,1290,0.010415136814117432,0.0004092704424510632,0.0024771081989456434,0.019977925,-0.0412185974419117,176,0.9976036548614502,0.2789306640625,-0.02903012761089485,-43.91479194164276,0.2,1258.0,-2.675454
5,13,6656,1285,0.003725290298461914,0.0004092704424510632,0.01035909162601456,0.02396601,-0.046191807836294174,192,0.9982497692108154,0.3104248046875,-0.030425219098106027,-43.91047537326813,0.2,1258.0,-2.6948522
5,14,7168,1281,0.0029512643814086914,0.0004092704424510632,0.031079986481927335,0.020127222,-0.016942471265792847,208,0.9985377192497253,0.2664794921875,-0.026236992795020342,-43.92641854286194,0.2,1258.0,-2.6948522
6,15,7680,1277,0.05979752540588379,0.0004092704424510632,0.010143738109036349,0.02885605,-0.04323563724756241,224,0.9975867867469788,0.322998046875,-0.03170709375990555,-43.91287040710449,0.2,1258.0,-2.711289666666667
6,16,8192,1275,0.007532775402069092,0.0004092704424510632,0.04074845492141321,0.019492041,-0.017996784299612045,240,0.9973242282867432,0.2542724609375,-0.023956522287335247,-43.88990330696106,0.2,1258.0,-2.711289666666667
6,17,8704,1271,0.01727968454360962,0.0004092704424510632,0.0030244626468629576,0.017989952,-0.03467455878853798,256,0.9970465898513794,0.227783203125,-0.025241101597202942,-43.88631308078766,0.2,1258.0,-2.711289666666667
7,18,9216,1269,0.007614433765411377,0.0004092704424510632,0.015293575823307037,0.02143789,-0.01697072945535183,272,0.9993212223052979,0.2601318359375,-0.026346834434662014,-43.90803039073944,0.2,1258.0,-2.7175160000000003
7,19,9728,1268,0.009278655052185059,0.0004092704424510632,0.04823148366995156,0.021885127,-0.020222345367074013,288,1.0001981258392334,0.2274169921875,-0.024797116231638938,-43.97175323963165,0.2,1258.0,-2.7175160000000003
8,20,10240,1266,0.1426653265953064,0.0004092704424510632,0.007035332848317921,0.016460389,-0.033783286809921265,304,1.000694990158081,0.207275390625,-0.022429877702961676,-43.9861626625061,0.2,1258.0,-2.72442225
8,21,10752,1264,0.20026332139968872,0.0004092704424510632,0.039513661176897585,0.02041059,-0.021129431203007698,320,1.0000907182693481,0.2518310546875,-0.02520992685458623,-43.98929691314697,0.2,1258.0,-2.72442225
8,22,11264,1263,0.0931549072265625,0.0004092704424510632,0.0036069023481104523,0.024936773,-0.03968236967921257,336,0.9998576045036316,0.260009765625,-0.02944830380147323,-43.9703414440155,0.2,1258.0,-2.72442225
9,23,11776,1261,0.10079514980316162,0.0004092704424510632,0.010131420858670026,0.016851252,-0.030406955629587173,352,1.0001665353775024,0.2476806640625,-0.025861707734293304,-43.97115659713745,0.2,1258.0,-2.7227022222222224
9,24,12288,1260,0.1880941390991211,0.0004092704424510632,0.04114270192803815,0.033124715,-0.013314897194504738,368,1.0000394582748413,0.2606201171875,-0.027966528257820755,-43.97383940219879,0.2,1258.0,-2.7227022222222224
10,25,12800,1259,0.024088799953460693,0.0004092704424510632,0.011571611074032262,0.020016339,-0.036551687866449356,384,0.9993165135383606,0.2435302734375,-0.028005879023112357,-43.963913440704346,0.2,1258.0,-2.7252156
10,26,13312,1258,0.31784582138061523,0.0004092704424510632,0.05910485627828166,0.02735227,-0.02097190171480179,400,0.9984152317047119,0.2752685546875,-0.02647335935034789,-43.933701276779175,0.2,1258.0,-2.7252156
10,27,13824,1257,-1.5878994464874268,0.0004092704424510632,0.006029486452462152,0.013947191,-0.038599494844675064,416,0.9969056844711304,0.193603515625,-0.022118412161944434,-43.90165174007416,0.2,1258.0,-2.7252156
11,28,14336,1255,0.1862059235572815,0.0004092704424510632,0.009473531812545843,0.020326301,-0.03161273151636124,432,0.9981231689453125,0.235595703125,-0.022770410228986293,-43.878921031951904,0.2,1258.0,-2.715152272727273
11,29,14848,1253,0.21873527765274048,0.0004092704424510632,0.033204760402441025,0.0338998,-0.023022985085844994,448,0.9992033243179321,0.2779541015625,-0.02452739587170072,-43.92824161052704,0.2,1258.0,-2.715152272727273
12,30,15360,1252,-0.3206026554107666,0.0004092704424510632,0.008650074218166992,0.018097196,-0.03372013941407204,464,0.9992166757583618,0.232177734375,-0.024199102132115513,-43.945472240448,0.2,1258.0,-2.697071083333334
12,31,15872,1249,0.291470468044281,0.0004092704424510632,0.05821716843638569,0.018205231,-0.027644814923405647,480,0.9976811408996582,0.24609375,-0.025795274661504664,-43.917083740234375,0.2,1258.0,-2.697071083333334
13,32,16384,1247,-4.097943305969238,0.0004092704424510632,0.004451670854905387,0.017488811,-0.026224099099636078,496,0.9971425533294678,0.260986328125,-0.026531665556831285,-43.8775600194931,0.2,1258.0,-2.7003076153846157
13,33,16896,1246,0.08170205354690552,0.0004092704424510632,0.09626902407035232,0.019260028,0.004481177777051926,512,0.9980340003967285,0.2393798828125,-0.024259598780190572,-43.881277203559875,0.2,1258.0,-2.7003076153846157
13,34,17408,1246,-1.812678337097168,0.0004092704424510632,0.0023536185253760777,0.016413443,-0.03180454671382904,528,1.0000536441802979,0.2259521484375,-0.02204322983743623,-43.925583720207214,0.2,1258.0,-2.7003076153846157
