time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,512,3967,,,,,,,,,,,,,
0,2,1024,1833,-1.0631802082061768,0.0004092704424510632,0.10158164421591209,0.015802113,-0.03255882486701012,16,0.9994715452194214,0.2586669921875,-0.02904254209715873,-43.97778856754303,0.2,,
0,3,1536,1578,0.0089682936668396,0.0004092704424510632,0.010481897741556168,0.015078189,-0.04571197181940079,32,0.9982638955116272,0.2491455078125,-0.031426398985786363,-43.955663323402405,0.2,1258.0,-2.867456
1,4,2048,1476,0.038010239601135254,0.0004092704424510632,0.004018788393295836,0.023529295,-0.04329682141542435,48,0.9979602694511414,0.342529296875,-0.03363716202147771,-43.92043173313141,0.2,1258.0,-2.867456
1,5,2560,1416,0.01630920171737671,0.0004092704424510632,0.0030306955231935717,0.019629523,-0.025319665670394897,64,0.9968087077140808,0.28955078125,-0.024353329819859937,-43.90708017349243,0.2,1258.0,-2.87471
2,6,3072,1381,0.00263899564743042,0.0004092704424510632,0.011790681397542357,0.025281549,-0.03128603845834732,80,0.9975873231887817,0.3125,-0.027119690421386622,-43.89529347419739,0.2,1258.0,-2.87471
2,7,3584,1358,0.0039588212966918945,0.0004092704424510632,0.0037136352984816767,0.0231671,-0.04767563194036484,96,0.9977104663848877,0.2786865234375,-0.023959313024533913,-43.911160945892334,0.2,1258.0,-2.87471
3,8,4096,1342,0.006438910961151123,0.0004092704424510632,0.011628832842689008,0.021253247,-0.030047044157981873,112,0.9978200197219849,0.2900390625,-0.02636029304994736,-43.913146018981934,0.2,1258.0,-2.8202053333333335
3,9,4608,1321,0.0180816650390625,0.0004092704424510632,0.022834689298179,0.022898044,-0.03065781481564045,128,0.997248113155365,0.327392578125,-0.02939454013539944,-43.90963089466095,0.2,1258.0,-2.8202053333333335
3,10,5120,1315,0.12723767757415771,0.0004092704424510632,0.006418376826331951,0.017922247,-0.021883588284254074,144,0.9953557848930359,0.293212890625,-0.023516237757576164,-43.870407819747925,0.2,1258.0,-2.75522525
4,11,5632,1308,0.047079265117645264,0.0004092704424510632,0.027307261480018497,0.016721953,-0.015914972871541977,160,0.9921887516975403,0.234130859375,-0.019082979459199123,-43.7896625995636,0.2,1258.0,-2.75522525
4,12,6144,1303,-0.10545861721038818,0.0004092704424510632,0.002925633260019822,0.016350428,-0.04080045223236084,176,0.9932738542556763,0.2393798828125,-0.025489129300694913,-43.73986732959747,0.2,1258.0,-2.75522525
5,13,6656,1296,0.04898858070373535,0.0004092704424510632,0.009599891811376438,0.025593927,-0.040043193846940994,192,0.9929007291793823,0.318359375,-0.031877078174147755,-43.7683744430542,0.2,1258.0,-2.7663496000000003
5,14,7168,1292,0.08199745416641235,0.0004092704424510632,0.03793058037990704,0.019282687,-0.012920674867928028,208,0.9916651248931885,0.2401123046875,-0.024159413122106344,-43.74102854728699,0.2,1258.0,-2.7663496000000003
5,15,7680,1289,0.25126951932907104,0.0004092704424510632,0.00806383931194432,0.018965118,-0.028803905472159386,224,0.9933444261550903,0.270263671875,-0.02910609735408798,-43.72993004322052,0.2,1258.0,-2.7385715000000004
6,16,8192,1284,0.2550539970397949,0.0004092704424510632,0.03601179952966049,0.019686501,-0.01431255228817463,240,0.9923786520957947,0.246337890625,-0.02423557639849605,-43.765408396720886,0.2,1258.0,-2.7385715000000004
6,17,8704,1280,-0.6009936332702637,0.0004092704424510632,0.005093117950309534,0.016258482,-0.035581767559051514,256,0.9905685782432556,0.2257080078125,-0.02609252365073189,-43.71127450466156,0.2,1258.0,-2.7385715000000004
7,18,9216,1278,0.03900176286697388,0.0004092704424510632,0.011166539072291926,0.02247389,-0.0455506257712841,272,0.9907086491584778,0.2764892578125,-0.029450026180711575,-43.67161464691162,0.2,1258.0,-2.759145
7,19,9728,1275,0.10038745403289795,0.0004092704424510632,0.046536131005268544,0.016914513,-0.021011140197515488,288,0.9917458295822144,0.255859375,-0.02598787636088673,-43.69934797286987,0.2,1258.0,-2.759145
8,20,10240,1273,-1.2719612121582031,0.0004092704424510632,0.009657581002102233,0.018271467,-0.027898872271180153,304,0.99144047498703,0.2171630859375,-0.026067797181895003,-43.71394753456116,0.2,1258.0,-2.7542036249999997
8,21,10752,1270,0.17795425653457642,0.0004092704424510632,0.06340715021360666,0.023732346,-0.008233260363340378,320,0.9933398962020874,0.2747802734375,-0.028672342421486974,-43.73253095149994,0.2,1258.0,-2.7542036249999997
8,22,11264,1268,-0.12763595581054688,0.0004092704424510632,0.002831247475114651,0.017509542,-0.047427043318748474,336,0.9923028349876404,0.199951171875,-0.024578281387221068,-43.76104736328125,0.2,1258.0,-2.7542036249999997
9,23,11776,1265,0.1370551586151123,0.0004092704424510632,0.008698140212800354,0.028194942,-0.03239758685231209,352,0.9927805066108704,0.2867431640625,-0.027223649434745312,-43.734434962272644,0.2,1258.0,-2.729755333333333
