time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,512,3859,,,,,,,,,,,,,
0,2,1024,1814,-0.13615667819976807,0.0004092704424510632,0.11302903873001924,0.017482132,-0.03292618319392204,16,1.0010377168655396,0.2620849609375,-0.028598445962416008,-44.00145471096039,0.2,,
0,3,1536,1548,0.004479646682739258,0.0004092704424510632,0.010143222840270028,0.024916165,-0.04826639965176582,32,1.003453254699707,0.2965087890625,-0.03610045593813993,-44.05048608779907,0.2,1258.0,-2.791732
1,4,2048,1438,0.009317457675933838,0.0004092704424510632,0.021818879060447216,0.020475809,-0.02050771377980709,48,1.0023247003555298,0.286376953125,-0.028865562635473907,-44.08353292942047,0.2,1258.0,-2.791732
1,5,2560,1397,0.07650929689407349,0.0004092704424510632,0.002012818593357224,0.013922991,-0.0359630361199379,64,1.0037152767181396,0.2337646484375,-0.022913525579497218,-44.06965696811676,0.2,1258.0,-2.626073
2,6,3072,1359,0.016955971717834473,0.0004092704424510632,0.02815951540833339,0.017393256,-0.027334462851285934,80,1.003674864768982,0.2967529296875,-0.02809501872980036,-44.10294461250305,0.2,1258.0,-2.626073
2,7,3584,1336,-0.01040339469909668,0.0004092704424510632,0.00285446170164505,0.013075872,-0.034654006361961365,96,1.0008608102798462,0.212158203125,-0.022086621582275257,-44.056708216667175,0.2,1258.0,-2.626073
3,8,4096,1319,-0.0006197690963745117,0.0004092704424510632,0.011581304395804182,0.020472035,-0.03850330412387848,112,1.0026367902755737,0.31591796875,-0.03204433576320298,-44.01782238483429,0.2,1258.0,-2.701603
3,9,4608,1307,0.009612560272216797,0.0004092704424510632,0.042074467812199146,0.023270272,-0.01705245114862919,128,1.0035091638565063,0.31103515625,-0.028037284821039066,-44.083176374435425,0.2,1258.0,-2.701603
3,10,5120,1298,0.03018331527709961,0.0004092704424510632,0.00968581048073247,0.024817144,-0.028668805956840515,144,1.005616545677185,0.289306640625,-0.026466506547876634,-44.11290919780731,0.2,1258.0,-2.7484029999999997
4,11,5632,1289,0.018189728260040283,0.0004092704424510632,0.046926675364375114,0.027548756,-0.01363956369459629,160,1.0054173469543457,0.3048095703125,-0.028792016091756523,-44.15706408023834,0.2,1258.0,-2.7484029999999997
4,12,6144,1283,-0.3243757486343384,0.0004092704424510632,0.0036134139736532234,0.016330173,-0.03144366666674614,176,1.0051326751708984,0.257568359375,-0.025023685331689194,-44.13426625728607,0.2,1258.0,-2.7484029999999997
