time/episodes,time/fps,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
4,66,0.0008459126528049375,5032,1258.0,4931,-165.41659545898438,75,-122.680908203125,2.4361512660980225,-4.400372,0.017521755769848824
8,65,0.0008459126528049375,10064,1258.0,9963,-11.31968879699707,153,-123.86642456054688,4.239150047302246,-3.319117875,0.001224857522174716
12,65,0.0008459126528049375,15096,1258.0,14995,2.7042391300201416,231,-118.86676025390625,4.3042707443237305,-2.6170716666666665,0.001410539960488677
16,64,0.0008459126528049375,20128,1258.0,20027,18.460500717163086,309,-106.84957885742188,3.3381295204162598,-2.3133466875,0.00105800642631948
20,64,0.0008459126528049375,25160,1258.0,25059,-2.400186538696289,2,-95.46369171142578,3.4173593521118164,-2.1053973000000004,0.0008735902374610305
24,64,0.0008459126528049375,30192,1258.0,30091,72.52224731445312,80,-92.62040710449219,1.9069561958312988,-1.9560446666666664,0.0007216804078780115
28,64,0.0008459126528049375,35224,1258.0,35123,-56.71240997314453,159,-89.2249755859375,1.5283925533294678,-1.8566228928571429,0.0004974242765456438
32,64,0.0008459126528049375,40256,1258.0,40155,-14.038233757019043,238,-85.47671508789062,2.4498181343078613,-1.772403,0.0005634244880639017
36,63,0.0008459126528049375,45288,1258.0,45187,-7.415503978729248,317,-80.63680267333984,0.782896101474762,-1.7302282777777778,0.0005339638446457684
40,64,0.0008459126528049375,50320,1258.0,50219,-41.31360626220703,4,-80.70391082763672,1.048875093460083,-1.6806175250000002,0.00072427251143381
44,63,0.0008459126528049375,55352,1258.0,55251,23.477834701538086,83,-72.5318374633789,18.64215850830078,-1.636677090909091,0.0005563425947912037
48,63,0.0008459126528049375,60384,1258.0,60283,37.384403228759766,162,-69.22370147705078,2.068457841873169,-1.6102943958333336,0.00038359896279871464
52,64,0.0008459126528049375,65416,1258.0,65315,5.243088722229004,240,-68.08076477050781,1.8409409523010254,-1.583991730769231,0.0005205916822887957
56,63,0.0008459126528049375,70448,1258.0,70347,49.75069808959961,320,-60.826576232910156,62.164031982421875,-1.5562033214285715,0.000437371403677389
60,61,0.0008459126528049375,75480,1258.0,75379,-19.095638275146484,7,-55.239891052246094,3.257845163345337,-1.528343066666667,0.0005511007038876414
64,60,0.0008459126528049375,80512,1258.0,80411,24.677480697631836,90,-47.39217758178711,20.946691513061523,-1.5008980625000001,0.0008897004299797118
68,60,0.0008459126528049375,85544,1258.0,85443,-12.72785758972168,174,-48.94013977050781,2.0185956954956055,-1.4851203382352942,0.001167898066341877
