train/n_updates,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/episodes,train/actor_loss,train/learning_rate,time/total_timesteps
4931,3.0795931816101074,-5.3402785,0.017126379534602165,1258.0,58,85,-160.1148223876953,4,-120.19639587402344,0.0008459126528049375,5032
9963,5.046840667724609,-4.201307625,0.0012577605666592717,1258.0,58,172,-13.025172233581543,8,-126.54878997802734,0.0008459126528049375,10064
14995,2.5386884212493896,-3.5794775,0.001244744285941124,1258.0,58,258,-45.33728790283203,12,-129.92227172851562,0.0008459126528049375,15096
20027,2.3044142723083496,-3.3013518125,0.0018245615065097809,1258.0,58,343,-11.468328475952148,16,-130.77162170410156,0.0008459126528049375,20128
25059,2.9875283241271973,-3.085805,0.000882916443515569,1258.0,59,2,-36.500484466552734,20,-126.92750549316406,0.0008459126528049375,25160
30091,4.000493049621582,-2.9569117916666667,0.0008423706749454141,1258.0,59,87,-21.668676376342773,24,-116.7162857055664,0.0008459126528049375,30192
35123,3.0562024116516113,-2.914739142857143,0.0003400790737941861,1258.0,59,172,-1.777538537979126,28,-110.04112243652344,0.0008459126528049375,35224
40155,5.15764045715332,-2.83095634375,0.0004735439724754542,1258.0,59,257,81.5871810913086,32,-106.63223266601562,0.0008459126528049375,40256
45187,4.712517738342285,-2.7608147499999998,0.0007620752439834177,1258.0,59,341,-16.47183609008789,36,-90.17662048339844,0.0008459126528049375,45288
50219,1.6460061073303223,-2.7418031249999997,0.00047721181181259453,1258.0,60,5,4.318629264831543,40,-89.19606018066406,0.0008459126528049375,50320
55251,3.2979087829589844,-2.69823025,0.0004427116655278951,1258.0,60,88,-4.342197895050049,44,-84.03304290771484,0.0008459126528049375,55352
60283,15.52061939239502,-2.668637458333334,0.0007260262500494719,1258.0,60,171,8.520484924316406,48,-81.36532592773438,0.0008459126528049375,60384
65315,17.42828369140625,-2.6249025,0.002294209785759449,1258.0,60,255,95.92911529541016,52,-52.048789978027344,0.0008459126528049375,65416
70347,45.46769332885742,-2.612324946428571,0.0011622586753219366,1258.0,60,339,17.043575286865234,56,-52.279727935791016,0.0008459126528049375,70448
75379,6.897109031677246,-2.5983236333333335,0.001870909589342773,1258.0,58,8,18.20317840576172,60,-48.151859283447266,0.0008459126528049375,75480
80411,19.127614974975586,-2.5681886875,0.0026006002444773912,1258.0,56,96,13.630427360534668,64,-25.924400329589844,0.0008459126528049375,80512
85443,14.861322402954102,-2.563902897058824,0.0007647175807505846,1258.0,58,180,11.763673782348633,68,-17.9824161529541,0.0008459126528049375,85544
90475,6.7071003913879395,-2.5526863194444442,0.0008336551836691797,1258.0,59,260,58.355064392089844,72,-8.344755172729492,0.0008459126528049375,90576
95507,5.669083118438721,-2.537054381578947,0.0016998408827930689,1258.0,60,340,-24.245943069458008,76,-2.179910659790039,0.0008459126528049375,95608
