train/ent_coef_loss,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/critic_loss,train/n_updates,train/ent_coef,time/episodes,rollout/ep_len_mean,train/learning_rate
-165.68728637695312,404,-123.06877136230469,-4.2111295,5028,12,55.548404693603516,4927,0.017485149204730988,4,1257.0,0.0008459126528049375
-64.98281860351562,825,-130.67889404296875,-3.2291423750000003,10056,12,1.624495506286621,9955,0.0009866016916930676,8,1257.0,0.0008459126528049375
-24.80928611755371,1267,-134.51612854003906,-2.5471759166666668,15084,11,57.41670227050781,14983,0.000876892707310617,12,1257.0,0.0008459126528049375
-32.79180908203125,1709,-139.9896240234375,-2.3025705625,20112,11,5.7987775802612305,20011,0.0009440651629120111,16,1257.0,0.0008459126528049375
-24.559207916259766,11,-136.8997344970703,-2.10836595,25140,11,2.9199841022491455,25039,0.001155212870799005,20,1257.0,0.0008459126528049375
14.859991073608398,452,-135.67117309570312,-1.98935,30168,11,4.454563140869141,30067,0.0012436218094080687,24,1257.0,0.0008459126528049375
1.439269781112671,896,-134.12222290039062,-1.9136005357142858,35196,11,35.280006408691406,35095,0.0010009411489591002,28,1257.0,0.0008459126528049375
-26.042781829833984,1336,-133.5277557373047,-1.8145121250000003,40224,11,4.334321022033691,40123,0.0009140695328824222,32,1257.0,0.0008459126528049375
53.09371566772461,1774,-122.35689544677734,-1.739747527777778,45252,11,4.733019828796387,45151,0.0008943575667217374,36,1257.0,0.0008459126528049375
-73.63089752197266,24,-120.50430297851562,-1.6770356499999999,50280,11,11.505193710327148,50179,0.0007688041077926755,40,1257.0,0.0008459126528049375
89.37733459472656,463,-107.18865203857422,-1.6223252727272723,55308,11,33.78181838989258,55207,0.0016163786640390754,44,1257.0,0.0008459126528049375
-38.792884826660156,905,-86.82901763916016,-1.6022922708333336,60336,11,7.408198356628418,60235,0.0006453176029026508,48,1257.0,0.0008459126528049375
245.95669555664062,1346,-80.20724487304688,-1.58499925,65364,11,29.409564971923828,65263,0.0005773610901087523,52,1257.0,0.0008459126528049375
-11.00924301147461,1784,-75.3294677734375,-1.5605413035714284,70392,11,7.316067695617676,70291,0.000881645071785897,56,1257.0,0.0008459126528049375
-28.719398498535156,37,-69.90475463867188,-1.5411594999999998,75420,11,3.2035913467407227,75319,0.0007621126715093851,60,1257.0,0.0008459126528049375
-36.94963455200195,494,-67.85784149169922,-1.5254658437500002,80448,11,7.52620792388916,80347,0.0005659863236360252,64,1257.0,0.0008459126528049375
-124.60176086425781,956,-58.02812576293945,-1.502383955882353,85476,10,1.706042766571045,85375,0.0012177381431683898,68,1257.0,0.0008459126528049375
-13.424434661865234,1415,-52.947357177734375,-1.4883787499999999,90504,10,0.7815955877304077,90403,0.000630885420832783,72,1257.0,0.0008459126528049375
