time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,time/time_elapsed,train/critic_loss,train/ent_coef_loss
5032,1258.0,-124.1491928100586,0.0008459126528049375,0.01751605048775673,-4.2608265,4,33,4931,148,2.1785759925842285,-155.4664306640625
10064,1258.0,-130.02517700195312,0.0008459126528049375,0.0012433206429705024,-3.3440647500000003,8,32,9963,310,5.355259418487549,7.841344356536865
15096,1258.0,-134.54977416992188,0.0008459126528049375,0.001094251056201756,-2.674481166666667,12,32,14995,465,4.946840286254883,-29.923364639282227
20128,1258.0,-120.27523040771484,0.0008459126528049375,0.002106723142787814,-2.29369625,16,31,20027,636,8.823999404907227,39.99274444580078
25160,1258.0,-107.7282485961914,0.0008459126528049375,0.0011197198182344437,-2.1536735499999997,20,31,25059,5,7.554783821105957,-46.69810485839844
30192,1258.0,-92.60186767578125,0.0008459126528049375,0.0005330815329216421,-2.017052958333333,24,31,30091,165,108.35023498535156,152.4891815185547
35224,1258.0,-84.84271240234375,0.0008459126528049375,0.001049116370268166,-1.9041123928571426,28,31,35123,324,1.9094374179840088,40.23562240600586
40256,1258.0,-76.17901611328125,0.0008459126528049375,0.0009526557987555861,-1.8167905625,32,31,40155,489,2.2138566970825195,-31.195158004760742
45288,1258.0,-70.431640625,0.0008459126528049375,0.0004910323768854141,-1.7658340000000001,36,31,45187,648,1.642574429512024,20.21632957458496
50320,1258.0,-67.51520538330078,0.0008459126528049375,0.0003371869388502091,-1.724785275,40,31,50219,10,3.0111443996429443,21.642200469970703
55352,1258.0,-63.04933547973633,0.0008459126528049375,0.00039185083005577326,-1.6780565,44,30,55251,174,1.5934407711029053,44.091529846191406
60384,1258.0,-55.3594856262207,0.0008459126528049375,0.0005853627808392048,-1.6365254166666665,48,28,60283,370,2.060616970062256,-87.46430206298828
65416,1258.0,-30.299449920654297,0.0008459126528049375,0.0009480874286964536,-1.6161875576923077,52,28,65315,538,4.067564964294434,34.40538787841797
70448,1258.0,-22.078277587890625,0.0008459126528049375,0.0010237357346341014,-1.5859006071428572,56,29,70347,699,4.871044158935547,21.71649742126465
75480,1258.0,-14.145569801330566,0.0008459126528049375,0.0010772965615615249,-1.5665295,60,29,75379,16,5.05091667175293,-1.867721676826477
80512,1258.0,-0.9307165741920471,0.0008459126528049375,0.001954935258254409,-1.548970890625,64,26,80411,211,11.004260063171387,-42.51622772216797
85544,1258.0,8.541043281555176,0.0008459126528049375,0.0006351344636641443,-1.5420827647058821,68,27,85443,386,5.428844451904297,-38.641902923583984
90576,1258.0,16.296424865722656,0.0008459126528049375,0.0008033665944822133,-1.5295993749999999,72,26,90475,579,22.743762969970703,-74.4892578125
95608,1258.0,24.38528823852539,0.0008459126528049375,0.0010293644154444337,-1.5265468815789471,76,26,95507,780,26.20912742614746,-21.756874084472656
