time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,time/time_elapsed,train/critic_loss,train/ent_coef_loss
5032,1258.0,-121.92308044433594,0.0008459126528049375,0.017176194116473198,-4.4371825,4,27,4931,182,3.061145544052124,-170.55636596679688
10064,1258.0,-131.64971923828125,0.0008459126528049375,0.0010822253534570336,-3.53813725,8,29,9963,339,4.832948207855225,-5.872292518615723
15096,1258.0,-133.42100524902344,0.0008459126528049375,0.0013451562263071537,-2.8734443333333335,12,30,14995,499,7.684319496154785,8.617764472961426
20128,1258.0,-137.13946533203125,0.0008459126528049375,0.0009189156116917729,-2.5826122500000004,16,29,20027,688,5.469804763793945,48.083229064941406
25160,1258.0,-126.93531799316406,0.0008459126528049375,0.0008507577585987747,-2.3557593500000005,20,31,25059,5,18.168298721313477,103.84416961669922
30192,1258.0,-105.43287658691406,0.0008459126528049375,0.0017508934251964092,-2.222876625,24,26,30091,193,5.827727317810059,-44.73572540283203
35224,1258.0,-90.67398071289062,0.0008459126528049375,0.0005374496104195714,-2.1645375357142855,28,26,35123,388,5.522189140319824,26.961681365966797
40256,1258.0,-81.35932159423828,0.0008459126528049375,0.0002439260424580425,-2.107204,32,26,40155,568,0.9083157777786255,29.612272262573242
45288,1258.0,-51.00705337524414,0.0008459126528049375,0.0004069926217198372,-2.040276833333333,36,27,45187,725,11.721749305725098,345.14862060546875
50320,1258.0,-41.67317581176758,0.0008459126528049375,0.0008187714265659451,-1.9924297000000002,40,31,50219,10,3.425611972808838,26.011451721191406
55352,1258.0,-34.698326110839844,0.0008459126528049375,0.0003691268211696297,-1.973533681818182,44,31,55251,169,2.779662609100342,-32.2164192199707
60384,1258.0,-34.01344299316406,0.0008459126528049375,0.00040805109892971814,-1.9417245208333334,48,30,60283,338,0.6720913052558899,15.550028800964355
65416,1258.0,-31.18413734436035,0.0008459126528049375,0.0002609450602903962,-1.9204406153846152,52,30,65315,501,1.4621282815933228,-13.242745399475098
70448,1258.0,-23.631589889526367,0.0008459126528049375,0.00021228950936347246,-1.8986871607142857,56,29,70347,684,0.5277212858200073,-17.581018447875977
75480,1258.0,-8.388601303100586,0.0008459126528049375,0.00026153650833293796,-1.8738166666666667,60,24,75379,19,3.057194709777832,134.6856231689453
80512,1258.0,-5.972090721130371,0.0008459126528049375,0.00019263153080828488,-1.8482575156249998,64,24,80411,224,0.3809725344181061,-54.991119384765625
85544,1258.0,-4.583416938781738,0.0008459126528049375,0.00018388533499091864,-1.8225954411764704,68,26,85443,403,0.27736157178878784,2.1614792346954346
90576,1258.0,-4.017484188079834,0.0008459126528049375,0.00015466146578546613,-1.8088593333333332,72,27,90475,574,0.2134299874305725,-40.45457077026367
95608,1258.0,-0.03632547706365585,0.0008459126528049375,0.0004377893346827477,-1.7665119473684208,76,27,95507,745,0.7604466676712036,3.313476800918579
