time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/std,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,4004,1,512,,,,,,,,,,,,,
0,2747,2,1024,0.0004092704424510632,0.2,-0.03676288574934006,-0.1691286563873291,0.10582820757917943,1.0015511512756348,0.018013809,16,-44.00684130191803,0.2357177734375,-0.030930504872230813,,
0,2456,3,1536,0.0004092704424510632,0.2,-0.040118537843227386,-0.10735762119293213,0.0032227367773884907,0.9993629455566406,0.016684063,32,-44.01374292373657,0.2518310546875,-0.030145556927891448,-2.472307,1257.0
0,2334,4,2048,0.0004092704424510632,0.2,-0.046520255506038666,0.040993690490722656,0.005934234039159492,0.9970564246177673,0.017890178,48,-43.926939487457275,0.2684326171875,-0.02833714452572167,-2.472307,1257.0
1,2311,5,2560,0.0004092704424510632,0.2,-0.04655903950333595,-0.018070220947265625,0.0032926749627222307,0.9995384216308594,0.020959076,64,-43.91775345802307,0.3194580078125,-0.03520070177910384,-2.3657375,1257.0
1,2304,6,3072,0.0004092704424510632,0.2,-0.022825662046670914,0.04077523946762085,0.009553180003422312,0.9997376203536987,0.015736874,80,-43.98109710216522,0.2548828125,-0.022478307990240864,-2.3657375,1257.0
1,2313,7,3584,0.0004092704424510632,0.2,-0.03905653581023216,0.24644917249679565,0.0018270758318976732,0.9976898431777954,0.01791025,96,-43.9472941160202,0.2574462890625,-0.026703099596488755,-2.3657375,1257.0
1,2328,8,4096,0.0004092704424510632,0.2,-0.03137567639350891,-0.07734978199005127,0.0031994455130188726,1.0000661611557007,0.014057627,112,-43.93411099910736,0.2054443359375,-0.022154649966978468,-2.3945939999999997,1257.0
1,2329,9,4608,0.0004092704424510632,0.2,-0.023580919951200485,0.0026213526725769043,0.017337122990284115,0.9999759793281555,0.019633288,128,-43.994656920433044,0.2974853515625,-0.02528343982703518,-2.3945939999999997,1257.0
2,2319,10,5120,0.0004092704424510632,0.2,-0.023227453231811523,-0.012867331504821777,0.004468313403776847,0.9993889331817627,0.017658405,144,-43.96976685523987,0.2662353515625,-0.025603733956813812,-2.4015565,1257.0
2,2308,11,5632,0.0004092704424510632,0.2,-0.028270963579416275,0.00789552927017212,0.026545442291535437,0.9978099465370178,0.020835433,160,-43.937464118003845,0.2860107421875,-0.02709620085079223,-2.4015565,1257.0
