time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/std,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,3996,1,512,,,,,,,,,,,,,
0,2743,2,1024,0.0004092704424510632,0.2,-0.04355062544345856,-0.46326005458831787,0.19068980860174634,0.9986494779586792,0.0143513195,16,-43.963030099868774,0.22021484375,-0.03146138830925338,,
0,2503,3,1536,0.0004092704424510632,0.2,-0.04124792665243149,-0.010698795318603516,0.0038686244442942552,0.998544454574585,0.016574547,32,-43.94227659702301,0.265625,-0.029495699156541377,-2.203956,1257.0
0,2395,4,2048,0.0004092704424510632,0.2,-0.04264305531978607,0.008289754390716553,0.0034666748615563847,0.9985829591751099,0.022594191,48,-43.93911039829254,0.2733154296875,-0.029638670981512405,-2.203956,1257.0
1,2334,5,2560,0.0004092704424510632,0.2,-0.032566748559474945,-0.0007997751235961914,0.0035995463040308096,0.9980942606925964,0.02029485,64,-43.93547797203064,0.2421875,-0.023307986892177723,-2.353942,1257.0
1,2296,6,3072,0.0004092704424510632,0.2,-0.03615879639983177,0.002013266086578369,0.0026444979557709303,0.9964880347251892,0.017784836,80,-43.90014851093292,0.2833251953125,-0.028826821217080578,-2.353942,1257.0
1,2270,7,3584,0.0004092704424510632,0.2,-0.025273237377405167,0.006608128547668457,0.0024614916437712964,0.9948409795761108,0.012387659,96,-43.84829080104828,0.2080078125,-0.023093302792403847,-2.353942,1257.0
1,2251,8,4096,0.0004092704424510632,0.2,-0.032774943858385086,-0.00244903564453125,0.0031270674662664533,0.9959417581558228,0.013750781,112,-43.82857596874237,0.2105712890625,-0.022666343284072354,-2.382703,1257.0
2,2236,9,4608,0.0004092704424510632,0.2,-0.02582116797566414,-0.002077817916870117,0.007127072778530419,0.9962039589881897,0.021690872,128,-43.86117994785309,0.302734375,-0.029659829917363822,-2.382703,1257.0
2,2222,10,5120,0.0004092704424510632,0.2,-0.03198843076825142,0.0012056231498718262,0.004409656561620068,0.9954237937927246,0.013787029,144,-43.85079348087311,0.2421875,-0.02309983176382957,-2.40264375,1257.0
2,2215,11,5632,0.0004092704424510632,0.2,-0.028815489262342453,0.0009495019912719727,0.0124070777092129,0.993313193321228,0.019053075,160,-43.80704188346863,0.249267578125,-0.02509869217465166,-2.40264375,1257.0
2,2209,12,6144,0.0004092704424510632,0.2,-0.02845275215804577,7.015466690063477e-05,0.002910353879997274,0.9902957677841187,0.015909567,176,-43.72442293167114,0.2431640625,-0.026807414629729465,-2.40264375,1257.0
3,2204,13,6656,0.0004092704424510632,0.2,-0.03590695187449455,0.00332564115524292,0.002668121705937665,0.9882602691650391,0.016810369,192,-43.64338958263397,0.2791748046875,-0.028846819244790822,-2.3754382,1257.0
3,2199,14,7168,0.0004092704424510632,0.2,-0.03453376144170761,-0.0010162591934204102,0.02065558108733967,0.9884626865386963,0.026043879,208,-43.60744225978851,0.3133544921875,-0.03352819169231225,-2.3754382,1257.0
3,2196,15,7680,0.0004092704424510632,0.2,-0.03869074955582619,-0.008623600006103516,0.003223819348932011,0.9908262491226196,0.017040081,224,-43.64967131614685,0.2386474609375,-0.026931088272249326,-2.370995666666667,1257.0
3,2191,16,8192,0.0004092704424510632,0.2,-0.018307676538825035,0.002928614616394043,0.027612196223344654,0.9904883503913879,0.020371132,240,-43.68684363365173,0.256103515625,-0.023605685855727643,-2.370995666666667,1257.0
3,2188,17,8704,0.0004092704424510632,0.2,-0.029831185936927795,0.004219353199005127,0.0029788296051265206,0.9890033602714539,0.0176986,256,-43.65682017803192,0.224853515625,-0.023545801668660715,-2.370995666666667,1257.0
