time/episodes,train/n_updates,train/actor_loss,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/learning_rate
4,4931,-120.51719665527344,392,2.9405672550201416,12,5032,-4.369242,-179.09165954589844,0.01718161627650261,1258.0,0.0008459126528049375
8,9963,-122.12091064453125,790,5.457082748413086,12,10064,-3.334892,-31.967647552490234,0.0010847289813682437,1258.0,0.0008459126528049375
12,14995,-111.46061706542969,1187,31.103181838989258,12,15096,-2.72682,45.48609924316406,0.0019684096332639456,1258.0,0.0008459126528049375
16,20027,-105.81195831298828,1584,67.60910034179688,12,20128,-2.4151596875,93.15377807617188,0.0011711576953530312,1258.0,0.0008459126528049375
20,25059,-84.82560729980469,12,4.401601314544678,12,25160,-2.2011652500000003,13.058372497558594,0.0008632763638161123,1258.0,0.0008459126528049375
24,30091,-73.22602844238281,417,6.904150485992432,12,30192,-2.063118916666667,6.970767498016357,0.0007950053550302982,1258.0,0.0008459126528049375
28,35123,-70.27047729492188,826,3.496009349822998,12,35224,-1.9780438571428574,-72.87171173095703,0.0008695651777088642,1258.0,0.0008459126528049375
32,40155,-68.713623046875,1241,1.5811594724655151,12,40256,-1.9134184375,63.496971130371094,0.0005119196139276028,1258.0,0.0008459126528049375
36,45187,-62.396156311035156,1662,4.571937561035156,12,45288,-1.8482562499999997,19.15860939025879,0.00037652242463082075,1258.0,0.0008459126528049375
40,50219,-58.3361701965332,26,5.6565470695495605,11,50320,-1.7964563500000001,43.893531799316406,0.0007049942505545914,1258.0,0.0008459126528049375
44,55251,-40.117034912109375,449,12.822964668273926,11,55352,-1.7611828863636363,1.3896243572235107,0.001253347028978169,1258.0,0.0008459126528049375
48,60283,-31.548721313476562,872,4.813668727874756,11,60384,-1.7363051875,-23.966110229492188,0.0009108480880968273,1258.0,0.0008459126528049375
52,65315,-19.900535583496094,1297,6.173964977264404,11,65416,-1.7102385,33.11745071411133,0.0005543826846405864,1258.0,0.0008459126528049375
56,70347,-19.084959030151367,1723,3.4772939682006836,11,70448,-1.6881876964285714,-23.326448440551758,0.0012247915146872401,1258.0,0.0008459126528049375
60,75379,-12.055136680603027,41,4.0700578689575195,11,75480,-1.6786293166666666,-25.423709869384766,0.0004821061447728425,1258.0,0.0008459126528049375
64,80411,2.755399703979492,486,10.119126319885254,11,80512,-1.65501803125,0.8363708257675171,0.000873177545145154,1258.0,0.0008459126528049375
68,85443,16.173246383666992,935,15.034862518310547,11,85544,-1.6384918529411765,-33.157310485839844,0.0011759701883420348,1258.0,0.0008459126528049375
72,90475,23.55934715270996,1384,15.280221939086914,11,90576,-1.6241731388888887,10.402787208557129,0.0011991728097200394,1258.0,0.0008459126528049375
