time/episodes,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss
4,0.01740328222513199,4931,1.6408026218414307,-169.26849365234375,-4.437984,5032,1258.0,11,428,0.0008459126528049375,-121.86431884765625
8,0.001199473044835031,9963,6.129914283752441,-19.391857147216797,-3.445918375,10064,1258.0,11,869,0.0008459126528049375,-126.58853149414062
12,0.001727465889416635,14995,17.206209182739258,10.376173973083496,-2.784352,15096,1258.0,11,1322,0.0008459126528049375,-114.31707763671875
16,0.0011194150429219007,20027,16.660961151123047,38.68329620361328,-2.4608665625,20128,1258.0,11,1777,0.0008459126528049375,-105.01947784423828
20,0.0015723754186183214,25059,9.473554611206055,61.894561767578125,-2.21462675,25160,1258.0,11,14,0.0008459126528049375,-99.61894226074219
24,0.000493297295179218,30091,6.255112648010254,70.5901870727539,-2.0567704583333337,30192,1258.0,11,469,0.0008459126528049375,-95.4305419921875
28,0.0005314082955010235,35123,1.4362282752990723,-30.122615814208984,-1.9221008214285717,35224,1258.0,11,924,0.0008459126528049375,-93.00138092041016
32,0.0005225761560723186,40155,6.818288803100586,-40.64558410644531,-1.8377995,40256,1258.0,11,1373,0.0008459126528049375,-67.96392822265625
36,0.0005845945561304688,45187,4.2950921058654785,23.55504035949707,-1.787690861111111,45288,1258.0,11,1819,0.0008459126528049375,-64.0224609375
40,0.0006000062567181885,50219,2.3291220664978027,18.956974029541016,-1.76169495,50320,1258.0,11,27,0.0008459126528049375,-58.78129196166992
44,0.0010986847337335348,55251,4.549072742462158,30.869699478149414,-1.7178823409090909,55352,1258.0,11,467,0.0008459126528049375,-54.99673080444336
48,0.0004561347304843366,60283,2.9534926414489746,15.872214317321777,-1.684887375,60384,1258.0,11,907,0.0008459126528049375,-47.86083984375
52,0.0005347231053747237,65315,5.0535783767700195,-5.934298038482666,-1.6595968653846151,65416,1258.0,11,1350,0.0008459126528049375,-39.6757926940918
56,0.0009596181917004287,70347,47.927154541015625,9.841348648071289,-1.6191113214285713,70448,1258.0,11,1794,0.0008459126528049375,-43.28855895996094
60,0.0013935304014012218,75379,6.646505355834961,-12.587224960327148,-1.5859488166666664,75480,1258.0,11,43,0.0008459126528049375,-37.93597412109375
64,0.0015064345207065344,80411,10.81419563293457,-12.969426155090332,-1.56276825,80512,1258.0,10,501,0.0008459126528049375,-32.27470016479492
68,0.0008825035765767097,85443,4.726359844207764,-17.55878448486328,-1.5689109117647055,85544,1258.0,10,960,0.0008459126528049375,-28.578275680541992
72,0.0006679670768789947,90475,1.959551453590393,12.045120239257812,-1.5578571527777778,90576,1258.0,10,1416,0.0008459126528049375,-25.18417739868164
