time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,3968,512,,,,,,,,,,,,,
0,2,1903,1024,0.20983422390418127,0.2,0.3248291015625,-0.034041207283735275,-0.3582197427749634,-0.032713358057662845,1.0009194612503052,0.0004092704424510632,-43.99442994594574,0.024424678,16,,
0,3,1650,1536,0.006199094917974435,0.2,0.26611328125,-0.04497530311346054,0.021910667419433594,-0.0280619116674643,1.0005974769592285,0.0004092704424510632,-44.013073086738586,0.018211909,32,-3.255772,1257.0
1,4,1548,2048,0.028117726265918463,0.2,0.290771484375,-0.02742374874651432,-0.006144285202026367,-0.02533624938223511,1.0014079809188843,0.0004092704424510632,-44.01336741447449,0.019284982,48,-3.255772,1257.0
1,5,1488,2560,0.006962833285797387,0.2,0.2816162109375,-0.031050672754645348,-0.004802823066711426,-0.028677497182798106,1.0007823705673218,0.0004092704424510632,-44.02420401573181,0.020015135,64,-3.2319755,1257.0
2,6,1455,3072,0.010639634128892794,0.2,0.297607421875,-0.027563974261283875,0.0001882314682006836,-0.030863602471072227,1.001144289970398,0.0004092704424510632,-44.00755512714386,0.020951299,80,-3.2319755,1257.0
2,7,1427,3584,0.0027564543088374194,0.2,0.316162109375,-0.04999225586652756,-0.0034444332122802734,-0.03388170312973671,1.0022306442260742,0.0004092704424510632,-44.033714056015015,0.023960888,96,-3.2319755,1257.0
2,8,1411,4096,0.0037065612195874564,0.2,0.22412109375,-0.030662616714835167,-0.0016334056854248047,-0.022680969530483708,1.0006191730499268,0.0004092704424510632,-44.03502368927002,0.01424103,112,-3.202082666666667,1257.0
3,9,1395,4608,0.010918481188127771,0.2,0.2838134765625,-0.03261429816484451,0.0015641450881958008,-0.025017152598593384,0.9982160329818726,0.0004092704424510632,-43.96450054645538,0.026173584,128,-3.202082666666667,1257.0
3,10,1388,5120,0.005077605921542272,0.2,0.2628173828125,-0.03734295442700386,-0.000476837158203125,-0.03128011962689925,0.9973086714744568,0.0004092704424510632,-43.90588450431824,0.016593192,144,-3.180841,1257.0
4,11,1380,5632,0.011262712330790237,0.2,0.314208984375,-0.03156672418117523,0.0011172294616699219,-0.027479559976200107,0.9968757629394531,0.0004092704424510632,-43.886544585227966,0.032003317,160,-3.180841,1257.0
4,12,1373,6144,0.0024819172649586108,0.2,0.2442626953125,-0.03618350625038147,-0.005812883377075195,-0.024870840104995295,0.9947540760040283,0.0004092704424510632,-43.849486351013184,0.017001346,176,-3.180841,1257.0
4,13,1368,6656,0.0033817474904935807,0.2,0.3145751953125,-0.04550718888640404,-0.0039604902267456055,-0.03511341128614731,0.9944741129875183,0.0004092704424510632,-43.8042608499527,0.02516201,192,-3.1396211999999997,1257.0
5,14,1362,7168,0.013308174442499876,0.2,0.2896728515625,-0.025647850707173347,-0.000792384147644043,-0.02955989721522201,0.994988203048706,0.0004092704424510632,-43.80489468574524,0.027591305,208,-3.1396211999999997,1257.0
5,15,1356,7680,0.004831671940337401,0.2,0.2227783203125,-0.03736364468932152,-0.0009998083114624023,-0.025943439759430476,0.9941228032112122,0.0004092704424510632,-43.80881989002228,0.014208388,224,-3.1024134999999995,1257.0
6,16,1353,8192,0.022322243603412062,0.2,0.2626953125,-0.022672101855278015,3.6716461181640625e-05,-0.029177765507483855,0.9957963228225708,0.0004092704424510632,-43.803776264190674,0.024456387,240,-3.1024134999999995,1257.0
6,17,1350,8704,0.004326703252445441,0.2,0.2734375,-0.02044731378555298,-0.0009508132934570312,-0.027693072595866397,0.997722864151001,0.0004092704424510632,-43.868234395980835,0.022281516,256,-3.1024134999999995,1257.0
6,18,1348,9216,0.002596079921204364,0.2,0.211181640625,-0.015887081623077393,-0.002555251121520996,-0.019964625003922265,0.9983702301979065,0.0004092704424510632,-43.91085612773895,0.01303559,272,-3.0717052857142852,1257.0
7,19,1345,9728,0.03746614558622241,0.2,0.2978515625,-0.024817662313580513,-0.0005935430526733398,-0.03005523006868316,0.9982292056083679,0.0004092704424510632,-43.91157603263855,0.025602933,288,-3.0717052857142852,1257.0
7,20,1343,10240,0.0058388736069900915,0.2,0.2236328125,-0.037047479301691055,-0.0006271600723266602,-0.024262758422992192,0.9984883666038513,0.0004092704424510632,-43.91305494308472,0.017013676,304,-3.056699375,1257.0
