time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,4293,512,,,,,,,,,,,,,
0,2,1971,1024,0.10594174043217208,0.2,0.2557373046875,-0.026684962213039398,-0.06507217884063721,-0.02514160087594064,1.0011775493621826,0.0004092704424510632,-44.00335991382599,0.017033402,16,,
0,3,1684,1536,0.00567081257031532,0.2,0.25927734375,-0.04349508881568909,-0.033487677574157715,-0.025013609236339107,1.0017801523208618,0.0004092704424510632,-44.03099191188812,0.015020495,32,-3.264977,1257.0
1,4,1560,2048,0.031486124731600285,0.2,0.322509765625,-0.029909325763583183,0.007162272930145264,-0.03557021188316867,1.0030211210250854,0.0004092704424510632,-44.05879056453705,0.024359562,48,-3.264977,1257.0
1,5,1503,2560,0.0045768105337629095,0.2,0.2642822265625,-0.028049126267433167,0.0022317171096801758,-0.02665936527773738,1.0033204555511475,0.0004092704424510632,-44.0849883556366,0.016356703,64,-3.1320595,1257.0
2,6,1454,3072,0.009945403668098152,0.2,0.2572021484375,-0.033920273184776306,-0.0035200119018554688,-0.02600209289812483,1.0016781091690063,0.0004092704424510632,-44.06356132030487,0.019516226,80,-3.1320595,1257.0
2,7,1428,3584,0.0027702357292582747,0.2,0.2115478515625,-0.03402824327349663,0.027115583419799805,-0.01921231223968789,1.0026084184646606,0.0004092704424510632,-44.0451477766037,0.014583297,96,-3.1320595,1257.0
2,8,1407,4096,0.004547728436591569,0.2,0.2445068359375,-0.02647436037659645,-0.012309432029724121,-0.023987191932974383,1.0013623237609863,0.0004092704424510632,-44.05087637901306,0.01907463,112,-3.078402666666667,1257.0
3,9,1391,4608,0.010094964527525008,0.2,0.3138427734375,-0.030272983014583588,0.005599558353424072,-0.024780322957667522,1.0019679069519043,0.0004092704424510632,-44.02342188358307,0.022708407,128,-3.078402666666667,1257.0
3,10,1379,5120,0.004423949809279293,0.2,0.255859375,-0.03005719929933548,-0.0006773471832275391,-0.023820265676476993,1.001813530921936,0.0004092704424510632,-44.042715668678284,0.01648209,144,-3.063068,1257.0
4,11,1370,5632,0.01042746590974275,0.2,0.275146484375,-0.041829243302345276,0.002789139747619629,-0.025366326794028282,1.0021871328353882,0.0004092704424510632,-44.035653829574585,0.019877888,160,-3.063068,1257.0
4,12,1361,6144,0.0027761585042753723,0.2,0.2891845703125,-0.035012923181056976,0.022299230098724365,-0.03202081221388653,1.0024025440216064,0.0004092704424510632,-44.05091166496277,0.019356364,176,-3.063068,1257.0
4,13,1354,6656,0.0028459617678890936,0.2,0.218017578125,-0.02825380675494671,-0.007742881774902344,-0.02164190378971398,1.0023112297058105,0.0004092704424510632,-44.04935097694397,0.01448206,192,-3.0635570000000003,1257.0
5,14,1349,7168,0.016964795388048515,0.2,0.3489990234375,-0.03824355825781822,-0.0003101825714111328,-0.029180648976762313,1.0024027824401855,0.0004092704424510632,-44.050355672836304,0.052994102,208,-3.0635570000000003,1257.0
5,15,1345,7680,0.005225410008279141,0.2,0.296875,-0.04681020975112915,-0.0014333724975585938,-0.032990166306262836,1.002120018005371,0.0004092704424510632,-44.043370962142944,0.019348148,224,-3.0724888333333333,1257.0
6,16,1340,8192,0.024155480263289064,0.2,0.2698974609375,-0.011525610461831093,0.0011000633239746094,-0.022924211400095373,1.0022192001342773,0.0004092704424510632,-44.03798770904541,0.01841129,240,-3.0724888333333333,1257.0
6,17,1337,8704,0.004314967191021424,0.2,0.285400390625,-0.04261351376771927,0.011636674404144287,-0.029720193793764338,1.0036064386367798,0.0004092704424510632,-44.06185519695282,0.017879877,256,-3.0724888333333333,1257.0
6,18,1334,9216,0.002728358635067707,0.2,0.217529296875,-0.022043151780962944,0.0010513067245483398,-0.02132852008799091,1.0038000345230103,0.0004092704424510632,-44.086183190345764,0.01432716,272,-3.0569387142857143,1257.0
7,19,1332,9728,0.03848489443771541,0.2,0.2581787109375,-0.013372819870710373,-0.0006434917449951172,-0.02368248617858626,1.004393219947815,0.0004092704424510632,-44.08853077888489,0.021141462,288,-3.0569387142857143,1257.0
7,20,1330,10240,0.005047929866123013,0.2,0.2186279296875,-0.040693480521440506,0.0006458759307861328,-0.023921058629639447,1.0028882026672363,0.0004092704424510632,-44.088626861572266,0.01668851,304,-3.03097425,1257.0
8,21,1328,10752,0.055011282791383564,0.2,0.311279296875,-0.008631527423858643,0.00024306774139404297,-0.03148129537294153,1.0015836954116821,0.0004092704424510632,-44.02600026130676,0.03204661,320,-3.03097425,1257.0
