train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,time/fps,rollout/ep_rew_mean,train/n_updates,time/episodes,time/total_timesteps,time/time_elapsed
0.0008459126528049375,0.01719103381037712,-121.97633361816406,-166.2401580810547,1258.0,1.5385487079620361,33,-3.9429165,4931,4,5032,149
0.0008459126528049375,0.001156045007519424,-128.19100952148438,11.99086856842041,1258.0,4.1214070320129395,32,-2.960104,9963,8,10064,306
0.0008459126528049375,0.0010266888421028852,-121.16275024414062,63.878639221191406,1258.0,8.328241348266602,32,-2.526028,14995,12,15096,464
0.0008459126528049375,0.001279201707802713,-113.605224609375,1.5950522422790527,1258.0,13.07431697845459,31,-2.20337275,20027,16,20128,644
0.0008459126528049375,0.0005725031951442361,-108.01404571533203,29.764259338378906,1258.0,6.0372724533081055,26,-2.03946605,25059,20,25160,6
0.0008459126528049375,0.0009530320530757308,-95.89274597167969,-2.161534309387207,1258.0,5.0475850105285645,26,-1.9518337083333333,30091,24,30192,197
0.0008459126528049375,0.0007837697048671544,-97.33297729492188,-6.334442615509033,1258.0,6.318997859954834,26,-1.8266121428571427,35123,28,35224,388
0.0008459126528049375,0.0014134964440017939,-72.48062133789062,77.6770248413086,1258.0,21.461671829223633,26,-1.7431238125,40155,32,40256,579
0.0008459126528049375,0.0008232669206336141,-69.43144989013672,26.4040470123291,1258.0,2.5957581996917725,26,-1.6907435555555557,45187,36,45288,770
0.0008459126528049375,0.0013466726522892714,-37.612613677978516,-67.97420501708984,1258.0,12.171339988708496,26,-1.6334367749999998,50219,40,50320,11
0.0008459126528049375,0.0006963195046409965,-28.40137481689453,-4.59401273727417,1258.0,14.825862884521484,26,-1.5861047045454546,55251,44,55352,200
0.0008459126528049375,0.0003733422781806439,-16.05128288269043,135.411865234375,1258.0,5.104427337646484,26,-1.568332541666667,60283,48,60384,387
0.0008459126528049375,0.00035429937997832894,-2.9891576766967773,7.233259677886963,1258.0,4.276982307434082,26,-1.534673480769231,65315,52,65416,576
0.0008459126528049375,0.0006097738514654338,2.8975255489349365,3.58019757270813,1258.0,3.209351062774658,26,-1.4924913035714285,70347,56,70448,766
0.0008459126528049375,0.0004174296627752483,12.043960571289062,-7.3905487060546875,1258.0,3.1062631607055664,25,-1.4574245666666668,75379,60,75480,18
0.0008459126528049375,0.0005765860551036894,18.42910385131836,-57.34454345703125,1258.0,2.3543334007263184,26,-1.4221600468750002,80411,64,80512,204
0.0008459126528049375,0.0005748324329033494,28.72058868408203,-57.97666549682617,1258.0,4.119793891906738,27,-1.3895708088235297,85443,68,85544,376
0.0008459126528049375,0.0006541319307871163,37.386085510253906,-7.0439558029174805,1258.0,5.269967079162598,28,-1.3727339027777776,90475,72,90576,548
0.0008459126528049375,0.0008219234878197312,47.78886032104492,-75.1065673828125,1258.0,5.742405891418457,28,-1.3566897105263158,95507,76,95608,721
