train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/learning_rate,time/time_elapsed,train/ent_coef,train/critic_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes
-179.9281005859375,1258.0,-121.37828063964844,4931,0.0008459126528049375,72,0.016991043463349342,3.27933406829834,69,-4.44484675,5032,4
-31.124238967895508,1258.0,-126.52911376953125,9963,0.0008459126528049375,147,0.0007947093108668923,3.6565070152282715,68,-3.381416625,10064,8
4.421666145324707,1258.0,-115.23949432373047,14995,0.0008459126528049375,221,0.0017487307777628303,5.010842800140381,68,-2.7842590833333336,15096,12
-50.117496490478516,1258.0,-106.03228759765625,20027,0.0008459126528049375,296,0.0007184069254435599,3.157471179962158,67,-2.4670315,20128,16
16.36476707458496,1258.0,-88.94087219238281,25059,0.0008459126528049375,2,0.0007793545955792069,3.608076333999634,68,-2.2597719499999998,25160,20
70.94654083251953,1258.0,-87.4262924194336,30091,0.0008459126528049375,76,0.0004922864609397948,2.852820634841919,67,-2.1098795833333335,30192,24
46.5297966003418,1258.0,-85.9444808959961,35123,0.0008459126528049375,151,0.0004543529648799449,1.3564130067825317,67,-2.027038535714286,35224,28
70.5191879272461,1258.0,-79.96649169921875,40155,0.0008459126528049375,226,0.0004605402937158942,1.365761637687683,67,-1.96052996875,40256,32
-25.756303787231445,1258.0,-74.52099609375,45187,0.0008459126528049375,300,0.00030967401107773185,0.6111480593681335,67,-1.893838138888889,45288,36
-53.5924186706543,1258.0,-70.36239624023438,50219,0.0008459126528049375,4,0.00027604878414422274,23.570566177368164,65,-1.862923975,50320,40
15.176495552062988,1258.0,-63.342430114746094,55251,0.0008459126528049375,82,0.000391234178096056,3.3259520530700684,65,-1.8263909772727274,55352,44
-54.20962905883789,1258.0,-43.994728088378906,60283,0.0008459126528049375,159,0.001253433059900999,7.349384307861328,65,-1.786530208333333,60384,48
-8.154657363891602,1258.0,-36.45362091064453,65315,0.0008459126528049375,236,0.0005494057550095022,9.391077041625977,65,-1.7776620961538458,65416,52
-38.36638259887695,1258.0,-35.198944091796875,70347,0.0008459126528049375,314,0.00027766861603595316,2.0966925621032715,65,-1.7635349999999999,70448,56
-49.45063018798828,1258.0,-18.52769660949707,75379,0.0008459126528049375,7,0.001432448741979897,10.978902816772461,63,-1.7350548333333333,75480,60
-24.360855102539062,1258.0,-4.555741310119629,80411,0.0008459126528049375,88,0.0007338464492931962,7.545352458953857,62,-1.725390703125,80512,64
-80.35004425048828,1258.0,2.8281588554382324,85443,0.0008459126528049375,169,0.0006131185800768435,3.298943042755127,62,-1.7173530294117645,85544,68
29.278776168823242,1258.0,8.971803665161133,90475,0.0008459126528049375,250,0.0005331971915438771,2.944390296936035,62,-1.7339545555555556,90576,72
88.22926330566406,1258.0,16.053712844848633,95507,0.0008459126528049375,332,0.00036317191552370787,20.41619300842285,62,-1.7291420526315788,95608,76
